,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08RC467DY,"MY ARMOR Micro Fibre Pillows , 26"" x 17"" , White , 2 Pieces",MY,1,0,0,750,4.3,287,42,"Tuesday, February 22",1,287
1,B08BK1C4Q9,"Urban Basics Ultra Soft Microfibre Pillow, 17""x27"" Inch, White, Set of 4(PIL01_4), polyester",Urban,1,0,0,"1,399",4.1,"2,304",30,"Saturday, February 12",1,"2,304"
2,B083FK4HWF,"MY ARMOR Orthopedic Memory Foam Pillow for Comfortable Sleep, Queen Size (23"" x 14"" x 4.5"")",MY,1,1,0,"1,150",4.1,"11,254",42,"Tuesday, February 8",1,"11,254"
3,B083RBSNPF,"Cloth Fusion Cloudix Microfiber Bed Pillow, 17X27 Inches, White, Set of 2",Cloth,1,0,0,599,3.8,68,40,"Saturday, February 12",1,68
4,B07L6GZYDV,"Wakefit Hollow Fibre Pillow ( 68.58 cm X 40.64 cm, White and Grey )- 2 Pieces",Wakefit,0,0,1,719,4.4,"35,595",26,"Tuesday, February 15",1,"35,595"
5,B08T65ZNDV,"Wakefit Hollow Fibre Pillow (White and Grey, 68.58 cm X 40.64 cm) - 4 Pieces",Wakefit,0,0,0,"1,349",4.5,"5,411",12,"Tuesday, February 15",1,"5,411"
6,B016D7UJMW,"Recron Certified Dream Fibre Pillow (16""x24"")",Recron,0,0,0,437,4.0,"28,539",56,"Friday, February 11",0,"28,539"
7,B08VNHK9TG,JY Satin Stripes Reliance Microfiber Pillows in White Color Set of 4 Pic(16''× 26''),JY,0,0,0,599,4.0,64,40,,1,64
8,B07XLLG72F,"Kuber Industries Luxurious 1 Piece Microfibre Pillow Filler - 16X24 Inch , White - Ctktc22178",Kuber,0,0,0,169,3.4,"3,799",32,"Tuesday, February 8",0,"3,799"
9,B09HBDY3TT,"RYLAN Cervical Contour Memory Foam Pillow,Orthopedic Pillow for Neck Pain,Orthopedic Contour Pillow Support for Back,Stomach,Side Sleepers,Anti-Snoring Neck Pillow (pillow-2022)",RYLAN,0,0,0,899,4.3,571,25,"Sunday, February 13",1,571
10,B08CMJG8Q5,Fabroyal India 5 Star Hotel Cotton Pillow Filler with Fibre for Well Night's Sleep in White Colour for Home & Hotel (Pack of 2 Pillow),Fabroyal,0,0,0,0,2.9,2,0,,0,2
11,B09829QP99,Takiyawala 100% Cotton Filling Natural Orthopedic Pillow with 100% Cotton - Hand Embroidery Cotton Fabric Sleeping Pillow | White | 16 x 25 inches (41X62.5 cm | Pack of 3,Takiyawala,0,0,0,698,4.3,230,53,"Sunday, February 13",1,230
12,B083FK4HWF,"MY ARMOR Orthopedic Memory Foam Pillow for Comfortable Sleep, Queen Size (23"" x 14"" x 4.5"")",MY,0,1,0,"1,150",4.1,"11,254",42,"Tuesday, February 8",1,"11,254"
