,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08RC467DY,"MY ARMOR Micro Fibre Pillows , 26"" x 17"" , White , 2 Pieces",MY,1,0,0,712,4.3,288,45,"Wednesday, February 16",1,288
1,B08R7MX63N,"SleepyCat 2-Piece Microfiber Cloud Pillow with Adjustable Zipper (27x18 inches, White)",SleepyCat,1,0,0,"1,784",4.3,632,25,,1,632
2,B08BK1C4Q9,"Urban Basics Ultra Soft Microfibre Pillow, 17""x27"" Inch, White, Set of 4(PIL01_4), polyester",Urban,1,0,0,"1,399",4.1,"2,306",30,"Sunday, February 13",1,"2,306"
3,B08CSLJMM4,"MY ARMOR Orthopedic Memory Foam Pillow for Comfortable Sleep (Thin Pillow) (24.5"" x 15.5"" x 3.5"")",MY,1,1,0,"1,250",4.1,"11,264",43,"Thursday, February 10",1,"11,264"
4,B07L6GZYDV,"Wakefit Hollow Fibre Pillow ( 68.58 cm X 40.64 cm, White and Grey )- 2 Pieces",Wakefit,0,0,1,719,4.4,"35,653",26,"Tuesday, February 15",1,"35,653"
5,B08T65ZNDV,"Wakefit Hollow Fibre Pillow (White and Grey, 68.58 cm X 40.64 cm) - 4 Pieces",Wakefit,0,0,0,"1,349",4.5,"5,434",12,"Tuesday, February 15",1,"5,434"
6,B016D7UJMW,"Recron Certified Dream Fibre Pillow (16""x24"")",Recron,0,0,0,385,4.0,"28,575",53,"Thursday, February 10",0,"28,575"
7,B08VNHK9TG,JY Satin Stripes Reliance Microfiber Pillows in White Color Set of 4 Pic(16''× 26''),JY,0,0,0,649,4.0,64,35,,1,64
8,B07XLLG72F,"Kuber Industries Luxurious 1 Piece Microfibre Pillow Filler - 16X24 Inch , White - Ctktc22178",Kuber,0,0,0,169,3.4,"3,808",32,"Thursday, February 10",0,"3,808"
9,B09HBDY3TT,"RYLAN Cervical Contour Memory Foam Pillow,Orthopedic Pillow for Neck Pain,Orthopedic Contour Pillow Support for Back,Stomach,Side Sleepers,Anti-Snoring Neck Pillow (pillow-2022)",RYLAN,0,0,0,899,4.3,577,25,"Monday, February 14",1,577
10,B09829QP99,Takiyawala 100% Cotton Filling Natural Orthopedic Pillow with 100% Cotton - Hand Embroidery Cotton Fabric Sleeping Pillow | White | 16 x 25 inches (41X62.5 cm | Pack of 3,Takiyawala,0,0,0,698,4.3,233,53,"Monday, February 14",1,233
11,B08CMJG8Q5,Fabroyal India 5 Star Hotel Cotton Pillow Filler with Fibre for Well Night's Sleep in White Colour for Home & Hotel (Pack of 2 Pillow),Fabroyal,0,0,0,0,2.9,2,0,,0,2
12,B081NZXYXW,"Amazon Brand - Solimo Microfibre & polyester 2-Piece Premium Bed Pillow Set, Microfibre, Brown, 43 X 69 X 17 Cm",Amazon,0,0,0,749,4.1,"4,971",45,"Wednesday, February 16",1,"4,971"
13,B083FK4HWF,"MY ARMOR Orthopedic Memory Foam Pillow for Comfortable Sleep, Queen Size (23"" x 14"" x 4.5"")",MY,0,1,0,"1,150",4.1,"11,264",42,"Thursday, February 10",1,"11,264"
14,B091TTRV47,"takiyawala Microfiber Bed Pillow Bolster, 12 x 30 inch, White, Set of 2",takiyawala,0,0,0,599,4.1,118,60,"Monday, February 14",0,118
15,B09QJRFZ2N,"Shree GANPAT Enterprises Ultra Soft White Fibre Pillow Sets for Bed (White-Set of 6, Size- 60*40 Inch)",Shree,0,0,0,589,1.0,2,67,"Sunday, February 13",0,2
16,B08HD8C2QC,DClub Memory Foam Cervical Contour Medical Pillow for Sleeping Orthopedic Pillows for Neck Back Pain Relief (White),DClub,0,0,0,599,3.5,129,68,"Monday, February 14",1,129
17,B09BLD4NFC,JY Soft Uniformly Microfiber Filled Pillow 26'' x 16'' 'Color-White (Pack of 4),JY,0,0,0,599,3.9,153,40,,1,153
18,B09PMJV4BM,Cloth Fusion Microfiber Bed Pillow Set of 2 Pieces (17x27 Inches) (Maroon & Navy),Cloth,0,0,0,649,3.9,9,35,"Saturday, February 12",1,9
