,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07FQMN9VN,"Rain & Dust Cover for Backpack (30 Litres, Black)",Amazon Brand - Solimo,1,0,1,219,4.3,"5,623",45,"Tuesday, February 22",0,"5,623"
1,B08KRSWLX2,Waterproof/Dustproof Rain Backpack Cover with Anti Slip Adjustable Strap Durable (Pack of 2)-Blue,CNB,1,0,0,450,0,0,44,"Thursday, February 24",1,"₹450
₹799 Save ₹349 (44%)"
2,B08BRBR4XX,"Rain-Guard Rain & Dust Cover Waterproof for Laptop Casual Backpack with Pouch, Black",Fendo,1,0,0,299,4.1,497,75,"Thursday, February 24",0,497
3,B07G57JDGF,Polyester 35 LTR Rain and Dust Cover with Pouch for Backpack,EUME,1,0,0,299,4.2,"2,001",75,"Thursday, February 24",0,"2,001"
4,B07FQMN9VN,"Rain & Dust Cover for Backpack (30 Litres, Black)",Amazon Brand - Solimo,0,0,1,219,4.3,"5,623",45,"Tuesday, February 22",0,"5,623"
5,B081Z4NZTV,"Rain Cover for Backpack & Rucksack (Black, 75-100)",Tripole,0,0,0,349,4.1,602,36,,0,602
6,B08DYDGZ37,"Nylon Rain & Dust Cover Waterproof with Pouch for Laptop Bags and Backpacks School Bag Cover, Luggage Bag Cover - Black",PRODUCTMINE,0,0,0,125,4.1,197,69,"Thursday, February 24",0,197
7,B09FXLXRZW,Dust and 100% Water Proof Rain Cover for All Backpacks Upto 45 Ltrs (Multicolor),Wildcraft,0,0,0,299,4.2,129,25,"Tuesday, February 22",0,129
8,B084MG4376,8559841 Other Trekking Basic Rain Cover for Backpack - 70/100l (Orange),Forclaz,0,0,0,499,4.2,254,17,"Sunday, February 20",1,254
9,B095CPDYB9,"Rubberized 100% Waterproof Dust Proof Rain Cover for Backpack Bags, 30L-40L Rainproof Dustproof Protector Raincover Elastic Adjustable for Hiking Camping Traveling Climbing Cycling, Black",Bulfyss,0,0,0,279,3.9,940,53,"Wednesday, February 23",0,940
10,B08C9G4P61,Packable Rain Cover,Puma,0,0,0,249,4.1,37,69,,0,37
11,B077Q9CGCG,Rain Cover 35-50L Backpacks (Grey),Wajumo,0,0,0,145,4.1,16,71,"Thursday, February 24",0,16
12,B072JBLZCB,rain Cover - High Visibility Professional Trekking/Hiking/Mountaineering Cover for Rucksacks 40 to 80 Lit,ADD GEAR,0,0,0,649,4.1,202,19,,1,202
13,B07HQQXS7G,"Bag Street Polyester Rain Cover for Backpack (25-45 L, Black)",WILD THINGS ONLY,0,0,0,349,4.1,95,13,,0,95
14,B08Z8BV85D,Elastic Stretchable Rain Cover (Dust Cover) for Backpacks (Free Size),Wildcraft,0,0,0,231,4.1,101,42,"Wednesday, February 23",0,101
15,B098KBLTLQ,"Heavy Waterproof Bag Rain Cover/Dust Cover, Nylon Material Elastic Adjustable Raincover for Laptop Bags and Backpacks, School Bag (30L-40L, Black) Pack of 1",Glanz,0,0,0,159,4.3,22,36,"Wednesday, February 23",1,22
16,B07T7K1K4C,Polyester 35 LTR Rain and Dust Cover with Pouch for Backpack,EUME,0,0,0,299,4.2,"2,001",75,"Thursday, February 24",0,"2,001"
17,B01HOFI1C2,Rain Cover with Pouch for School Bags and Backpacks - Navy Blue,COSMUS,0,0,0,327,4.1,485,34,,0,485
18,B08BFZ7FH2,Polyester Rain and Dust Cover Black Waterproof Backpack Protector(36 liters),Nasher Miles,0,0,0,224,3.5,11,78,,0,11
19,B07FKJL6CJ,Waterproof Anti-Theft Dust Rain Cover Backpack for Hiking Cycling,Hanumex,0,0,0,183,3.0,42,63,"Wednesday, February 23",0,42
