,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09RPH1SV1,Men's Trendy Sandals,ESSENCE,1,0,0,399,0,0,60,,0,"₹399
₹999 Save ₹600 (60%)"
1,B08GGV2NX8,Men's 6113 Fisherman Sandals,Centrino,1,0,0,859,3.9,"4,543",66,,1,"4,543"
2,B08NZDPFQP,Men's Sandals & Floaters,Centrino,1,0,0,879,3.9,"2,722",65,,1,"2,722"
3,B095WR43VD,Men's Sandals & Floaters,Centrino,1,0,0,849,3.8,"3,843",63,,1,"3,843"
4,B075G5HC8P,Men's Sandal,Sparx,0,0,0,714,4.1,"21,477",18,,1,"21,477"
5,B00IZ97K3I,Men's Athletic & Outdoor Sandals,Sparx,0,0,1,555,4.3,"16,844",21,,1,"16,844"
6,B00O32BQAO,Men's Athletic & Outdoor Sandals,Power,0,0,0,499,4.1,"4,505",0,,1,"4,505"
7,B09KPT5YBX,mens Ss-560 Sport Sandal,Sparx,0,0,0,798,3.7,4,0,,1,4
8,B0863XMD9R,Men's Sd-058 Outdoor Sandals,Campus,0,0,0,479,4.0,"3,503",20,,0,"3,503"
9,B0863YPSGD,Men's Sd-052 Outdoor Sandals,Campus,0,0,0,524,4.0,"3,220",25,,1,"3,220"
10,B07F6BB6TL,Men's Outdoor Sandals,Sparx,0,0,0,764,4.0,"2,251",19,,1,"2,251"
11,B07DSVRJFN,Men Sandals,Woodland,0,0,0,755,3.7,65,71,,1,65
12,B00IZ99XYC,Men's Athletic and Outdoor Sandals,Sparx,0,0,0,420,4.1,"17,320",23,,0,"17,320"
13,B00N2G05J0,Men's Athletic & Outdoor Sandals,Sparx,0,0,0,499,4.1,"15,658",0,,1,"15,658"
14,B09G6RMTK1,Women's 3802-1 Flat Sandal,Centrino,0,0,0,529,4.0,55,47,,1,55
15,B0966FG4DQ,"Flat Sandals for Women & Girls | Light weight, Comfortable & Trendy | Soft Footbed | Casual and Stylish Sandals for Walking, Working, All Day Wear",TRASE,0,0,0,669,4.1,616,61,,1,616
16,B07CWNXV5K,Men's Khaki Leather Sandals - (10 UK),Woodland,0,0,0,"2,464",3.9,92,25,,1,92
17,B098F96MRP,Men's Black Synthetic Leater Outdoor Casual Sandal,aadi,0,0,0,399,3.9,80,80,,1,80
18,B082QHW31P,mens Reebok Epic Sandal Outdoor Sandals,Reebok,0,0,0,720,3.5,961,60,,1,961
19,B08G5MLGFG,Men's N. Blue Yellow Outdoor Sandals-11 UK (SS0109S_NBYL0011),Sparx,0,0,0,594,4.6,23,21,,1,23
20,B08C3C2QVB,Men's Fisherman Sandal,Centrino,1,0,0,791,3.6,"1,227",68,,1,"1,227"
21,B0972Q1NPN,mens 3683 3683,Centrino,1,0,0,589,0,0,69,,1,"₹589
₹1,899 Save ₹1,310 (69%)"
22,B09B5H6H8T,Kids Unisex Brown Shoes Sandals with Slippers ( 2 Pairs ),PVC,1,0,0,429,4.0,71,57,,1,71
23,B0972QB3N2,Men's 3667,Centrino,1,0,0,702,3.9,40,69,,1,40
24,B072L4HCJ8,Men's Grey Formal,PARAGON,0,0,0,329,4.1,"5,601",0,,0,"5,601"
25,B07X1RMVHQ,Men's Classic Fisherman Sandals,BATA,0,0,0,532,4.0,701,24,,1,701
26,B01F1ZGVT2,mens Ss-447 Sport Sandal,Sparx,0,0,0,773,4.0,"2,731",14,,1,"2,731"
27,B07VTG69JZ,mens Ss-485 Sport Sandal,Sparx,0,0,0,888,4.2,628,6,,1,628
28,B08598663F,mens Sd-052 Outdoor Sandals,Campus,0,0,0,531,4.1,436,24,,1,436
29,B01FVXCYSG,Women's Toe-Ring Fashion Sandals,BATA,0,0,0,414,4.2,503,17,,0,503
30,B088PDTFD1,Girl's Fashion Sandals,Chips,0,0,0,159,4.0,936,9,,0,936
31,B016I31U42,Men's Sedan Mule Leather Casual Slippers,Hush Puppies,0,0,0,"1,232",3.8,"2,413",27,,1,"2,413"
32,B07Y36G6PB,Men's Clay Outdoor Sandals,BATA,0,0,0,489,3.9,306,30,,0,306
33,B07DJGRKV9,mens Gd 2185116cma Sandal,Woodland,0,0,0,"1,716",4.0,"1,578",25,,1,"1,578"
34,B084ZKPMLZ,Men's 3k-910 Outdoor Sandals,Campus,0,0,0,629,4.0,687,10,,1,687
35,B08G5MKSVV,mens Ss-101 Sport Sandal,Sparx,0,0,0,636,4.4,188,15,,1,188
36,B072DZ5PCR,Men's Fashion Sandal,PARAGON,0,0,0,249,4.2,766,0,,0,766
37,B07TGPMM13,mens 2350 Sandals & Floaters - Men's Shoes,Centrino,0,0,0,531,3.7,97,76,,1,97
38,B07VKFFFJ1,Women Fashion Sandals,AEROWALK,0,0,0,259,4.2,145,7,,0,145
39,B09NKZLJ7Y,Men SS-561 Floater Sandals,Sparx,0,0,0,899,4.0,1,0,,1,1
40,B095X3F2Z5,Men's Nigel Flat Sandal,BATA,0,0,0,499,4.0,81,17,,1,81
41,B07X3B3FLX,Men's Nexus Leather Fisherman Sandals,BATA,0,0,0,849,4.0,57,50,,1,57
42,B08W4YBBHD,Women Fashion Heels Sandal…,SHOFIEE,0,0,0,325,3.4,"2,811",67,,1,"2,811"
43,B00IZ9962Q,Men's SS0414G Black Sandal 6 (SS0414GBKBK0006),Sparx,0,0,0,588,4.1,157,26,,1,157
44,B00IZ97RFE,Men's Athletic & Outdoor Sandals,Sparx,0,0,0,659,4.2,"8,509",6,,1,"8,509"
45,B075LDHRGB,ESCOUTE Men's Green Sandals - 6 UK (PV0400G),PARAGON,0,0,0,339,4.0,488,0,,0,488
46,B09BKQWMN3,Men Black Casual Sandals for Men,Kraasa,0,0,0,279,3.3,227,69,,0,227
47,B094JKT74T,Men's Fashion Sandals,Centrino,0,0,0,679,3.6,215,62,,1,215
48,B07DJLDCDG,Men Sandals,Woodland,0,0,0,"1,617",4.0,"3,674",40,,0,"3,674"
49,B07S8KF41Z,Men's Clogs02 Shoes,Zerol,0,0,0,619,3.6,"10,774",11,,1,"10,774"
50,B091TMJFTR,Men's Tommen Fisherman Sandal,BATA,0,0,0,697,4.6,5,30,,1,5
51,B07RH2Q8YZ,Men's Gd 2662117 Leather Sandal,Woodland,0,0,0,"3,195",3.9,"1,216",0,,1,"1,216"
52,B0722M88NW,ESCOUTE Men's Black Sandals,PARAGON,0,0,0,339,4.0,"1,239",0,,0,"1,239"
53,B08WJ2DM5W,Men's Fl0352g Sandal,FLITE,0,0,0,279,3.9,316,0,,0,316
54,B07Z97HTGY,Men's Fashion Sandal,Prolific,0,0,0,848,3.6,"1,148",70,,1,"1,148"
55,B07S55N3XP,Women's Tricia Fashion Sandals,BATA,0,0,0,959,4.1,885,4,,1,885
56,B08VDH9CSF,Men's Leather Sandals,JOHN KARSUN,1,0,0,849,4.7,13,72,,1,13
57,B092JH1NZC,Men's 2GC-16 Outdoor Sandals,Campus,1,0,0,629,4.0,57,10,,1,57
58,B095WQ95MP,Men's Sandals & Floaters,Centrino,1,0,0,779,3.9,"2,273",66,,1,"2,273"
59,B09PZ28KL4,Men's Synthetic Back Open Shoe,ELITE FEET,1,0,0,599,0,0,60,,0,"₹599
₹1,499 Save ₹900 (60%)"
60,B08C3BSB8J,Men's Sandals & Floaters,Centrino,1,0,0,849,3.9,"2,722",66,,1,"2,722"
61,B08KXB92TK,Men's 6113 Fisherman Sandals,Centrino,1,0,0,839,3.9,"4,543",66,,1,"4,543"
62,B08KXBL5CH,Men's Fisherman Sandal,Centrino,1,0,0,919,3.6,"1,227",63,,1,"1,227"
63,B09BBDKR4P,Men's 2651-03 Sandal,Centrino,1,0,0,709,0,0,63,,1,"₹709
₹1,899 Save ₹1,190 (63%)"
64,B0858X412V,Men's Sd-052 Navy-Ylo Outdoor Sandals-8 UK (42 EU) (3K-SD-052),Campus,0,0,0,650,4.0,382,7,,1,382
65,B085V7K25C,Men's W1527 Outdoor Sandals,Walkaroo,0,0,0,277,4.6,7,4,,0,7
66,B07C15P1BJ,Men's Ss0105s Outdoor Sandals,Sparx,0,0,0,675,4.1,"3,102",0,,1,"3,102"
67,B091TLHTH5,Men's New Classic Sandal,BATA,0,0,0,555,3.9,88,31,,1,88
68,B075L97Q7B,Men's Mustard Thong Sandal-7 UK/India (41 EU) (A1PU6758GMSD00007G319),PARAGON,0,0,0,279,4.0,"1,408",13,,0,"1,408"
69,B08FTZQ8JK,Men's Ss0103s Sandal,Sparx,0,0,0,679,4.6,15,15,,1,15
70,B09G6TNGSN,Women's 3804-4 Flat Sandal,Centrino,0,0,0,273,3.7,6,73,,0,6
71,B01GHY0WVY,Women's Café Genuine Leather Sandal (1769408),Tao Paris,0,0,0,995,0,0,50,,0,"₹995
₹1,990 Save ₹995 (50%)"
72,B09BFLFQYW,Men's Nexus 2 Sandal,BATA,0,0,0,479,3.6,19,20,,0,19
73,B09N78T1ZX,Men's Rcs000a Thong Sandal,Red Tape,0,0,0,"1,199",0,0,70,,1,"₹1,199
₹3,999 Save ₹2,800 (70%)"
74,B08JHVGXWQ,"Steps Latest Collection, Comfortable Wedges Sandal for Women's & Girl's (Multi) (GHS-0049MLT)",Butterflies,0,0,0,499,3.7,541,67,,1,541
75,B0972LBNPW,Men's Sandals,Centrino,0,0,0,909,4.0,70,64,,1,70
76,B0987SLGJZ,Women Fashion Wedges Heel Sandals,SHOFIEE,0,0,0,288,3.2,190,71,,1,190
77,B089WH344H,Men's 3k-908 Outdoor Sandals,Campus,0,0,0,545,4.1,230,22,,1,230
78,B08T9NT9SV,Stylish Gems Sandal for Women | Sandal Chappals for women footwear | Women Sandal Flat Stylish,Sayera,0,0,0,296,3.8,748,63,,1,748
79,B07R7T6QQ1,Women's Ss0499l Outdoor Sandals,Sparx,0,0,0,665,4.0,696,5,,1,696
80,B095WMR5XS,Men's Sandals & Floaters,Centrino,1,0,0,809,3.9,"2,273",65,,1,"2,273"
81,B094989R2N,Men's 2GC-902 Outdoor Sandals,Campus,1,0,0,539,3.8,54,23,,1,54
82,B0972P2RPV,Men's 3667,Centrino,1,0,0,809,3.9,40,65,,1,40
83,B085L8Q2F5,Men's SD-504 Outdoor Sandal,Campus,1,0,0,489,4.0,468,30,,0,468
84,B075LHYCF1,Men's Brown Formal Thong Sandals - 8 UK/India (42 EU)(PU6728-6),PARAGON,0,0,0,299,4.2,"1,359",0,,0,"1,359"
