,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09KLMSVB3,"Warrior Men's Easy Slip On Walk Comfortable Design, Light Weight & Soft, Highly Flexible, Breathable Casual Stylish Walking/Running Shoes/Trainers (5-11UK)",Liberty,1,0,0,"2,499",4.0,5,0,,1,5
1,B07RR5N7YP,Men's Vega Pearl-z2 Running Shoes,Bourge,1,0,0,749,4.2,"55,060",50,,1,"55,060"
2,B09B7TSS72,Patrick Stylish Sports Shoes for Men |Designed During Athletics Training & Intensive Gym Workout | Lightweight Lace up Men’s Stylish Footwear |,Columbus,1,0,0,949,4.5,2,10,,1,2
3,B09DVFCCSK,Mens Mesh Master Running Shoes,Columbus,1,0,0,699,4.1,31,30,,1,31
4,B08D7TT2TC,Men's Running Shoe,Kraasa,0,0,0,499,3.7,"4,164",50,,1,"4,164"
5,B01N54ZM9W,Men's Wonder-13 Sports Running Shoes,ASIAN,0,1,0,499,4.0,"60,157",17,,1,"60,157"
6,B01HLHAA68,Men's Sports Shoes,ASIAN,0,0,0,499,3.9,"9,514",29,,1,"9,514"
7,B077N7DDL1,Men's Sd0323g Sneakers,Sparx,0,0,1,649,4.1,"30,596",13,,1,"30,596"
8,B07FRTXSJF,"Men's Cosko Running,Walking,Gym,Training Shoes",ASIAN,0,0,0,570,3.8,"12,715",43,,1,"12,715"
9,B082HL7TJX,Men's Training Shoe,TYING,0,1,0,262,3.3,"1,895",74,,0,"1,895"
10,B08H12NBVH,"Men's Bouncer-01 Sports,Walking,Gym,Training,Running Shoes",ASIAN,0,0,0,599,3.8,"6,990",40,,1,"6,990"
11,B0886G726Z,Men's Sports Shoes,T-Rock,0,0,0,322,2.9,"7,062",68,,0,"7,062"
12,B09CGV84QZ,Men's Hattrick-21 Sports Running Shoes,ASIAN,0,0,0,699,3.7,573,30,,1,573
13,B096SPCGJ3,"Men's Creta-12 Running,Sports,Walking Shoes",ASIAN,0,0,0,699,3.8,"6,096",46,,1,"6,096"
14,B07XDY78CX,Men's Stonic Running Shoes,Campus,0,0,0,989,4.0,"3,509",34,,1,"3,509"
15,B08Y6Z62FF,Women Stylish Fashionable & Sneaker Shoes for Running/Sports/Outdoors/Morning Walking/Basketball/Trekking/Dance (Black)_ES-5001-108-37,Earth Step,0,0,0,465,3.5,57,53,,1,57
16,B09QQMX1HC,Women's Running Shoe,ASIAN,0,0,0,299,3.8,399,40,,0,399
17,B09GMDGFV6,"Plasma-08 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight navy shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men",ASIAN,0,0,0,624,3.5,501,38,,1,501
18,B09LQSNFTV,Men's Rso134 Walking Shoe,Red Tape,0,0,0,"1,462",4.8,8,70,,1,8
19,B08PKGQ5QF,"Men's Rider-01 Phylon Sports,Running,Walking Shoes",ASIAN,0,0,0,"1,149",3.7,"2,781",43,,1,"2,781"
20,B09B3NRG59,Men's & Boys Multicolor Running Casual Sports Shoes,Amico,1,0,0,599,3.1,276,60,,1,276
21,B08DP2NTCL,Men's Supernal Nu 2 Idp Closed Shoe,Puma,1,0,0,"1,949",3.6,97,35,,1,97
22,B08TRJ452T,unisex-adult Brujas Running Shoe,Puma,1,0,0,"1,999",3.9,70,50,,1,70
23,B07S6NJ6SV,Men's Flyer Runner Engineer Knit Closed Shoe,Puma,1,0,0,"3,149",4.0,231,30,,1,231
24,B089QKP6MN,Men's Sneaker,T-Rock,0,0,0,499,3.3,"2,787",50,,1,"2,787"
25,B07KXDV57K,Men's Oxyfit Running Shoes,Campus,0,0,0,759,4.1,"22,961",5,,1,"22,961"
26,B09DS4CT84,Men's Missile-01 Running Shoes for Men I Sport Shoes for Boys with Beads Technology Sole for Extra Jump I Phylon Sole Casual Shoes for Men,ASIAN,0,0,0,"1,099",3.8,641,45,,1,641
27,B09B3P65DC,Men's & Boys Multicolor Running Casual Sports Shoes,Amico,0,0,0,599,3.1,276,60,,1,276
28,B07RHBVDY6,Men's Rodeo-2 Running Shoes,Campus,0,0,0,742,4.0,"5,512",26,,1,"5,512"
29,B07RF93CYT,Ignite Men's Running Shoes,Campus,0,0,0,629,4.0,"2,468",30,,1,"2,468"
30,B099FBPC6X,Tesla-44 Running Shoes for Men,Kraasa,0,0,0,499,3.6,251,50,,1,251
31,B09G6FXJWR,Unisex Jaffa 22 Cricket Shoes,DSC,0,0,0,"1,795",4.3,113,10,"Tuesday, February 8",1,113
32,B07V3GNPZV,Men's Jaunt Idp Running Shoes,Puma,0,0,0,"1,999",4.0,555,50,,1,555
33,B07YLM2SM6,Men's Running Shoes,WORLD WEAR FOOTWEAR,0,0,0,281,3.4,"1,016",44,,0,"1,016"
34,B0838KBDP2,Men's Tyson Running Shoes,Campus,0,0,0,"1,199",4.0,"3,781",0,,0,"3,781"
35,B07N7MR3DS,Men Starlight IDP Sneakers,Puma,0,0,0,"2,149",3.8,450,50,,0,450
36,B07R5S8TFT,"Cosco Running Shoes,Training Shoes,Gym Shoes,Sports Shoes,Walking Shoes for Men's",CLYMB,0,0,0,617,3.6,236,38,,1,236
37,B09M8QGNY2,mens Belter Shoes Cricket Footwear,DSC,0,0,0,849,3.7,4,0,"Friday, February 11",1,4
38,B084KQV9VW,Men Multicolour Latest Collection Sports Running Shoes - Pack of 2 (Combo-(2)-9064-1200),Shoefly,0,0,0,441,2.9,"1,110",56,,1,"1,110"
39,B09C6911CT,Kids & Boys (Combo-(2)-1665-1667) Casual Stylish Sports Shoes,WORLD WEAR FOOTWEAR,0,0,0,538,3.3,50,46,,1,50
40,B07M76X4CK,Men's Loire-z126 Running Shoes,Bourge,0,0,0,649,3.9,"19,795",57,,1,"19,795"
