,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09C3YM7KW,Oxygen-01 Running Shoes for Boys,ASIAN,1,0,0,"1,099",3.8,644,45,,1,644
1,B08H12NBVH,"Men's Bouncer-01 Sports,Walking,Gym,Training,Running Shoes",ASIAN,1,0,0,599,3.7,"7,139",40,,1,"7,139"
2,B07FRTXSJF,"Men's Cosko Running,Walking,Gym,Training Shoes",ASIAN,1,0,0,584,3.8,"12,875",42,,1,"12,875"
3,B0974M7DNY,"Men's Century-12 Running,Walking,Sports Shoes",ASIAN,1,0,0,674,3.9,"5,546",33,,1,"5,546"
4,B01N54ZM9W,Men's Wonder-13 Sports Running Shoes,ASIAN,0,1,0,499,4.0,"60,597",17,,1,"60,597"
5,B08D7TT2TC,Men's Running Shoe,Kraasa,0,0,0,444,3.7,"4,246",56,,0,"4,246"
6,B082HL7TJX,Men's Training Shoe,TYING,0,1,0,262,3.3,"1,917",74,,0,"1,917"
7,B07FRTXSJF,"Men's Cosko Running,Walking,Gym,Training Shoes",ASIAN,0,0,0,584,3.8,"12,875",42,,1,"12,875"
8,B096SPCGJ3,"Men's Creta-12 Running,Sports,Walking Shoes",ASIAN,0,0,0,699,3.8,"6,219",46,,1,"6,219"
9,B09CGV84QZ,Men's Hattrick-21 Sports Running Shoes,ASIAN,0,0,0,699,3.8,656,30,,1,656
10,B0886G726Z,Men's Sports Shoes,T-Rock,0,0,0,322,2.9,"7,113",68,,0,"7,113"
11,B08H12NBVH,"Men's Bouncer-01 Sports,Walking,Gym,Training,Running Shoes",ASIAN,0,0,0,599,3.7,"7,139",40,,1,"7,139"
12,B077N7DDL1,Men's Sd0323g Sneakers,Sparx,0,0,1,649,4.1,"30,829",13,,1,"30,829"
13,B09NW4D4TJ,Trendmode Casual Funky High Top Blue Synthatic Shoes for Men,Generic,0,0,0,229,3.0,6,67,,0,6
14,B07XDZNN71,Men's Stonic Running Shoes,Campus,0,0,0,989,4.0,"3,594",34,,1,"3,594"
15,B089QKP6MN,Men's Sneaker,T-Rock,0,0,0,499,3.3,"2,820",50,,1,"2,820"
16,B07MPZ56SM,Men's Loire-z126 Running Shoes,Bourge,0,0,0,649,3.8,"19,980",57,,1,"19,980"
17,B09QD1N5L4,Mens Stylish Sporty Safety Shoe with Steel Toe for insdustrial and Construction Use,BERKINS,0,0,0,799,0,0,60,,1,"₹799
₹1,999 Save ₹1,200 (60%)"
18,B07H4HR3CZ,Men's Running Shoes,Sparx,0,0,0,891,4.2,"10,183",15,,1,"10,183"
19,B083GV2KQP,Men's Running Shoe,Sparx,0,0,0,"1,356",4.1,"4,215",20,,1,"4,215"
20,B08PKGD37F,"Men's Rider-01 Phylon Sports,Running,Walking Shoes",ASIAN,1,0,0,"1,149",3.7,"2,867",43,,1,"2,867"
21,B08K7HM4JB,Men's Future-01 Running Shoes,ASIAN,1,0,0,486,3.9,"3,899",25,,0,"3,899"
22,B0757F67TV,"Wonder-11 Running Shoes,Training Shoes,Gym Shoes,Sports Shoes for Men…",ASIAN,1,0,0,499,3.8,"4,495",17,,1,"4,495"
23,B07RQ2BCN6,Men's Vega Pearl-z2 Running Shoes,Bourge,1,0,0,719,4.2,"55,377",52,,1,"55,377"
24,B0836DHFX5,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's",Axter,0,0,0,259,3.1,72,48,,0,72
25,B07RJG639D,Ignite Men's Running Shoes,Campus,0,0,0,629,4.0,"2,594",30,,1,"2,594"
26,B09GMDGFV6,"Plasma-08 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight navy shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men",ASIAN,0,0,0,624,3.5,567,38,,1,567
27,B07KXDV57K,Men's Oxyfit Running Shoes,Campus,0,0,0,759,4.1,"23,169",5,,0,"23,169"
28,B08PKGQ5QF,"Men's Rider-01 Phylon Sports,Running,Walking Shoes",ASIAN,0,0,0,"1,149",3.7,"2,867",43,,1,"2,867"
29,B099QQ5DB1,Sneakers Casual Canvas Fabric Colour Shoes for Men and Boys,Robbie jones,0,0,0,499,3.3,653,50,,1,653
