,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08MWF3TGK,"Boldfit Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids",Boldfit,1,1,0,474,4.1,"5,286",32,"Friday, February 11",0,"5,286"
1,B091PXCDX2,"Fashnex Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids",Fashnex,1,0,0,349,4.5,279,50,"Saturday, February 12",0,279
2,B09JYVS1S7,"FEGSY Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids - Multicolor",FEGSY,1,0,0,299,4.0,196,50,"Friday, February 11",0,196
3,B0895LNP7S,"Burnlab Active Metallic Handle Speed Skipping Rope with Adjustable Length Rope and Anti-Slip Handles, Perfect for Crossfit, Double Unders and HIIT Cardio",Burnlab,1,0,0,699,4.3,549,22,"Friday, February 11",1,549
4,B07G8FNL3Q,"Aurion Skipping-Rope Jump Skipping Rope for Men, Women, Weight Loss, Kids, Girls, Children, Adult - Best in Fitness, Sports, Exercise, Workout",Aurion,0,1,0,122,3.9,"21,697",18,"Friday, February 11",0,"21,697"
5,B082435XQH,Nivia Trainer Jump Rope,Nivia,0,0,1,119,4.3,168,14,"Tuesday, February 8",0,168
6,B07QFVW623,"Strauss Skipping Rope & Jump Rope for Men & Women, (Multicolor)",Strauss,0,0,0,164,4.0,"9,512",45,"Tuesday, February 8",0,"9,512"
7,B09GYDMLD9,"Aurion SR-404 Jump Rope Workout-Professional Skipping Rope Silicone Comfortable Grips, Heavy Jump ropes Adults Fitness Women Men, Cardio Boxing Endurance Training Exercise SR-402",Aurion,0,0,0,79,3.8,57,0,"Friday, February 11",0,57
8,B08MWF3TGK,"Boldfit Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids",Boldfit,0,1,0,474,4.1,"5,286",32,"Friday, February 11",0,"5,286"
9,B09PRR91WG,"NVD skipping rope for weight loss, Jump Rope, weight loss products for women & men, gym equipment for men, gym accessories for men & Women - Tangle Free skipping rope for kids",NVD,0,0,0,239,4.6,26,82,"Sunday, February 13",1,26
10,B089H1VV8Q,"Lifelong LLSR01 Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids (275cm, Red and Black)",Lifelong,0,0,0,99,4.1,"5,127",67,"Tuesday, February 8",0,"5,127"
11,B0968JLTLD,"Aurion Jump Rope Workout-Professional Skipping Rope Silicone Comfortable Grips, Heavy Jump ropes Adults Fitness Women Men, Cardio Boxing Endurance Training Exercise",Aurion,0,0,0,99,3.9,"1,606",0,"Tuesday, February 8",0,"1,606"
12,B07HL6H1VS,GOCART WITH G LOGO Jump Ropes Sports Fitness Exercise Cotton Sponge Count Rope Skipping Wire Fitness Outdoor Sporting Skip Rope,GOCART,0,0,0,265,3.8,"3,095",71,"Sunday, February 13",0,"3,095"
13,B07HKLRJ6D,"Simran Sports Jumping Skipping Rope for Gym Training, Exercise and Workout",Simran,0,0,0,139,4.0,640,77,"Tuesday, February 15",0,640
14,B07TCNBG5Y,"AmazonBasics Standard Jump Rope, Grey",AmazonBasics,0,0,0,284,4.3,"3,437",53,"Tuesday, February 8",0,"3,437"
15,B09QLJ3TH4,"A.K (Pack Of 2Pcs) Cotton Jumping Rope With Wooden Handle Speed Freestyle Skipping Rope (White, Length: 259 cm)",A.K,0,0,0,149,0,0,63,"Sunday, February 13",0,"₹149
₹399 Save ₹250 (63%)"
16,B015E1JVN6,Vector X Skipping Rope (Black),Vector,0,0,0,160,4.0,"9,457",0,"Tuesday, February 15",0,"9,457"
17,B098FFRHBM,"Kore Freestyle Jumping Skipping Rope for Men, Women, Kids for Weight Loss, Sports, Exercise, Fitness and Workouts",Kore,0,0,0,84,3.8,"1,406",0,"Friday, February 18",0,"1,406"
18,B079TP19NP,"Henco Jumping Skipping Rope, Jumping Trainer Adjustable Size",Henco,0,0,0,179,4.1,"1,122",40,"Tuesday, February 15",0,"1,122"
19,B09JYVS1S7,"FEGSY Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids - Multicolor",FEGSY,0,0,0,299,4.0,196,50,"Friday, February 11",0,196
20,B09P6QBQ41,"BOSTER SpeedX Adjustable Skipping Rope for Men, Women & Kids – Speed Jump Rope for Exercise Workout & Weight Loss ( 9 FEET)",BOSTER,1,0,0,249,5.0,10,50,"Friday, February 11",0,10
21,B07TFW2G6N,"AmazonBasics Standard Jump Rope, Black",AmazonBasics,1,0,0,247,4.2,"1,291",59,"Tuesday, February 8",0,"1,291"
22,B07S9JNX8R,"Spike Speed Skipping Jump Rope for Weight Loss, Fat Loss, Strength Designed for Both Men and Women",Spike,1,0,0,699,3.9,460,53,"Monday, February 14",1,460
23,B09N7BN4ML,"DIMAZO 2 In 1 Jump Rope Indoor Outdoor, Speed Skipping Rope for Fitness, Adjustable Length Weighted Cordless Jump Rope for Men Women Kid",DIMAZO,1,0,0,449,4.1,33,65,"Sunday, February 13",1,33
24,B07P655YSJ,ABB INITIO Adjustable Slim Shape Weight Loss Ball Pencil Speed Skipping Rope,ABB,0,0,0,129,4.0,632,78,"Tuesday, February 8",0,632
25,B09P6QBQ41,"BOSTER SpeedX Adjustable Skipping Rope for Men, Women & Kids – Speed Jump Rope for Exercise Workout & Weight Loss ( 9 FEET)",BOSTER,0,0,0,249,5.0,10,50,"Friday, February 11",0,10
26,B09GM3T2R3,Skypremium wooden jumping rope for men women,Skypremium,0,0,0,140,3.9,14,72,"Sunday, February 13",1,14
27,B09MM9452N,"Athverv Adjustable Skipping Rope for Men, Women & Kids – Speed Jump Rope for Exercise Workout & Weight Loss",Athverv,0,0,0,349,4.5,30,56,"Sunday, February 13",0,30
28,B091PXCDX2,"Fashnex Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids",Fashnex,0,0,0,349,4.5,279,50,"Saturday, February 12",0,279
29,B09PY841LV,"VENIZIO Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout & Weight Loss - Tangle Free Jumping Rope for Kids",VENIZIO,0,0,0,275,4.4,806,72,"Sunday, February 13",1,806
30,B07MW77JQF,"Krdsquare Jump Skipping Rope for Men Gym, Women, Weight Loss, Kids, Girls, Children, Adult Best in Sports, Fitness, Exercise, Workout",Krdsquare,0,0,0,89,4.0,"1,494",85,"Tuesday, February 15",0,"1,494"
31,B097F59VMG,Antina Beaded Freestyle Skipping Rope,Antina,0,0,0,219,4.0,14,56,"Tuesday, February 15",0,14
32,B08CSHDMVR,"Aerolooks Pink Jump Skipping Rope for Men Gym, Women, Weight Loss, Kids, Girls, Children, Adult Best in Sports, Fitness, Exercise, Workout",Aerolooks,0,0,0,79,3.8,116,83,"Sunday, February 13",0,116
33,B08DRTNF7C,"Sportif Gym Wire Skipping Rope for Men, Women, Weight Loss, Exercise Training (with Length Adjustable) (Random Colour)",Sportif,0,0,0,190,3.8,153,62,"Tuesday, February 15",1,153
34,B07MJRKBQ7,"Urban Gear Unisex Fitness Jumping Skipping Rope with Wooden Handle for Weight Loss, Gym Training,Exercise & Workout",Urban,0,0,0,69,3.8,895,65,"Tuesday, February 15",0,895
35,B09PVJWWZL,Glowzade™ New Jump Ropes With Counter Sports Fitness Cross fit Adjustable Fast Speed Freestyle Skipping Rope(Assorted Colour),Glowzade™,0,0,0,135,0,0,55,"Saturday, February 12",1,"₹135
₹299 Save ₹164 (55%)"
36,B09BJD5DBR,"ZEBSY Skipping Rope for Men, Women & Children - Jump Rope for Exercise Workout ,Adjustable with Double Foam Handles Tangle Free",ZEBSY,0,0,0,249,3.8,39,75,"Sunday, February 13",1,39
37,B0839JNR6H,Sportsholic Skipping Jump Rope with Counter for Kids 5 to 10 Years,Sportsholic,0,0,0,189,3.8,4,62,"Monday, February 14",1,4
38,B0963YRTZP,"FirstFit Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men, and Kids, Adjustable Steel Skipping Rope with Foam Handles for Gym Fitness (6 Month Warranty)",FirstFit,0,0,0,275,3.9,41,72,"Sunday, February 13",1,41
39,B08Y7QTKTM,Athverv Adjustable Skipping Rope,Athverv,0,0,0,229,4.2,254,62,"Monday, February 14",0,254
40,B071FWY8G5,"Curveit Leap Speed Skipping Rope For Men, Women & Kids-10 Ft Light Weight Long Adjustable Steel Cable Wire Jump Rope | Designed For Intermediate And Advanced Levels | Light Weighted Handles Cause Less Arm Fatigue | Perfect for Crossfit, Double Unders and HIIT Cardio",Curveit,0,0,0,299,4.0,778,40,"Friday, February 11",0,778
41,B09G9TB5N5,"FUNEX Skipping Rope with Length Adjustable for Kids, Girls, Women, Men for Exercise, Workout, Training and Weight Loss",FUNEX,0,0,0,159,3.6,17,73,"Sunday, February 13",1,17
42,B08KJDC7V8,"Aerolooks® Jump Rope with Plastic Beaded & Long Handle Freestyle Skipping Rope (Purple, Length: 9Ft) (Made in India)",Aerolooks®,0,0,0,419,5.0,4,66,"Sunday, February 13",0,4
43,B09PVCX72X,"LYDL Jump Rope for Men-Skipping Rope for Men-Women & Children,Jump Rope for Exercise Workout & Weight Loss-Tangle Free Jumping Rope for kids-best in Fitness, Sports-Exercise(Multicolor)",LYDL,0,0,0,259,5.0,6,74,"Sunday, February 13",1,6
44,B09BG9YJ9B,"WiseLife Skipping Rope for Workout & Exercise | Jump Rope for men, women and children with adjustable length | Skipping rope for weight loss",WiseLife,0,0,0,349,4.9,36,58,"Saturday, February 12",0,36
45,B08GHHNHTT,"Lordz Adjustable Skipping Rope Tangle-Free with Ball Bearings Rapid Speed Jump Rope Cable and Memory Foam Handles Ideal for Aerobic Exercise Like Speed Training, Endurance Training and Fitness Gym",Lordz,0,0,0,225,4.0,"1,739",30,"Tuesday, February 15",1,"1,739"
46,B09F4TVDND,HYCOT New Jump Ropes With Counter Sports Fitness Cross fit Adjustable Fast Speed Freestyle Skipping Rope(Assorted Colour),HYCOT,0,0,0,140,2.0,4,72,"Saturday, February 12",1,4
47,B08K44XMN5,"Aerolooks® Jump Rope with Plastic Beaded & Long Handle Freestyle Skipping Rope (Black & White, Length: 9Ft) (Made in India)",Aerolooks®,0,0,0,422,4.1,33,68,"Sunday, February 13",0,33
