,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08WH46NL4,"Activewear Men's Premium Athletic Cotton Cushion Ankle Socks with Sports Tab, Pack of 6 (UK Foot Size: 7-11)",KOPNHAGN,1,0,0,375,4.3,708,62,,0,708
1,B08YZ19LH9,"Eco Touch Men's Athletic Ankle Socks for Running & Gym, Pack of 3 (Size UK 7-11)",BAMBOS,1,0,0,499,4.2,"1,316",50,,1,"1,316"
2,B079GYH6V4,Men Liners Socks,Justice League,1,0,0,316,3.7,74,29,,0,74
3,B099KJF3K7,"Advance Men's Active Cushion High Ankle Extra Durable Multi-Purpose Sports Socks, Assorted Combo, Pack of 3, Free Size",NAVYSPORT,1,0,0,349,4.2,536,65,,0,536
4,B06XQMMKN2,Men's Cotton Polyster Nylon Elastane Combo Of 3 Ankle Socks Pair (Black/White/Grey_Medium),Adidas,0,1,0,150,3.9,"2,149",70,,1,"2,149"
5,B092269QR8,"Men's Premium Cotton Cushion Sports Ankle Socks, Pack of 5 Assorted Colours",KOPNHAGN,0,0,1,299,4.1,"4,714",70,,0,"4,714"
6,B08F1VYKNY,"Men's Cotton Solid Ankle Socks, Free Size, Pack of 3 (Multicoloured)",NAVYSPORT,0,0,0,229,4.1,"20,248",54,,0,"20,248"
7,B07JJZ52JZ,"Men's Solid Plain Cotton Loafer Socks with Silicon Anti Skit Support (Multicolour, Large) -Pack of 5 Pairs",ME STORES,0,0,0,199,3.9,"1,353",67,,1,"1,353"
8,B07RPFNSZX,Men & Women Solid Low Cut Loafer Socks (Multi-Coloured),FABdon,0,0,0,179,4.1,614,55,,0,614
9,B0917ZWCPJ,"Men's Ankle Length Formal/Casual Socks, 6 Pairs (Multicolor, Free Size)",SOXCO,0,0,0,239,3.9,"2,189",76,,0,"2,189"
10,B07H8NPG15,Men's Cotton Calf Length Formal Socks Combo of 3(SCS-901),CREATURE,0,0,0,248,4.2,"3,142",72,,0,"3,142"
11,B07RSL1R5N,"Winter Wear Men's Thick Towel Terry Cotton Premium Warm Cushion Socks (Solid, Free Size), Pack of 4",ARKYLE,0,0,0,299,4.2,"2,900",50,,0,"2,900"
12,B07YGR43WZ,"Men's Woolen Calf Length Solid Thick Terry Winter Wear Socks (Multicolor, Free Size) - Pack of 5 Pairs",RC. ROYAL CLASS,0,0,0,399,4.3,"2,061",67,,0,"2,061"
13,B07Y8LJ91G,"Unisex Cotton Printed Ankle Length Socks (White-Blue Depth/Grey Mel, Free Size) Pack of 3",Adidas,0,0,0,199,3.5,50,60,,1,50
14,B00W06IL58,Men's Socks (Pack of 3) (Colors May Vary),Jockey,0,0,0,325,4.1,"3,896",35,,0,"3,896"
15,B07VJX521H,Men's Ankle Length Cotton Socks (Pack of 12) (ETFSGDS11 - PACK 12_Multicolored),DIGITAL SHOPEE,0,0,0,299,3.5,697,70,,0,697
16,B073WZD93T,Men's Calf Length Cotton Socks (Pack of 3),NAVYSPORT,0,0,0,251,4.1,"7,968",58,,0,"7,968"
17,B09GKDRRG3,Men & Women Printed Ankle Length Socks (Pack of 12),BROEN,0,0,0,290,3.7,256,27,,0,256
18,B07568LGB4,Men's Flat Knit Quarter SOCK'S-3 Pair of Pack,Adidas,0,0,0,399,4.4,8,20,"Saturday, February 19",0,8
19,B09LHD223C,Women’s Cotton Ankle Length No Show Low Cut Socks Multicolor Free Size 5 Pair,ayushicreationa,0,0,0,258,2.2,4,57,,1,4
20,B09BJWZNHJ,Men's and Women's Premium Cotton Cushion Ankle Socks,Best Friends Forever,1,0,0,285,0,0,64,,0,"₹285
₹800 Save ₹515 (64%)"
21,B07WYZSVQQ,Men's Ankle Length Cotton & Spandex Socks (Pack of 6),BALENZIA,1,0,0,349,3.6,148,30,,0,148
22,B075N2BMFL,"Men's Cotton Socks (Free Size, Multicolour) - Set of 3",Allen Solly,1,0,0,449,4.2,132,0,,0,132
23,B07WZFXLGP,"Men's Plain/ Solid Ankle Length Socks, made with 100% combed cotton & spandex (Multicolour)- Assorted Combo Pack of 10 (Free Size)(Black,Navy, Dark Grey)",BALENZIA,1,0,0,349,3.9,734,42,,0,734
24,B08P2PZB91,"Vintage Stripes Men's Premium Cotton Cushion Sports Socks, Pack of 6 (Free Size)",KOPNHAGN,0,0,0,375,4.1,"2,744",62,,0,"2,744"
25,B07CGH4HHY,Men's Cushioned High Ankle Sports Socks- Pack of 3,BALENZIA,0,0,0,260,4.2,"6,969",20,,0,"6,969"
26,B01N1UDJQ6,Multicolour Cotton Ankle Length Socks for Men - Pack of 3,Adidas,0,0,0,199,4.0,"1,057",60,,1,"1,057"
27,B079SHJJ8B,"Unisex Mercerised Anti-Slip Cotton Loafer Socks (Grey White Blue Black, Free Size) - Pack of 5",Tex Home,0,0,0,251,3.9,"2,066",61,,0,"2,066"
28,B07JM3KKB7,Women's Calf Length Towel Terry Thick Woolen Multicolored Socks (Pack of 3 Pairs),RC. ROYAL CLASS,0,0,0,464,4.2,"1,084",39,,0,"1,084"
29,B08KY7BRMJ,"Women's Warm Woolen Calf Length Thumb Socks (Multicolored, Large)- Set of 3 Pairs",CREATURE,0,0,0,291,4.3,911,68,,0,911
30,B07GLF9CP6,Women's Socks (Pack of 2) (7491_Assorted_Free Size)(Colors & Print May Vary)(color may vary),Jockey,0,0,0,199,4.1,"1,117",9,,0,"1,117"
31,B07JNP2L3R,Women's Ankle Length Cotton Socks (Pack of 3) (WCCD-NCY-3S-2_Multicolored),Supersox,0,0,0,261,4.2,"2,265",35,,0,"2,265"
32,B00LQC7GIA,Unisex Ankle Length Standard Cotton Socks (Pack of 3) Assorted,Adidas,0,0,0,170,3.7,"1,074",66,"Thursday, February 17",0,"1,074"
33,B079MG395Z,Men's Ankle Length Socks (Multicolour) - Pack of 4,Jockey,0,0,0,414,4.1,599,26,,0,599
34,B083G3B2LG,100% cotton ankle socks free size for men and women (pack of 3 pair),Generic,0,0,0,69,3.6,5,65,,1,5
35,B07F45BPHZ,Women's & Girl's Ankle Length Net Socks (Pack of 8) (SHAD33-205_Transparent),INFISPACE,0,0,0,200,3.9,227,55,,0,227
36,B015O39YR2,Ladies woolen thumb socks - - Assorted,Bonjour,0,0,0,556,4.4,"1,777",5,,0,"1,777"
37,B08JQD1QYZ,Men's Office Wear Compact Combed Cotton Regular Length Black Color Socks ( Free Size) - Pack of 3,Supersox,0,0,0,210,4.2,820,65,,0,820
38,B079SCPN7W,"Nivia 728LBW Encounter Blend Stockings, Large (Black)",Nivia,0,0,0,105,4.1,"1,466",0,"Monday, February 14",0,"1,466"
39,B07FKCK3KK,mens Socks,Nike,0,0,0,448,4.2,414,25,,0,414
40,B07LCMXT4K,Men's Cotton Liners Socks (Pack of 3),Adidas,0,0,0,199,4.1,28,60,,1,28
41,B01G3NUDI6,"Men's Woolen Thick Towel Formal Winter Socks (Pack of 3)(Free Size, Multicolored)",RC. ROYAL CLASS,0,0,0,320,4.3,"2,828",51,,0,"2,828"
42,B07RMJ5H46,Men's Cotton Socks (Pack of 4),ARKYLE,0,0,0,279,4.0,"2,064",53,,0,"2,064"
