,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07NRD78BZ,"Sportneer Gym Gloves, Padded Weight Lifting Gloves,Workout Gloves with Built-in 19"" Wrist Wraps, Exercise Gloves for Cross Training, Pull Ups, Fitness, Powerlifting, for Men & Women",Sportneer,1,0,0,797,4.4,"2,701",20,"Sunday, February 13",1,"2,701"
1,B07JZXFTQ8,"FASHNEX Gym Gloves for Weightlifting, Crossfit, Fitness & Other Sports with Wrist wrap Support for Men & Women",FASHNEX,1,0,0,699,4.1,604,42,"Saturday, February 12",1,604
2,B072MYDN83,"JoyFit - Weightlifting Gloves for Gym, Powerlifting, Workout, Weightlifting, Crossfit, Fitness, Sports for Men and Women",JoyFit,1,0,0,449,3.7,19,55,"Tuesday, February 15",0,19
3,B09NDKWHJJ,"AS Sports Weight Lifting Workout Gym Gloves with Wrist Support, Unisex, Free Size",AS,1,0,0,267,0,0,46,"Sunday, February 13",0,"₹267
₹499 Save ₹232 (46%)"
4,B098W8TPKN,"APRODO Sports Weight Lifting Workout Gym Gloves with Wrist Support, Unisex, Free Size",APRODO,0,0,1,245,4.0,753,45,"Tuesday, February 15",0,753
5,B072L21T94,Nivia Python Sports Gloves,Nivia,0,0,0,331,4.1,"1,391",34,"Tuesday, February 8",0,"1,391"
6,B00QESWIV6,Pro-Biker Motorcycle Bike Racing Riding Gloves,Pro-Biker,0,1,0,273,3.7,"9,179",0,,0,"9,179"
7,B08WHV4VS6,"KeepCart Nylon Tactical Half Finger Gloves for Sports, Hiking, Cyclling, Travelling, Camping, Outdoor, Motorcycle Riding, Arm Shooting, Gym Gloves Fingerless Half Finger Men Women Work Outdoor Gloves",KeepCart,0,0,0,427,4.2,628,57,"Saturday, February 12",0,628
8,B089FJXZWX,"Cratos Nylon Tactical Half Finger Gloves for Sports, Hard Knuckle,Hiking,Cyclling,Travelling,Camping,Outdoor,Boxing, Motorcycle Riding, Arm Shooting Gym Gloves | Army Green Colour MEDIUM SIZE",Cratos,0,0,0,329,3.8,"1,687",63,"Sunday, February 13",1,"1,687"
9,B06XQYCTLZ,Nivia Crystal Gym Gloves,Nivia,0,0,0,231,3.6,"4,155",8,,0,"4,155"
10,B082CZN7T4,Adroitz Half Bike Gloves for Bikers/Outdoor,Adroitz,0,1,0,233,3.9,344,71,,0,344
11,B019OSG6YC,Nivia Running Gloves,Nivia,0,0,0,279,3.3,473,2,"Tuesday, February 8",0,473
12,B07BTW8DQC,StarX GG-LN-700 Neoprene and Lycra Gym Gloves,StarX,0,1,0,239,3.8,"3,205",66,"Tuesday, February 15",0,"3,205"
13,B07ZCYS15K,"DreamPalace India Full Finger Touchscreen Protective Gloves for Motor Cycle/Bike/Moto Cross/Outdoor Sports Bicycle Cycling/Racing/Driving/Riding, Neoprene, Lycra, Mesh, Microfiber(Free Size) (Grey)",DreamPalace,0,0,0,499,3.8,112,62,"Sunday, February 13",1,112
14,B06Y46VGR6,Xtrim X Macho Unisex Professional Wrist Wrap Support Real Leather Tactical Thumb Stretch Back Weightlifting Gym Gloves for Palm and Wrist Protection,Xtrim,0,1,0,379,4.2,"6,613",57,"Friday, February 11",0,"6,613"
15,B09JNSLB3P,"ZORRO SPORTS Padded Weight Lifting Gloves, Gym Gloves, Workout Gloves with Built-in 19"" Wrist Wraps, Exercise Gloves for Cross Training, Pull Ups, Fitness, Powerlifting, for Men & Women",ZORRO,0,0,0,175,4.2,5,56,"Tuesday, February 15",0,5
16,B07SN3M28Q,Nivia Prowrap 2.0 Sports Gloves,Nivia,0,0,0,625,3.2,26,0,"Sunday, February 13",1,26
17,B00IAPKNQ8,Nivia Python Gym Gloves,Nivia,0,0,0,430,4.1,"2,452",17,"Tuesday, February 8",0,"2,452"
18,B07MX45PMN,"GOCART WITH G LOGO Tactical Gloves Military Hiking Mountain Motorcycle Biking Camping Gloves Fingerless Half Finger Men Women Work Outdoor Gloves(XL,Black)",GOCART,0,0,0,425,4.1,284,61,,0,284
19,B08MBV7857,Rioff® Gym Gloves for Men and Women with Wrist Support Band for Weight Lifting and Exercise,Rioff®,0,0,0,249,4.1,69,50,"Tuesday, February 15",1,69
20,B07DM6V412,HETASH Unisex Nylon Fingerless Arm Sleeves with Thumb Hole for Sport Activities (Black) Best Material,HETASH,1,0,0,199,3.8,94,60,"Sunday, February 13",1,94
21,B07J68WV5F,"Aethon Gym Gloves with 19” Wrist Support, Pro Padded Weight Lifting Gloves, Exercise Gloves for Powerlifting, Cross Training, Workout, Best for Men & Women",Aethon,1,0,0,999,3.9,13,44,"Tuesday, February 8",1,13
22,B07FKLCYD5,"GOCART WITH G LOGO Weightlifting Gloves with 12"" Wrist Wrap Support for Gym, Power Lifting, Workout, Weightlifting, Cross fit, Fitness, Sports for Men and Women",GOCART,1,0,0,449,4.2,689,63,"Sunday, February 13",0,689
23,B08PDRK23Z,NEVER LOSE WMX Series Sports Leather Gym Gloves for Weight Lifting and Exercise,NEVER,1,0,0,399,3.6,502,60,"Saturday, February 12",0,502
24,B08NJJKSMK,"Serveuttam Weight Lifting Gloves for Gym Workout, Crossfit, Weightlifting, Fitness & Cross Training - The Best for Men & Women",Serveuttam,0,0,0,289,3.7,275,47,"Sunday, February 13",0,275
25,B076HJZVF2,Nivia Taipen Sports Gloves Grey SkyBlue,Nivia,0,0,0,297,3.7,276,18,"Sunday, February 13",0,276
26,B010SGKT60,Kobo Leather Fitness Gloves,Kobo,0,0,0,320,4.1,"10,329",16,"Thursday, February 17",0,"10,329"
27,B08FGW2CLL,5 O'Clock Sports Lycra Open Padded Gym Gloves for Weightlifting and Fitness (Blue),5,0,0,0,440,3.8,210,45,"Sunday, February 13",1,210
28,B08694QP8P,"KeepCart Tactical Half Finger Gloves for Sports, Hiking, Cycling, Travelling, Camping, Outdoor",KeepCart,0,0,0,417,4.1,333,48,"Sunday, February 13",0,333
29,B0747V3FTP,NIVIA Coral Micro Sports Glove - Yellow/Grey,NIVIA,0,0,0,400,3.7,766,18,"Tuesday, February 15",0,766
30,B08PD189HQ,Liffo® Gym Gloves for Men Women with Wrist Support Band for Weight Lifting and Exercise (Red),Liffo®,0,0,0,295,3.9,456,55,"Tuesday, February 15",1,456
31,B096K2NBY5,"APRODO Beginner Weight Lifting Gym Gloves, Free Size",APRODO,0,0,0,215,3.9,632,46,"Tuesday, February 15",0,632
32,B09QM8DMD7,Sports Gym Gloves for Men Women with Wrist Support Band for Weight Lifting and Exercise (Black),Sports,0,0,0,389,0,0,74,"Tuesday, February 15",0,"₹389
₹1,499 Save ₹1,110 (74%)"
33,B06XS24WZK,Nivia Crystal Gym Gloves (L),Nivia,0,0,0,209,3.6,"1,642",30,"Tuesday, February 8",0,"1,642"
34,B08FC8PKKK,STHIRA® Full Finger Touchscreen Windproof Gel Adjustable Size Bike Cycling Gloves (Black),STHIRA®,0,0,0,672,4.0,117,0,,0,117
35,B07QJ6BN49,NIRVA WITH DEVICE OF WOMEN PICTURE Fitness Sport Gym Exercise Half Finger Gloves (Black),NIRVA,0,0,0,449,0,0,25,"Sunday, February 13",0,"₹449
₹599 Save ₹150 (25%)"
36,B08RN3J7CF,"Arrowmax Cobra Gym Gloves for Weightlifting, Crossfit, Fitness & Other Sports/Cycling/Riding with Wrist wrap Support for Men, Women, Boys and Girls",Arrowmax,0,0,0,445,3.7,20,11,"Saturday, February 12",1,20
37,B07SJRXDPV,Nivia Cross Training Basic Gloves,Nivia,0,0,0,267,3.6,724,17,"Tuesday, February 8",0,724
38,B09R7Y62R7,Samsuthi's ® Kids Half Finger Gloves Non-Slip Sports Gloves for Outdoor Sports Children Aged 4-8 Years,Samsuthi's,0,0,0,222,0,0,68,"Wednesday, February 16",0,"₹222
₹699 Save ₹477 (68%)"
39,B06XRJPN51,"Nivia Crystal Gym Gloves, Navy Blue, Medium",Nivia,0,0,0,249,3.6,611,4,"Tuesday, February 8",0,611
40,B08WRFZRVY,"Aepigo Tactical Half Finger Gloves for Sports, Hiking, Cycling, Travelling, Camping, Outdoor",Aepigo,0,0,0,427,4.3,190,39,"Saturday, February 12",0,190
41,B09CZ2ZX77,Gymwar Weight Lifting Gym Gloves with Wrist Support- Free Size,Gymwar,0,0,0,249,4.0,7,58,"Sunday, February 13",1,7
42,B07NBXCVXK,"Nivia 887 Python Sports Gloves, XL (Sky Blue)",Nivia,0,0,0,478,3.9,18,7,"Tuesday, February 8",0,18
43,B08FGV4VWF,5 O' CLOCK SPORTS Lycra Gym Gloves for Weightlifting and Fitness for Men and Women (Black),5,0,0,0,277,3.7,25,65,"Sunday, February 13",0,25
44,B09Q657LD8,"SF7 Leather Half Finger Gloves for Sports, for Unisex",SF7,0,0,0,345,0,0,47,"Sunday, February 13",0,"₹345
₹649 Save ₹304 (47%)"
45,B09BCSPPBT,DSA Sports WINSTAR(Youth) Batting Gloves,DSA,0,0,0,499,4.0,3,64,"Tuesday, February 15",0,3
46,B06XQVBJM4,"Nivia Crystal Gym Gloves, Red, Small",Nivia,0,0,0,231,3.5,369,8,"Friday, February 11",0,369
47,B07XJQ9PRB,"Alexvyan Sports Imported Men's synthetic Warm Winter Outdoor Gloves for Protective Riding, Cycling, Bike Motorcycle Gym (Black )",Alexvyan,0,0,0,369,3.7,152,38,"Saturday, February 12",0,152
48,B098MC3DK5,"Aadikart Nylon Tactical Half Finger Gloves for Sports, Hard Knuckle,Hiking,Cyclling,Travelling,Camping,Outdoor,Boxing, Motorcycle Riding, Arm Shooting Gym Gloves (Black, M)",Aadikart,0,0,0,339,4.0,1,66,"Saturday, February 12",1,1
49,B07RWG3W61,"Sportneer Gym Gloves with Wrist Support Grip and Breathable Gym Glove Design Used for Weight Lifting, Pull Up, Crossfit, Cycling, Driving, Fitness, Gym Training",Sportneer,0,0,0,474,3.8,800,47,"Sunday, February 13",1,800
50,B071HF4WSZ,Nivia Venom Sports Gloves (Black),Nivia,0,0,0,735,4.0,307,12,"Tuesday, February 8",1,307
51,B07L6P1G9W,"LAFILLETTE Shockproof Anti-Slip Outdoor Professional Road Bike Bicycle Half Finger Cycling Gloves for Men Sport Gloves, Nylon, Lycra, Polyester Cotton(Blue)",LAFILLETTE,0,0,0,449,4.1,166,50,"Sunday, February 13",0,166
52,B08FGVSBP4,"5 O'Clock Sports Men's Lycra Gym Gloves with Wrist Support for Exercise and Fitness (Red, Free Size)",5,0,0,0,275,3.8,43,66,"Sunday, February 13",0,43
53,B09K5Y7XXY,Sahil Enterprises Half Finger Cycling Gloves Sports Non-Slip Light Weight Uni Blue M,Sahil,0,0,0,"1,289",0,0,36,"Monday, February 28",0,"₹1,289
₹2,008 Save ₹719 (36%)"
54,B09MHZTXNZ,"Mayor Freedom Gym, Crossfit, Exercise & Sports Gloves- Ideal for Men & Women (Blue/Black)",Mayor,0,0,0,210,3.0,1,16,"Saturday, February 12",0,1
55,B09QZ1GHB8,Srijan Sports Leather Gloves with Wrist Support Band for Weight Lifting and Exercise Gym & Fitness Gloves (Black),Srijan,0,0,0,175,0,0,77,"Sunday, February 13",0,"₹175
₹750 Save ₹575 (77%)"
