,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09KLMSVB3,"Warrior Men's Easy Slip On Walk Comfortable Design, Light Weight & Soft, Highly Flexible, Breathable Casual Stylish Walking/Running Shoes/Trainers (5-11UK)",Liberty,1,0,0,"2,499",4.0,5,0,,1,5
1,B07H4CVPZG,Men's Vega Pearl-z2 Running Shoes,Bourge,1,0,0,739,4.2,"55,060",26,,1,"55,060"
2,B099FBPC6X,Tesla-44 Running Shoes for Men,Kraasa,1,0,0,499,3.6,251,50,,1,251
3,B09RVBSBTX,"Sports Fashion Shoes for Men, Gym, Running, Sports",HRAVSO,1,0,0,649,0,0,84,,1,"₹649
₹3,999 Save ₹3,350 (84%)"
4,B01N54ZM9W,Men's Wonder-13 Sports Running Shoes,ASIAN,0,1,0,499,4.0,"60,157",17,,1,"60,157"
5,B07FRTXSJF,"Men's Cosko Running,Walking,Gym,Training Shoes",ASIAN,0,0,0,570,3.8,"12,715",43,,1,"12,715"
6,B07RLM42HZ,Men's Crysta Running Shoes,Campus,0,0,0,799,4.0,"10,806",24,,1,"10,806"
7,B09QM2BD59,"Men's INNOVA-01 Sports,Casuals,Gym,Training,Running Shoes",ASIAN,0,0,0,999,3.5,3,50,,1,3
8,B09GMDGFV6,"Plasma-08 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight navy shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men",ASIAN,0,0,0,624,3.5,501,38,,1,501
9,B0994L7F7Q,"Men's Bullet-02 Sports,Running,Walking Shoes",ASIAN,0,0,0,499,3.9,"11,967",17,,1,"11,967"
10,B096SPCGJ3,"Men's Creta-12 Running,Sports,Walking Shoes",ASIAN,0,0,0,699,3.8,"6,096",46,,1,"6,096"
11,B0886G726Z,Men's Sports Shoes,T-Rock,0,0,0,322,2.9,"7,062",68,,0,"7,062"
12,B08NF6QV1B,Women's Claire Off PRPL/Pink Running Shoes -6 UK,Campus,0,0,0,909,4.3,117,30,,1,117
13,B07RJG639D,Ignite Men's Running Shoes,Campus,0,0,0,629,4.0,"2,468",30,,1,"2,468"
14,B09CGTCQ62,Men's Hattrick-21 Sports Running Shoes,ASIAN,0,0,0,699,3.7,573,30,,1,573
15,B08H12BKQT,"Men's Bouncer-01 Sports,Walking,Gym,Training,Running Shoes",ASIAN,0,0,0,599,3.8,"6,990",40,,1,"6,990"
16,B0757F67TV,"Wonder-11 Running Shoes,Training Shoes,Gym Shoes,Sports Shoes for Men…",ASIAN,0,0,0,499,3.8,"4,454",17,,1,"4,454"
17,B08TWH1KY3,Men's (9310) Casual Sports Running Shoes,Men's,0,0,0,346,2.9,326,31,,0,2ROW
