,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08K3N7V7N,Men's Zx-1 Sports Running Shoes,Zebx,1,0,0,299,3.4,130,70,,0,130
1,B08CKS8KNW,Men's Vega Pearl-z2 Running Shoes,Bourge,1,0,0,659,4.2,"55,943",56,,0,"55,943"
2,B071LHNNRV,Men's Running Shoes,Bacca Bucci,1,0,0,914,3.7,540,70,,1,540
3,B08VDPV9B6,"Sports Shoes for Men | Latest Stylish Casual Sneakers for Men | Lace up Lightweight Shoes for Running, Walking, Gym, Trekking, Hiking & Party | Running Shoes for Men | Training Shoes for Men",Kraasa,1,0,0,444,3.6,570,56,,0,570
4,B01MTQ5M7B,Men's Wonder-13 Sports Running Shoes,ASIAN,0,1,0,449,4.0,"61,258",25,,0,"61,258"
5,B08KCT2TQ3,"Men's Creta-12 Running,Sports,Walking Shoes",ASIAN,0,0,0,699,3.8,"6,411",46,,1,"6,411"
6,B089RH69PV,Men SM-614 Sports Shoes,Sparx,0,0,0,787,4.0,"1,494",25,,1,"1,494"
7,B09BZRP78L,mens Sm-677 Running Shoe,Sparx,0,0,0,988,4.1,895,6,,1,895
8,B0757FRNYV,"Wonder-11 Running Shoes,Training Shoes,Gym Shoes,Sports Shoes for Men…",ASIAN,0,0,0,499,3.8,"4,583",17,,1,"4,583"
9,B09GM364LC,Sports Running Shoes for Men's,D Shoes,0,0,0,584,3.6,843,71,,1,843
10,B08FZTSBMN,Men's Clinch-x M Running Shoe,Adidas,0,0,0,945,4.0,975,65,,1,975
11,B01HLHA9LY,Men's Sports Shoes,ASIAN,0,0,0,499,3.9,"9,926",17,,1,"9,926"
12,B08PKGD37F,"Men's Rider-01 Running,Sports,Walking,Casual Shoes",ASIAN,0,0,0,"1,149",3.7,"3,015",43,,1,"3,015"
13,B0994L7F7Q,"Men's Bullet-02 Sports,Running,Walking Shoes",ASIAN,0,0,0,499,3.9,"12,151",17,,1,"12,151"
14,B0926BQG3T,"Rafale-01 Sports Shoes for Men | Latest Stylish Casual Sneakers for Men | Running Shoes for Boys | Lace up Lightweight Shoes for Running, Walking, Gym, Trekking, Hiking & Party Training & Gym",ASIAN,0,0,0,699,3.7,936,46,,1,936
15,B085MGHWFZ,"Women Shoes Running,Walking Sports Sneakers",ZOVIM,0,0,0,474,3.7,"2,100",53,,1,"2,100"
16,B08GKHNMGD,Men's Training Shoe,TYING,0,1,0,262,3.3,"1,951",47,,0,"1,951"
17,B0836DHFX5,"Men-9064 Grey Top Best Rates,Sports Shoes,Running Shoes,Trekking Shoes, Comfortable for Men's",Axter,0,0,0,259,3.0,74,48,,0,74
18,B07RJG639D,Ignite Men's Running Shoes,Campus,0,0,0,854,4.0,"2,798",5,,1,"2,798"
19,B07YHY3CK4,Men's Running Shoes,Sparx,0,0,0,"1,012",4.0,"10,612",25,,1,"10,612"
20,B092JR32SL,"Marvel Men Fashion Sneakers/Running Shoes with Air Cushion Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun",Bacca Bucci,1,0,0,"1,399",3.6,203,53,,1,203
21,B07NQGTTKL,Mens Trainers Athletic Walking Running Gyming Jogging Fitness Sneakers/Sports Shoes,Bacca Bucci,1,0,0,"1,199",4.4,45,52,,1,45
22,B08WBYWCKG,Men's Dragon-3 Shoes,Big Fox,1,0,0,649,3.5,384,35,,0,384
23,B07NDWVZ54,Mens Rapid Sports Casual Running Shoes Walking Jogging Gym Sneakers Comfortable Breathable Trainers Athletic (Size UK-6 to 12),Bacca Bucci,1,0,0,"1,199",3.7,76,52,,1,76
24,B09G1MBT3V,"Men's Velocity-01 Sports,Casual,Walking,Running,Gym Shoes",ASIAN,0,0,0,549,3.3,97,45,,1,97
25,B08H11WQZY,"Men's Bouncer-01 Sports,Walking,Gym,Training,Running Shoes",ASIAN,0,0,0,599,3.7,"7,369",40,,1,"7,369"
26,B09CSZ1231,Men Sports Shoes Running,Amazon Brand - Symactive,0,0,0,749,4.0,121,64,,1,121
27,B09CGTCQ62,Men's Hattrick-21 Sports Running Shoes,ASIAN,0,0,0,699,3.8,732,30,,1,732
28,B08WJ5FQGK,Men's Sm-661 Running Shoe,Sparx,0,0,0,"1,260",4.0,306,16,,1,306
29,B0886HWXQ8,Men's Sports Shoes,T-Rock,0,0,0,369,2.9,"7,207",63,,0,"7,207"
