,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08JV7N82S,Mens V-Neck Premium Cotton Sleeveless Sweater,GODFREY,1,0,0,854,3.9,310,47,,1,310
1,B097QBYTPK,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,719,4.2,37,67,,1,37
2,B08C38VTKN,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,579,3.6,152,61,,1,152
3,B08C38MP4P,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,1,0,0,709,3.8,417,56,,1,417
4,B07WR2KVMQ,Men's Wool V Neck Sweater,Men's,0,0,0,338,3.6,965,76,,0,BASE 41
5,B098LSNGBW,Men's Cotton Turtle Neck Sweater,DENIMHOLIC,0,1,0,895,4.0,"3,102",55,,1,"3,102"
6,B09B494WS4,Men High Neck Full Sleeve Winter Woolen Sweater,Kvetoo,0,0,0,599,3.8,280,65,,1,280
7,B09B2M4BZW,Men High Neck Zipper Full Sleeve Woolen Winter Sweater,Kvetoo,0,0,0,599,3.6,366,60,,1,366
8,B07T3SWV3B,Men's Blouson Nylon Sweater,Arrow Sports,0,0,0,0,2.8,3,0,,0,3
9,B08CKYWM7V,Men's Round Neck Sweater,Alan Jones Clothing,0,0,0,699,4.1,365,53,,1,365
10,B09GLY69FK,Women's Winterwear Woolen Self Cardigans Sweaters,eKools,0,0,0,848,4.0,193,61,,1,193
11,B07PMKF2L9,Women's Acrylic V-Neck Sweater,Kalt,0,0,0,"1,000",4.2,"1,088",50,,0,"1,088"
12,B09GLXRKBF,Women's Ladies Winter wear Woolen Self Cardigans Sweaters,eWools,0,0,0,747,3.9,201,66,,1,201
13,B08V5G3LM6,Women's Viscose Turtle Neck Full Sleeve Black Sweater,MansiCollections,0,0,0,349,4.6,7,56,,0,7
14,B09KKRXVF1,Cotton Turltle Neck Sweater for Men,DENIMHOLIC,0,0,0,795,3.8,99,68,,1,99
15,B08QZ9RF6D,Men's Casual Acrylic Sweatshirt,Marks & Spencer,0,0,0,599,4.3,19,54,,1,19
