,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08L3SGF5H,by BAGAHDBILLO Mens Ribbed Slim Fit Knitted Pullover Turtleneck Sweater,WearIndia,1,0,0,799,3.7,429,68,,0,429
1,B097QBYTPK,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,719,4.2,39,67,,1,39
2,B08JV7N82S,Mens V-Neck Premium Cotton Sleeveless Sweater,GODFREY,1,0,0,854,3.9,312,47,,1,312
3,B097QBCF67,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,729,3.5,34,67,,1,34
4,B07WR2KVMQ,Men's Wool V Neck Sweater,Men's,0,0,0,338,3.5,978,76,,0,BASE 41
5,B098LSNGBW,Men's Cotton Turtle Neck Sweater,DENIMHOLIC,0,1,0,895,4.0,"3,151",55,,1,"3,151"
6,B0993JDFSD,Women's Classic Acrylic Sweater,Women's,0,0,0,839,4.4,22,74,,1,TAB91
7,B09B494WS4,Men High Neck Full Sleeve Winter Woolen Sweater,Kvetoo,0,0,0,599,3.8,284,65,,1,284
8,B09B2M4BZW,Men High Neck Zipper Full Sleeve Woolen Winter Sweater,Kvetoo,0,0,0,599,3.7,375,60,,1,375
9,B08CKYWM7V,Men's Round Neck Sweater,Alan Jones Clothing,0,0,0,699,4.1,368,53,,1,368
10,B09JN143VQ,Women's Winter wear Woolen Multicolor Cardigans Sweaters (Coat17),eWools,0,0,0,598,4.2,31,73,,1,31
11,B07PMKF2L9,Women's Acrylic V-Neck Sweater,Kalt,0,0,0,"1,000",4.2,"1,093",50,,0,"1,093"
12,B09L75YNP8,High Neck Sweater for Women's,Generic,0,0,0,348,5.0,3,42,,0,3
13,B09GLY69FK,Women's Winterwear Woolen Self Cardigans Sweaters,eKools,0,0,0,806,4.0,204,63,,1,204
14,B07T3SWV3B,Men's Blouson Nylon Sweater,Arrow Sports,0,0,0,599,2.8,3,80,,1,3
15,B08C39MR26,Men's Blouson Acrylic Sweater,Amazon Brand - Symbol,0,0,0,393,3.9,226,84,,0,226
16,B09KKRXVF1,Cotton Turltle Neck Sweater for Men,DENIMHOLIC,0,0,0,795,3.8,102,68,,1,102
17,B09R4VMXHZ,Hair Warm Wool Long Sleeves Woolen|Winter Wear Soft Fabric Sweater for Womens and Girls|Buttoned Design Short Cardigan,Generic,0,0,0,"1,195",0,0,34,,0,"₹1,195
₹1,800 Save ₹605 (34%)"
18,B08V5G3LM6,Women's Viscose Turtle Neck Full Sleeve Black Sweater,MansiCollections,0,0,0,349,4.6,8,56,,0,8
19,B09C3VL8T9,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,4.0,9,67,,0,9
20,B07WSFSCCD,Men Hooded Sweatshirt,Amazon Brand - Symbol,1,0,0,769,4.1,"3,105",69,,1,"3,105"
21,B09776DQX2,Men's Cotton Hooded Sweatshirt with Zip,fanideaz,1,0,0,949,3.5,"1,210",73,,1,"1,210"
22,B08C39FL1Y,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,626,3.7,155,72,,1,155
23,B097QBZC18,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,719,4.2,81,64,,1,81
24,B09C28PYQ8,Premium Women's Buttoned Pure Woollen Knitted Cardigan/Sweaters (100% Acrylic Wool),Chatanya,0,0,0,"1,149",3.9,75,56,,0,75
25,B09GLXRKBF,Women's Ladies Winter wear Woolen Self Cardigans Sweaters,eWools,0,0,0,710,3.8,209,68,,1,209
26,B098JKCCRT,Women's Casual Acrylic Pullover Sweater,Amazon Brand - Symbol,0,0,0,532,4.2,90,73,,1,90
27,B07SZM4GMV,Men's Blouson Cotton Sweater,Arrow Sports,0,0,0,659,3.4,4,75,,1,4
28,B08LBTD6S8,Men's V-Neck Sweater,OM DESIGNER,0,0,0,499,3.2,172,75,,1,172
29,B07WZ827DK,Women's Winter wear Round Neck Multicolor Woolen Cardigan,eWools,0,0,0,694,4.0,"1,186",75,,1,"1,186"
30,B07WNXRBTS,Women's Casual Winterwear Woolen Sweater,eWools,0,0,0,473,3.7,"1,912",70,,1,"1,912"
