,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,0,B097Q9XTY6,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,639,4.2,53,71,,1,53,https://m.media-amazon.com/images/I/71yUpTCmiiL._AC_UL320_.jpg
1,1,B08C38VTRP,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,1,0,0,609,3.8,432,62,,1,432,https://m.media-amazon.com/images/I/81ptaYjTkJL._AC_UL320_.jpg
2,2,B07VK2S7ZH,Men's Contemporary Wool Sweater,Raymond,1,0,0,"2,249",3.1,11,10,,1,11,
3,3,B08C39FL1Y,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,617,3.7,159,72,,1,159,https://m.media-amazon.com/images/I/81NzmqaL7ZL._AC_UL320_.jpg
4,4,B08CKYWM7V,Men's Round Neck Sweater,Alan Jones Clothing,0,0,0,639,4.1,387,57,,1,387,https://m.media-amazon.com/images/I/61w0vuRxSjL._AC_UL320_.jpg
5,5,B07WR2KVMQ,Men's Wool V Neck Sweater,Men's,0,0,0,338,3.6,"1,021",76,,0,BASE 41,https://m.media-amazon.com/images/I/71ddEOa+xGL._AC_UL320_.jpg
6,6,B08CKZXRN5,Men's Acrylic V-Neck Sweater,Alan Jones Clothing,0,0,0,539,4.0,163,64,,1,163,https://m.media-amazon.com/images/I/61jQymHo+3L._AC_UL320_.jpg
7,7,B098LS2BMP,Men's Cotton Turtle Neck Sweater,DENIMHOLIC,0,1,0,895,4.0,"3,276",55,,1,"3,276",https://m.media-amazon.com/images/I/71mDDeJQUnL._AC_UL320_.jpg
8,8,B09B46N9ZW,Women's Winterwear Woolen Sweaters,eKools,0,0,0,498,3.9,769,69,,1,769,
9,9,B09B48JGW1,Men High Neck Full Sleeve Winter Woolen Sweater,Kvetoo,0,0,0,599,3.8,318,65,,1,318,https://m.media-amazon.com/images/I/31tOLL7GjtL._AC_UL320_.jpg
10,10,B07T3SWV3B,Men's Blouson Nylon Sweater,Arrow Sports,0,0,0,599,3.6,4,80,,1,4,
11,11,B08QZ9RF6D,Men's Casual Acrylic Sweatshirt,Marks & Spencer,0,0,0,599,4.3,19,54,,1,19,https://m.media-amazon.com/images/I/81lg7ARU8nL._AC_UL320_.jpg
12,12,B098JKCCRT,Women's Casual Acrylic Pullover Sweater,Amazon Brand - Symbol,0,0,0,580,4.2,110,71,,1,110,https://m.media-amazon.com/images/I/91ZsgS1hJLL._AC_UL320_.jpg
13,13,B09GM6PMC3,Women's Winter wear Woolen Self Cardigans Sweaters,eWools,0,0,0,663,4.0,93,70,,1,93,
14,14,B09B2M4BZW,Men High Neck Zipper Full Sleeve Woolen Winter Sweater,Kvetoo,0,0,0,599,3.6,416,60,,1,416,https://m.media-amazon.com/images/I/91zQaJXH0TL._AC_UL320_.jpg
15,15,B09GLY69FK,Women's Winterwear Woolen Self Cardigans Sweaters,eKools,0,0,0,806,4.0,237,63,,1,237,https://m.media-amazon.com/images/I/71Rax+PIjxL._AC_UL320_.jpg
16,16,B07YNYQB62,Men's Sweatshirt,Red Tape,0,0,0,619,3.5,15,80,,1,15,https://m.media-amazon.com/images/I/71uEgvG8tSL._AC_UL320_.jpg
17,17,B08C39MR26,Men's Blouson Acrylic Sweater,Amazon Brand - Symbol,0,0,0,536,3.9,241,78,,1,241,https://m.media-amazon.com/images/I/71vMnHc70YL._AC_UL320_.jpg
18,18,B08V5G3LM6,Women's Viscose Turtle Neck Full Sleeve Black Sweater,MansiCollections,0,0,0,349,4.6,8,56,,0,8,
19,19,B097QB2XKH,Men's Casual Acrylic Sweater,Amazon Brand - Symbol,0,0,0,649,4.0,380,68,,1,380,
20,20,B07VKBV7KY,Men's Cotton Hooded Sweatshirt with Zip,fanideaz,1,0,0,949,3.5,"1,233",73,,1,"1,233",https://m.media-amazon.com/images/I/7138S0ZHxkL._AC_UL320_.jpg
21,21,B07BFG8K5X,Medium Grey Nylon Blend Contemporary Fit Sweater,Raymond,1,0,0,"4,809",3.3,3,21,,1,3,
22,22,B08HDZCF8F,Men's Cotton Sweatshirt,Van Heusen,1,0,0,879,4.1,"1,008",32,,1,"1,008",
23,23,B097QCX9VK,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,530,4.4,4,73,,1,4,https://m.media-amazon.com/images/I/612XUKSgONL._AC_UL320_.jpg
24,24,B09GLWWYFZ,Women's Ladies Winter wear Woolen Self Cardigans Sweaters,eWools,0,0,0,758,3.8,230,66,,1,230,https://m.media-amazon.com/images/I/61T6lBYjuEL._AC_UL320_.jpg
25,25,B08VJFJH3N,Men Turtle Neck Full Sleeve Woolen Winter Sweater,Kvetoo,0,0,0,599,3.7,69,60,,1,69,
26,26,B09KKRXVF1,Cotton Turltle Neck Sweater for Men,DENIMHOLIC,0,0,0,795,3.9,129,68,,1,129,https://m.media-amazon.com/images/I/61+KzQW0YDL._AC_UL320_.jpg
27,27,B098QSX54P,Women's Casual Nylon Sweater,Mode By Red Tape,0,0,0,800,4.2,14,75,,1,14,https://m.media-amazon.com/images/I/91j4nMH+TXL._AC_UL320_.jpg
28,28,B07KDY69Q4,Women's Winter wear Casual Woolen Sweater Green,eWools,0,0,0,441,3.8,18,72,,0,18,https://m.media-amazon.com/images/I/71Y4rt-GB-L._AC_UL320_.jpg
29,29,B083MWYY3X,Women's Cotton Turtle Neck Sweater,DENIMHOLIC,0,0,0,795,4.2,333,60,,1,333,https://m.media-amazon.com/images/I/613DdEm8-VL._AC_UL320_.jpg
30,30,B09JKVNVHN,Long Turtleneck - Long Sleeve Knitted Jumper Women Pullover Sweater Blouse - Free Size,SG VOGUE,0,0,0,719,4.3,9,52,,1,9,
31,31,B07YNZ59TB,Men's Cotton Sweater,Red Tape,0,0,0,619,4.4,8,80,,1,8,https://m.media-amazon.com/images/I/81vUyCKLkbL._AC_UL320_.jpg
32,32,B0819Z3VFH,Women's Winter wear Round Neck Multicolor Woolen Cardigan,eWools,0,0,0,663,4.0,"1,216",76,,1,"1,216",https://m.media-amazon.com/images/I/71qrW3-OSvL._AC_UL320_.jpg
33,33,B08LBVKJLZ,Men's V-Neck Sweater,OM DESIGNER,0,0,0,499,3.2,176,75,,1,176,https://m.media-amazon.com/images/I/51VdAV52xbL._AC_UL320_.jpg
34,34,B09MFG37M7,Winter Woolen Sweater for Men,CHKOKKO,0,0,0,549,4.0,136,78,,1,136,
35,35,B09CMQS77W,Woolen Bestselling Basic Casual Women Ladies Cardigan Sweaters,eWools,0,0,0,473,3.8,195,70,,1,195,https://m.media-amazon.com/images/I/81-0jOvoQfL._AC_UL320_.jpg
36,36,B09L75YNP8,High Neck Sweater for Women's,Generic,0,0,0,348,5.0,3,42,,0,3,
37,37,B09FL6T98F,"Men's Color Block Round Neck Full Sleeve Navy, Grey Cotton Zip Sweatshirt",Maniac,0,0,0,549,4.0,24,79,,1,24,https://m.media-amazon.com/images/I/61emDZwUIVL._AC_UL320_.jpg
38,38,B09MFSZ7GK,Women's Cotton Solid Sweatshirt Suitable for Summer & Winter,Be savage,0,0,0,499,3.7,69,50,,1,69,https://m.media-amazon.com/images/I/71k4CwggyLL._AC_UL320_.jpg
39,39,B07VSY9F42,Boys' Chest Printed Hooded Sweatshirt,Boys',0,1,0,229,4.0,"22,550",87,,0,T2F,https://m.media-amazon.com/images/I/91NGF7xl2XL._AC_UL320_.jpg
40,40,B08P9L8LLG,Women's Winterwear Solid Woolen Long Cardigan,eWools,0,0,0,520,4.0,471,74,,1,471,https://m.media-amazon.com/images/I/510JOXGY0nL._AC_UL320_.jpg
41,41,B08C3BRFVQ,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,679,3.7,159,69,,1,159,https://m.media-amazon.com/images/I/71nlOXTJ4QL._AC_UL320_.jpg
42,42,B09CDS1L6W,Kids Fullsleeve Sweater/Sweatshirt for Girls KH-046,KIDDY STAR,0,0,0,599,3.0,56,33,,1,56,https://m.media-amazon.com/images/I/619BbXv1z0L._AC_UL320_.jpg
43,43,B07WNPLZF5,Men's Wool V-Neck Sweater,Men's,0,0,0,298,3.6,549,79,,0,BASE 41,
44,44,B097QB45H5,Men's Casual Acrylic Sweater,Amazon Brand - Symbol,0,0,0,502,4.0,75,69,,1,75,https://m.media-amazon.com/images/I/91w2i5IJaAL._AC_UL320_.jpg
45,45,B09C3WBDH7,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.5,36,67,,0,36,https://m.media-amazon.com/images/I/81bW5eFN6OL._AC_UL320_.jpg
46,46,B07G5JQQ3Y,Boys' Sweater,Lee Cooper,0,0,0,587,3.0,5,58,,1,5,https://m.media-amazon.com/images/I/91D-W38cY+L._AC_UL320_.jpg
47,47,B08C3B5NJ5,Men's Blouson Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,317,3.6,37,86,,0,37,https://m.media-amazon.com/images/I/81J5QNYTmCL._AC_UL320_.jpg
48,48,B097QC3MM6,Men's Casual Acrylic Sweater,Amazon Brand - Symbol,0,0,0,589,3.9,31,69,,1,31,https://m.media-amazon.com/images/I/81FFev4jWmL._AC_UL320_.jpg
49,49,B08Z76XTS8,Women's Sweatshirt (144WS_P$_Pack of_1 ),SHAUN,0,0,0,719,3.6,12,71,,1,12,https://m.media-amazon.com/images/I/81lK1buSadL._AC_UL320_.jpg
50,50,B09KGLJHJW,Men's V-Neck Comfortable Winter wear Full Sleeve Sweater for Men,ZAKOD,0,0,0,499,3.5,56,67,,1,56,https://m.media-amazon.com/images/I/51igmkLOh6L._AC_UL320_.jpg
51,51,B097QBZC18,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,679,4.2,89,66,,1,89,
52,52,B07PNHTYFG,Women's Acrylic V-Neck Sweater,Kalt,0,1,0,"1,000",4.2,"1,128",50,,0,"1,128",https://m.media-amazon.com/images/I/71W3h3rkdHL._AC_UL320_.jpg
53,53,B09B2T3YN8,boys Sweater,Allen Solly Junior,0,0,0,"1,039",0.0,0,20,,1,"₹1,039
₹1,299 Save ₹260 (20%)",https://m.media-amazon.com/images/I/615XBt94NRL._AC_UL320_.jpg
54,54,B07YDSRK2X,Women's Winter wear Casual Woolen Sweater,eWools,0,0,0,425,3.7,835,73,,1,835,https://m.media-amazon.com/images/I/81N3gBvdZ6L._AC_UL320_.jpg
55,55,B098SS2D2L,Men's Casual Cotton Sweater,Tommy Hilfiger,0,0,0,"2,989",4.0,1,35,,1,1,https://m.media-amazon.com/images/I/81hln2qZnbL._AC_UL320_.jpg
56,56,B07WSFSCCD,Men Hooded Sweatshirt,Amazon Brand - Symbol,1,0,0,709,4.1,"3,203",72,,1,"3,203",https://m.media-amazon.com/images/I/81V3wrEn7pL._AC_UL320_.jpg
57,57,B08JM3KBWH,Winter Woolen Turtle Neck Sweater for Men,GODFREY,1,0,0,"1,139",4.0,183,37,,1,183,https://m.media-amazon.com/images/I/71Pp1gATJgL._AC_UL320_.jpg
58,58,B097Q9XWVV,Men's Casual Acrylic Sweater,Amazon Brand - Symbol,1,0,0,659,4.0,379,73,,1,379,https://m.media-amazon.com/images/I/915O0d2TxwL._AC_UL320_.jpg
59,59,B08KS7FT1H,Men's Cotton Polyester Hooded Sweat Shirt,Ben Martin,1,0,0,699,3.6,"1,712",77,,1,"1,712",https://m.media-amazon.com/images/I/61TVMQK+SQL._AC_UL320_.jpg
60,60,B07VH1KWRG,Men's Contemporary Wool Sweater,Raymond,1,0,0,"2,342",3.1,11,6,,1,11,
61,61,B097Q8CHRG,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,679,4.2,53,69,,1,53,https://m.media-amazon.com/images/I/91wEf42Z9mL._AC_UL320_.jpg
62,62,B07VG8W2P7,Men's Cotton Hooded Sweatshirt with Zip,fanideaz,1,0,0,949,3.5,"1,233",73,,1,"1,233",
63,63,B08F629KQG,Men Hooded Sweatshirt,Amazon Brand - Symbol,1,0,0,709,4.1,"3,203",72,,1,"3,203",https://m.media-amazon.com/images/I/81D4bgL9HlL._AC_UL320_.jpg
64,64,B097QCGSQN,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,639,4.2,53,71,,1,53,
65,65,B08KSDR58X,Mens Cotton Front Open Cardigan Shrug,DENIMHOLIC,0,0,0,649,3.4,970,68,,1,970,
66,66,B08C37KTBQ,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,412,3.6,161,73,,0,161,https://m.media-amazon.com/images/I/71gTsDCdgEL._AC_UL320_.jpg
67,67,B08HNBGMGQ,Men's Acrylic Turtle Neck Sweater,Men's,0,0,0,800,3.9,81,60,,1,513,https://m.media-amazon.com/images/I/81sVVSYgwWL._AC_UL320_.jpg
68,68,B09FXY3XZF,Women's Love Yourself Crop Hoodie Suitable for Summer & Winter,Be savage,0,0,0,499,4.0,79,50,,1,79,https://m.media-amazon.com/images/I/61OpplaraRL._AC_UL320_.jpg
69,69,B09C3SP921,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.0,13,67,,0,13,https://m.media-amazon.com/images/I/8154yToi0RL._AC_UL320_.jpg
70,70,B09JKW6P2N,Half Turtleneck - Long Sleeve Knitted Jumper Women Pullover Sweater Blouse - Free Size,SG VOGUE,0,0,0,619,3.7,15,59,,1,15,
71,71,B07ZWB317K,Women's Casual Buttoned Winterwear Woolen Sweaters,eWools,0,0,0,378,3.7,587,76,,1,587,https://m.media-amazon.com/images/I/81xCLNm8VAL._AC_UL320_.jpg
72,72,B07W625FCP,Men's Wool Sweater,Allen Solly,0,0,0,"1,389",3.5,17,40,,1,17,https://m.media-amazon.com/images/I/61YjtCIHS4L._AC_UL320_.jpg
73,73,B07TK4M2ZN,Men's Classic Cotton Sweater,U.S. POLO ASSN.,0,0,0,"1,394",4.2,5,55,,1,5,https://m.media-amazon.com/images/I/91vPQsVmnuL._AC_UL320_.jpg
74,74,B09C3WWDZH,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.5,36,67,,0,36,https://m.media-amazon.com/images/I/81bW5eFN6OL._AC_UL320_.jpg
75,75,B09PDXC3C8,Women’s Acrylic Full Sleeve V-Neck Beige Sweater,MansiCollections,0,0,0,299,0.0,0,76,,1,"₹299
₹1,250 Save ₹951 (76%)",
76,76,B08L1D7Y11,Woollen Stylish Women's Skivy,Ogarti,0,0,0,499,3.9,142,55,,0,142,https://m.media-amazon.com/images/I/61UVVHQiYNL._AC_UL320_.jpg
77,77,B09LCL1CFL,Men's Wool V Neck Sweater,OM DESIGNER,0,0,0,499,3.4,15,75,,1,15,
78,78,B09C28PYQ8,Premium Women's Buttoned Pure Woollen Knitted Cardigan/Sweaters (100% Acrylic Wool),Chatanya,0,0,0,"1,149",3.9,90,56,,0,90,
79,79,B0993SJ98Y,Women's Classic Acrylic Cardigan Sweater,Women's,0,0,0,"1,153",4.2,41,68,,1,TAB91,https://m.media-amazon.com/images/I/61qmGaifHoS._AC_UL320_.jpg
80,80,B08C3BMYNV,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,1,0,0,669,3.8,432,58,,1,432,https://m.media-amazon.com/images/I/91pk1S62ndL._AC_UL320_.jpg
81,81,B07TLLCBPQ,Men Hooded Sweatshirt,Amazon Brand - Symbol,1,0,0,829,3.9,376,67,,1,376,https://m.media-amazon.com/images/I/81yylYX2HpL._AC_UL320_.jpg
82,82,B08C3BH54T,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,679,3.7,159,69,,1,159,
83,83,B07TMNS6YX,Men Sweatshirt,Amazon Brand - Symbol,1,0,0,584,3.9,866,75,,1,866,https://m.media-amazon.com/images/I/814H1P3MukL._AC_UL320_.jpg
84,84,B097QDPJ1S,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,555,4.4,4,72,,1,4,https://m.media-amazon.com/images/I/91LpYwYB12L._AC_UL320_.jpg
85,85,B07VFMY57C,Men Ombre V-Neck Full Sleeve Sweater,Le Bourgeois,0,0,0,429,4.4,19,73,,0,19,https://m.media-amazon.com/images/I/71LerFPYJRL._AC_UL320_.jpg
86,86,B09PYPHZ93,Woolen Sweater for Women Winter Wear Stitched A-Line Printed Long Embroidered Sweaters Casual Festive and Party Occasion Pink,Generic,0,0,0,649,4.0,1,35,,1,1,https://m.media-amazon.com/images/I/51DnjIZaQNL._AC_UL320_.jpg
87,87,B08R7TDKT2,Women Winter wear Woolen Sweater,eWools,0,0,0,473,3.8,403,70,,1,403,
88,88,B09NVRNLSP,Womens Winter Acrylic Full Sleeves Crop Top Sweater,KNITCO,0,0,0,499,3.6,7,71,,1,7,https://m.media-amazon.com/images/I/61qE3+UnZ5L._AC_UL320_.jpg
89,89,B07T1QJ5XQ,Men's Blouson Nylon Sweater,Arrow,0,0,0,599,3.0,3,80,,1,3,
