,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B089B4QPQ2,"AmazonBasics 9W, Dimming Halo Rechargeable Table Lamp, 3 Colors (Cool Day Light, Neutral White and Warm White)Pack of 1",AmazonBasics,1,1,0,849,4.3,"2,806",43,"Friday, February 11",1,"2,806"
1,B07QG1GVT1,"TISVA Jaime TP1008 Fusion Range Table Lamp (Chrome, Black, Glossy Finish) Pack of 1",TISVA,1,0,0,"4,990",4.7,2,0,"Saturday, February 12",1,2
2,B08R7XH4Q6,Tisva J'aime Tl1008 Table Lamp( Golden)Pack of 1,Tisva,1,0,0,"2,990",3.6,3,0,"Sunday, February 13",1,3
3,B08L4335ZX,"Pick Ur Needs® Study Table Lamp Rechargeable LED Desk Lamp, Touch Control Table Lamp, Eye-Caring Smart Lamp with USB Charging",Pick,1,0,0,664,4.2,"3,298",56,"Saturday, February 12",1,"3,298"
4,B089B4QPQ2,"AmazonBasics 9W, Dimming Halo Rechargeable Table Lamp, 3 Colors (Cool Day Light, Neutral White and Warm White)Pack of 1",AmazonBasics,0,1,0,849,4.3,"2,806",43,"Friday, February 11",1,"2,806"
5,B07ZP7PF8P,"SaleOn Touch Desk lamp LED Touch On Off Switch Student Study Reading Dimmer Rechargeable Led Table Lamps Eye Protection Lamp ( White,Pack of 1 )",SaleOn,0,0,0,635,4.1,"2,722",58,"Tuesday, February 8",1,"2,722"
6,B09NNJ4D3X,RUCON® Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light Lamp,RUCON®,0,0,1,399,4.4,199,60,"Sunday, February 13",1,199
7,B08LLY5R9T,"Wipro 5W Led Table Lamp with Smooth Dimming, Use As Emergency Light with Power Bank Or with Laptop USB Port (White) Pack of 1",Wipro,0,0,0,754,4.3,"1,466",42,,1,"1,466"
8,B07C9KQ7KR,"Wipro Garnet 6W LED Table Lamp - 3 Grade Dimming and Color Changing (Pack of 1, Cool Day Light/Neutral White/Warm White)",Wipro,0,0,0,"1,319",4.5,"14,064",12,,0,"14,064"
9,B094JTNRJY,"Wipro Re-Chargeable LED Table Lamp, White, Standard (E10013) - Pack of 1",Wipro,0,0,0,599,4.2,814,45,"Friday, February 11",1,814
10,B09R4MX1M2,One94store Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light Lamp (Multicolor),One94store,0,1,0,284,4.7,5,72,"Sunday, February 13",0,5
11,B07HY5Z5G7,"Wooum Rechargeable led Desk Lamp Touch Control On Off Student Study Table Lamps Touch Dimmer Night Reading Lamp for Children Eye Protection Lamp(White,Pack of 1)",Wooum,0,0,0,369,4.0,"2,207",75,"Friday, February 11",0,"2,207"
12,B09HGZYY9H,RUCON® Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light White,RUCON®,0,0,0,399,3.8,955,60,"Sunday, February 13",1,955
13,B091N6919B,PRIMESKY® 3D Moon Lamp 7 Multi Colors Changing Touch Sensor with Wooden Stand Moon Night Table Lamp for Bedroom 13cm,PRIMESKY®,0,0,0,720,4.3,604,52,"Sunday, February 13",1,604
14,B089B1XBMG,"AmazonBasics Sleek Rechargeable Table Lamp, 8W, Dimming, White, Pack of 1",AmazonBasics,0,0,0,589,4.3,492,41,"Tuesday, February 8",1,492
15,B089B5LG79,"AmazonBasics Classic Rechargeable Table Lamp (Black, Pack of 1)",AmazonBasics,0,0,0,799,4.1,662,39,"Tuesday, February 8",1,662
16,B01D2SCZKO,"BillieJean Matte Black Reading And Studying Table Lamp, Pack of 1",BillieJean,0,0,0,649,4.2,"1,488",35,"Sunday, February 13",1,"1,488"
17,B08WCM9Q2H,"ESN 999 Stylish Black Adjustable Table Lamp for Home/Office/Study (Bulb not Included, Pack of 1)",ESN,0,0,0,309,4.1,"1,106",66,"Saturday, February 12",1,"1,106"
18,B07QC5YT69,"ESN 999 Table Lamp, Red, Pack of 1",ESN,0,0,0,260,4.0,"2,899",52,"Sunday, February 13",0,"2,899"
19,B09PK4KG7D,RYLAN Rechargeable LED Touch On/Off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging Light for Study (White),RYLAN,0,0,0,519,4.7,122,60,"Sunday, February 13",1,122
20,B089B5LG79,"AmazonBasics Classic Rechargeable Table Lamp (Black, Pack of 1)",AmazonBasics,1,0,0,799,4.1,662,39,"Tuesday, February 8",1,662
21,B07GB2BPCR,"Homesake Antique Ceramic Pot Base Table Lamp with Shade, Vintage Night Table Lamp for Bedroom, Home, Living Room, Bedside, Home Decor Items - White, Pack of 1",Homesake,1,0,0,"1,850",4.3,"2,022",34,"Saturday, February 12",1,"2,022"
22,B089B1XBMG,"AmazonBasics Sleek Rechargeable Table Lamp, 8W, Dimming, White, Pack of 1",AmazonBasics,1,0,0,589,4.3,492,41,"Tuesday, February 8",1,492
23,B08LLY5R9T,"Wipro 5W Led Table Lamp with Smooth Dimming, Use As Emergency Light with Power Bank Or with Laptop USB Port (White) Pack of 1",Wipro,1,0,0,754,4.3,"1,466",42,,1,"1,466"
24,B0966KGV2T,PRIMESKY® Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White,PRIMESKY®,0,0,0,399,3.8,"1,359",60,"Sunday, February 13",1,"1,359"
25,B09MJ6WR5H,Improvhome Farm House Traditional Table Lamps Khadi Color Shade with Black Metal Base for Decor for Living Room Bedroom House Bedside Nightstand Home Office Entryway Family - Regency Hill,Improvhome,0,0,0,799,5.0,2,56,"Saturday, February 12",1,2
26,B09MC1KYCG,QUXIS® Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light,QUXIS®,0,0,0,299,4.2,274,63,"Thursday, February 17",1,274
27,B09Q93WG46,"Pick Ur Needs® Eye Protection Lamp for Student Rechargeable LED Touch On/Off Switch Desk Lamp / Student Reading Dimmer Led Table Lamp with Pen Holder, Mobile Stand, Study Lamp, Night Light",Pick,0,0,0,999,5.0,3,50,"Saturday, February 12",1,3
28,B09ND57Y92,"ITRUE Night Light, Table Lamps with Bluetooth Speaker Handy Dimmable LED Bedside Lamp Rechargeable Warm White Light 3 Levels Brightness& 6 Color Changing, Smart Lamp for Bedrooms or Outside",ITRUE,0,0,0,629,4.1,6,55,"Saturday, February 12",1,6
29,B091182B6Q,Homenique Black Traditional Farmhouse Table Lamps with Fabric Orange Flower Shade (Bulb not Included)Pack of 1,Homenique,0,0,0,550,3.7,130,72,"Saturday, February 12",1,130
30,B016VYB624,"PHILIPS Plastic LED Desk light, White",PHILIPS,0,0,0,792,4.4,"12,200",34,"Tuesday, February 8",1,"12,200"
31,B07NGG8NCG,"Azacus Rechargeable LED Touch On/Off Switch Desk Lamp, Children Eye Protection Student Reading Dimmer Led Table Lamp (Pen Holder, Mobile Stand, Study Lamp, Night Light, USB Charging)-White, Pack of 1",Azacus,0,0,0,649,4.2,736,41,"Sunday, February 13",1,736
32,B08G8TNB82,"VRCT Khadi Shade and Beautiful Table Lamp for Bedroom and Drawing Room (Black,Pack of 1)",VRCT,0,0,0,540,3.7,413,72,"Saturday, February 12",1,413
33,B08D3ZZNHV,"tu casa Metal-Iron Lamp, White,Pack of 1",tu,0,0,0,645,4.0,198,52,"Tuesday, February 8",1,198
34,B09PNL8M68,ZIXAD Desk Lamp Led On Off Switch Student Study Reading Dimmer Rechargeable Flexible Head with Pen Stand Led Table Lamps Eye Protection Lamp,ZIXAD,0,0,0,429,4.1,19,79,"Sunday, February 13",1,19
35,B09MS7DJ3Y,AF EXPO Rechargeable LED Touch On/Off Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamps USB Charging Touch Dimmer(Desk Lights for Study,AF,0,0,0,399,4.5,22,60,"Sunday, February 13",1,22
36,B09NW9RMDC,XGMO Student Study/Book Reading Desk/Table Lamp with Rechargeable LED Touch On Off Switch Study Reading Dimmer Light (White)Pack of 1,XGMO,0,0,0,299,5.0,4,63,"Sunday, February 13",1,4
37,B09RTMLJMW,Ignitate Study Lamp Rechargeable LED Touch On-Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light Lamp,Ignitate,0,0,0,299,0,0,70,"Monday, February 14",0,"₹299
₹999 Save ₹700 (70%)"
38,B077D71JVS,Homesake® Antique White Twister Wooden Table Lamp with Khadi Drum Shade,Homesake®,0,0,0,"1,399",4.7,5,30,"Saturday, February 12",0,5
39,B09QK4DN49,"CRAFTVERRE Mushroom Shaped Mosaic Glass Lamp for Home/Office/Festival Decoration (Bulb Not Included) (Table Lamp - 14, 17 cm)",CRAFTVERRE,0,0,0,499,0,0,74,"Tuesday, February 15",0,"₹499
₹1,899 Save ₹1,400 (74%)"
40,B09Q1ZGSQ9,KUJA® Student Study/Book Reading Desk/Table Lamp with Rechargeable LED Touch On Off Switch Study Reading Dimmer Light (White)Pack of 1,KUJA®,0,0,0,349,5.0,1,65,"Sunday, February 13",1,1
41,B09PLGX5Y3,ZURU BUNCH® Rechargeable Touch OnOff Switch Desk Lamp Children Eye Protection Student Study Reading Dimmer Rechargeable Led Table Lamp (Blue),ZURU,0,0,0,249,3.3,4,75,"Friday, February 11",0,4
42,B09DGNTS7G,"PHILIPS Orbit 5W Colour Changing Warm White to Natural White to Cool White & Rechargeable Touch Controlled Table Lamp / Desk Light with Brightness Control (White), Standard",PHILIPS,0,0,0,"1,485",4.2,165,22,"Sunday, February 13",1,165
43,B09QXL1HRT,FORMONIX Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light Lamp,FORMONIX,0,0,0,395,5.0,2,60,"Sunday, February 13",0,2
44,B09NRFBVFR,"ELVIES Rechargeable led Desk Lamp Touch Control On Off Student Study Table Lamps Touch Dimmer Night Reading Lamp for Children Eye Protection Lamp(Multi Colour,Pack of 1)",ELVIES,0,0,0,299,3.0,2,70,"Sunday, February 13",1,2
45,B09FDJRFTZ,"Voroly Home Decorative Wood Night Table Lamp Solid Fabric Shade Bedside Desk Lamps for Bedroom Living Room Study (Ovel) White, Pack of 1",Voroly,0,0,0,"1,590",4.2,842,47,"Sunday, February 13",1,842
46,B09HL2NC21,"MAHGANYA Mosaic Style Dome Shaped Glass Table Lamp Multicolour for Living Room,Bed Room,Desk Mah325",MAHGANYA,0,0,0,329,5.0,1,67,"Tuesday, February 15",1,1
47,B098DN5NSK,AVIGNA Table Lamp/Study Lamp (White)Pack of 1,AVIGNA,0,0,0,259,4.2,273,74,"Saturday, February 12",0,273
48,B09HL5S4PJ,"MAHGANYA Mosaic Style Dome Shaped Glass Table Lamp Multicolour for Living Room,Bed Room,Desk Mah347 , Pack of 1",MAHGANYA,0,0,0,379,4.0,26,62,"Tuesday, February 15",1,26
49,B07MFB17DV,"SaleOn Rechargeable Desk Lamp with Touch On/Off Switch, Mobile Holder and Touch Dimmer Children Eye Safety Protection (White)Pack of 1",SaleOn,0,0,0,635,4.1,"1,852",58,"Tuesday, February 8",1,"1,852"
50,B073WGHJ9B,"make in modern Wood Table Lamp, Black, Pack of 1",make,0,0,0,939,4.2,575,59,"Tuesday, February 8",1,575
51,B09GKTX16D,"ANTRONIC Matte Black Reading and Studying Table Lamp, Pack of 1",ANTRONIC,0,0,0,329,3.6,5,63,"Sunday, February 13",0,5
52,B097N6MNR4,"PHILIPS Sky 5W Rechargeable Touch Controlled Table Lamp with Brightness Control, White and Chrome",PHILIPS,0,0,0,"1,299",4.5,249,28,"Friday, February 11",1,249
53,B09MK8N24D,"SAPPHIRE INDIA Desk Lamps for Study Table - Rechargeable USB Warm Light LED Children Eye Protection Lamps, Desk Lamp for Work from Home, Available with RGB Night Light",SAPPHIRE,0,0,0,464,4.7,5,64,"Saturday, February 12",0,5
54,B09MWJ6J2V,Madams Gallery Study Lamp | Study Lamp For Students | USB Desk Lamp | Digital Touch On/Off Switch Table Lamp | Unique Digital Desk Lamp For Students | Imported Quality Desk lamp | Table Lamp Study lamp Rechargeable Led Touch On Off Switch Student Study Reading Dimmer Led Table Lamps White Desk Light Lamp,Madams,0,0,0,399,5.0,8,60,"Saturday, February 12",0,8
