,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B0792T6NXR,Presto! 2 Ply Facial Tissue Soft Pack - 200 Pulls (Pack of 3),Presto!,1,1,0,293,4.3,"7,467",16,"Monday, February 14",1,"7,467"
1,B08XQJF22D,Kressa Tissue Paper Serviettes | Paper Napkins | Table Top Serviettes 2 Ply Pack of 6 (300 Serviettes) 100% Biodegradable,Kressa,1,0,0,369,4.8,18,22,"Wednesday, February 16",1,18
2,B097PTGNTF,Amazon Brand - Presto ! 3 Ply Toilet Paper Tissue Roll - 12 Rolls (160 Pulls Per Roll),Amazon,1,0,0,330,4.3,"3,194",6,"Tuesday, February 15",1,"3,194"
3,B07NBR6M72,Beco Eco Friendly Bamboo Natural Facial Tissue Carbox - 100 Pulls (Pack of 4) Natural & Organic Bamboo Tissue Paper Box - White Facial Paper Tissues Alternative,Beco,1,0,0,360,4.5,"1,321",0,"Wednesday, February 16",1,"1,321"
4,B08HMNX4FQ,Softouch Tissue Paper Napkins 100 pcs. Each- Set of 3 (Multicolour),Softouch,0,0,1,149,4.2,"2,811",28,"Monday, February 14",1,"2,811"
5,B07MJF5THB,Amazon Brand - Solimo 2 Ply Kitchen Tissue Paper Roll - 4 Rolls (60 Pulls Per Roll),Amazon,0,0,0,257,4.4,"11,869",8,"Tuesday, February 15",1,"11,869"
6,B0792T6NXR,Presto! 2 Ply Facial Tissue Soft Pack - 200 Pulls (Pack of 3),Presto!,0,1,0,293,4.3,"7,467",16,"Monday, February 14",1,"7,467"
7,B08YLC195S,SofTouch 2 Ply Face tissue paper 100 pulls 200 sheets Each Box- Set of 3 (Multicolor),SofTouch,0,0,0,145,4.0,"2,184",36,"Monday, February 14",1,"2,184"
8,B07GVZFN92,Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),Amazon,0,1,0,314,4.2,"11,422",10,"Monday, February 14",1,"11,422"
9,B0758758SQ,Ezee Tissue Paper Napkins - 100 Pieces (Pack of 3/300 tissues),Ezee,0,0,0,149,4.3,"4,059",8,"Monday, February 14",1,"4,059"
