,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,Needle Craft Spacious Bag Pack for Multipurpose Backpack (Mehndi),1,0,0,499,4.0,112,62,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A068584827TKS0HDF6ZWK&url=%2FNeedle-Spacious-Multipurpose-Backpack-Mehndi%2Fdp%2FB09P5CYBHC%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBackpack%26qid%3D1643618084%26sr%3D8-1-spons%26psc%3D1&qualifier=1643618084&id=2177813388672144&widgetName=sp_atf
1,Genie Miami 18 litres Rose Casual Backpack,1,0,0,811,4.5,"1,329",32,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1042597K9UMYTJD2TR5&url=%2FGenie-Miami-litres-Casual-Backpack%2Fdp%2FB07SRGGGNC%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBackpack%26qid%3D1643618084%26sr%3D8-2-spons%26psc%3D1&qualifier=1643618084&id=2177813388672144&widgetName=sp_atf
2,AEROPOSTALE Boundless Causal Backpack,1,0,0,"1,679",0,0,40,,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A097325020LMIOB20W64U&url=%2FAEROPOSTALE-Explorer-Backpacks-ltr-Capacity%2Fdp%2FB09GG1WVXY%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DBackpack%26qid%3D1643618084%26sr%3D8-3-spons%26psc%3D1&qualifier=1643618084&id=2177813388672144&widgetName=sp_atf
3,AEROPOSTALE Explorer casual Backpack,1,0,0,"1,749",3.5,2,50,,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09727581ESIJDPVB03ZA&url=%2FAEROPOSTALE-Explorer-Backpacks-ltr-Capacity%2Fdp%2FB09GG4GD8Y%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DBackpack%26qid%3D1643618084%26sr%3D8-4-spons%26psc%3D1&qualifier=1643618084&id=2177813388672144&widgetName=sp_atf
4,American Tourister Casual Backpack,0,0,1,"1,099",4.1,"34,070",52,,1,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=ice_ac_b_dpb?keywords=Backpack&qid=1643618084&sr=8-5
5,Gear 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),0,0,0,"1,295",4.4,"2,343",55,,1,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_6?keywords=Backpack&qid=1643618084&sr=8-6
6,Gear Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),0,0,0,839,4.4,"3,987",58,,1,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_7?keywords=Backpack&qid=1643618084&sr=8-7
7,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,0,0,0,899,3.9,"4,013",55,,1,https://www.amazon.in/Lunars-Bingo-Business-Backpack-Resistant/dp/B08YZ4P8LL/ref=sr_1_8?keywords=Backpack&qid=1643618084&sr=8-8
8,Tommy Hilfiger 45 cms Navy Laptop Backpack (TH/BIKOL08HRP),0,0,0,"1,199",4.2,"2,383",45,,1,https://www.amazon.in/Tommy-Hilfiger-Backpack-TH-BIKOL08HRP/dp/B077S675P9/ref=sr_1_9?keywords=Backpack&qid=1643618084&sr=8-9
9,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),0,1,0,639,3.9,"7,508",64,,1,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?keywords=Backpack&qid=1643618084&smid=A1UVZJ9N7FK5G6&sr=8-10
10,Wesley Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),0,0,0,598,4.3,"4,739",50,"Wednesday, February 2",1,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_11?keywords=Backpack&qid=1643618084&sr=8-11
11,NORTH ZONE Northzone Anti-Theft Water Resistant Computer USB Charging Port Lightweight Laptop Backpack Bag Fitting 15.6-inch Laptops Tablets,0,0,0,449,4.4,9,72,,0,https://www.amazon.in/Northzone-Anti-Theft-Resistant-Lightweight-15-6-inch/dp/B09LMDYFXB/ref=sr_1_12?keywords=Backpack&qid=1643618084&sr=8-12
12,MI Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),0,0,0,999,4.4,"3,011",50,"Wednesday, February 2",1,https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_13?keywords=Backpack&qid=1643618084&sr=8-13
13,GoldStar Medium 30 L Laptop Backpack Anti Theft Faux Leather (Brown),0,0,0,510,3.8,28,74,,1,https://www.amazon.in/Medium-Laptop-Backpack-Theft-Leather/dp/B0983BM2F7/ref=sr_1_14?keywords=Backpack&qid=1643618084&sr=8-14
14,"QIPS by HMI 21 ltrs 16 Inch Classic Laptop Backpack with YKK Zippers, N.Blue",0,0,0,449,4.1,937,55,,0,https://www.amazon.in/QIPS-Classic-N-BLUE-Casual-Backpack/dp/B081P213WR/ref=sr_1_15?keywords=Backpack&qid=1643618084&sr=8-15
15,POLICE 30 Ltrs Laptop Backpack,0,0,0,"1,499",4.3,"3,129",64,,1,https://www.amazon.in/Police-Polyester-Black-Laptop-Backpack/dp/B078S7GB96/ref=sr_1_16?keywords=Backpack&qid=1643618084&sr=8-16
16,Arctic Fox Slope Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack (Black),0,0,0,"1,499",4.6,716,25,,1,https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QB6D7B/ref=sr_1_17?keywords=Backpack&qid=1643618084&sr=8-17
17,FUR JADEN Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket,0,0,0,"1,799",4.3,893,40,,1,https://www.amazon.in/Fur-Jaden-Backpack-Trekking-BM38_Brown/dp/B07LBMV4NR/ref=sr_1_18?keywords=Backpack&qid=1643618084&sr=8-18
