,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"Duracell Ultra Alkaline AA Battery, 8 Pcs",1,0,0,289,4.5,"15,345",8,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02848053M9DP5ZH515H9&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB014SZO90Y%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbattery%26qid%3D1643199099%26sr%3D8-1-spons%26psc%3D1&qualifier=1643199099&id=782154680491075&widgetName=sp_atf
1,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",1,0,0,320,4.5,"7,382",0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08490891N94UC1PFKMLO&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB01DJJVFPC%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbattery%26qid%3D1643199099%26sr%3D8-2-spons%26psc%3D1&qualifier=1643199099&id=782154680491075&widgetName=sp_atf
2,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,0,0,1,229,4.3,"35,771",49,"Sunday, January 30",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries/dp/B00O869KJE/ref=ice_ac_b_dpb?keywords=battery&qid=1643199099&sr=8-3
3,"Duracell Ultra Alkaline AA Battery, 8 Pcs",0,0,0,289,4.5,"15,345",8,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZO90Y/ref=sr_1_4?keywords=battery&qid=1643199099&sr=8-4
4,AmazonBasics AAA Performance Alkaline Batteries (20-Pack) - Appearance May Vary,0,0,0,379,4.4,"83,083",23,"Sunday, January 30",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Batteries-20-Pack/dp/B00NTCHCU2/ref=sr_1_5?keywords=battery&qid=1643199099&sr=8-5
5,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",0,0,0,133,4.5,"3,077",17,"Sunday, January 30",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZORQA/ref=sr_1_6?keywords=battery&qid=1643199099&sr=8-6
6,"Duracell Ultra Alkaline AA Battery, 4 Pieces",0,0,0,160,4.5,"2,794",0,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZOORC/ref=sr_1_7?keywords=battery&qid=1643199099&sr=8-7
7,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,0,0,0,199,4.2,"15,087",33,"Monday, January 31",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries/dp/B00O869QUC/ref=sr_1_8?keywords=battery&qid=1643199099&sr=8-8
8,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,0,1,0,200,4.4,"19,370",0,"Friday, January 28",1,https://www.amazon.in/Panasonic-Lithium-CR2032-5BE-Battery/dp/B00LVMTA2A/ref=sr_1_9?keywords=battery&qid=1643199099&sr=8-9
9,"Eveready Alkaline Batteries - Red AA, 10 Battery Pack",0,0,0,152,4.4,767,24,"Friday, February 11",0,https://www.amazon.in/Eveready-Alkaline-Batteries-Battery-Pack/dp/B00ZRBWZNW/ref=sr_1_10?keywords=battery&qid=1643199099&sr=8-10
