,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,189,4.2,"15,268",36,"Sunday, February 13",1,"15,268"
1,B00O869KJE,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,1,190,4.3,"36,265",57,"Saturday, February 12",1,"36,265"
2,B014SZO90Y,"Duracell Ultra Alkaline AA Battery, 8 Pcs",Duracell,0,0,0,261,4.5,"15,556",11,"Tuesday, February 8",1,"15,556"
3,B00O869KJE,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,0,0,1,190,4.3,"36,265",57,"Saturday, February 12",1,"36,265"
4,B014SZOORC,"Duracell Ultra Alkaline AA Battery, 4 Pieces",Duracell,0,0,0,136,4.5,"2,907",20,"Tuesday, February 8",1,"2,907"
5,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,0,0,0,189,4.2,"15,268",36,"Sunday, February 13",1,"15,268"
6,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,0,0,0,137,4.5,"3,218",14,"Tuesday, February 8",1,"3,218"
7,B00ZRBWZNW,"Eveready Alkaline Batteries - Red AA, 10 Battery Pack",Eveready,0,0,0,152,4.4,779,24,"Thursday, February 17",0,779
8,B00LVMTA2A,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,Panasonic,0,1,0,200,4.4,"19,628",0,"Tuesday, February 8",1,"19,628"
9,B01DJJVFPC,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",Duracell,0,0,0,340,4.5,"7,460",0,"Tuesday, February 8",1,"7,460"
10,B078PPCFC2,"AmazonBasics 4 Pack AA Ni-MH Pre-Charged Rechargeable Batteries, 1000 Recharge Cycles, (Typical 2000mAh, Minimum 1900mAh) - Packaging May Vary",AmazonBasics,1,0,0,699,4.2,854,30,"Friday, February 11",1,854
11,B0774D64LT,AmazonBasics 9 Volt Everyday Alkaline Batteries (4-Pack),AmazonBasics,1,0,0,379,4.4,"109,821",37,"Tuesday, February 8",1,"109,821"
12,B00BN5SNF0,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",ENVIE®,0,0,0,249,4.0,"18,740",0,"Tuesday, February 8",1,"18,740"
13,B07QBP8LH3,Panasonic Cr2032 3 Volt Lithium Coin Battery - Pack of 2,Panasonic,0,0,0,100,4.2,"1,305",0,"Tuesday, February 8",0,"1,305"
14,B014SZOISM,"Duracell Ultra Alkaline AA Battery, 2 pcs",Duracell,0,0,0,84,4.4,260,0,"Wednesday, February 16",0,260
15,B07JLBCH8L,"AmazonBasics LR44 Alkaline Button Coin Cell Batteries, Pack of 6",AmazonBasics,0,0,0,159,4.0,"15,911",21,"Tuesday, February 8",1,"15,911"
16,B096K52RM5,"Duracell Alkaline AAA Battery Chhota Power, 8 Pcs",Duracell,0,0,0,173,4.5,210,9,,0,210
17,B003B0048O,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",Duracell,0,0,0,220,4.3,"63,445",0,"Friday, February 11",1,"63,445"
18,B0774P9G4W,AmazonBasics D Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,0,0,0,379,4.4,"68,036",53,"Friday, February 11",1,"68,036"
19,B003B00484,"Duracell Rechargeable AAA 750mAh Batteries, 4 Pcs",Duracell,0,0,0,449,4.3,"63,445",10,"Tuesday, February 8",1,"63,445"
20,B07JM6YZ2K,AmazonBasics Lithium CR2 3V Batteries - 4-Pack,AmazonBasics,1,0,0,539,4.3,"11,937",46,"Tuesday, February 8",1,"11,937"
21,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,1,0,0,137,4.5,"3,218",14,"Tuesday, February 8",1,"3,218"
22,B078PMSF1X,"AmazonBasics 8 Pack AA Ni-MH Pre-Charged Rechargeable Batteries, 1000 Recharge Cycles (Typical 2000mAh, Minimum 1900mAh) - Packaging May Vary",AmazonBasics,1,0,0,"1,259",4.3,308,30,"Tuesday, February 8",1,308
23,B07JLBCH8L,"AmazonBasics LR44 Alkaline Button Coin Cell Batteries, Pack of 6",AmazonBasics,1,0,0,159,4.0,"15,911",21,"Tuesday, February 8",1,"15,911"
24,B0774D64LT,AmazonBasics 9 Volt Everyday Alkaline Batteries (4-Pack),AmazonBasics,0,0,0,379,4.4,"109,821",37,"Tuesday, February 8",1,"109,821"
25,B07Y24GN3H,Energizer Max Alkaline AAA Batteries - Pack of 6,Energizer,0,0,0,175,4.3,"3,777",0,"Tuesday, February 8",1,"3,777"
26,B015ZXUDD0,"Duracell Rechargeable AA 1300mAh Batteries, 4Pcs",Duracell,0,0,0,546,4.3,"63,445",9,"Tuesday, February 8",1,"63,445"
27,B00LH3DREU,AmazonBasics AAAA Everyday Alkaline Batteries (4-Pack) - Appearance May Vary,AmazonBasics,0,0,0,179,4.2,"15,861",40,"Friday, February 11",1,"15,861"
28,B0044D9ZI2,Energizer E96BP AAAA Alkaline Battery (2 Pieces),Energizer,0,0,0,149,4.4,"3,975",0,"Saturday, February 12",1,"3,975"
29,B014SZPBM4,"Duracell Ultra Alkaline D Battery, 2 Pcs",Duracell,0,0,0,280,4.4,"1,330",30,"Tuesday, February 8",1,"1,330"
30,B08JVFNL82,PGSA2Z® Ultra 23A 2 Pieces Pack of 12V Alkaline Battery High Voltage Cell Car Remote Battery-425,PGSA2Z®,0,0,0,130,4.0,267,57,"Sunday, February 13",1,PGSA2Z®
31,B09L8CN8DX,ELECTRONIC 4 EVER Orignal LF015A Battery for Jio Keypad Phone LYF F61F F20 F30C F41T F61 F81F F81E F50Y F120B F91M F101K F200 F220B (2000mAh),ELECTRONIC,0,0,0,235,4.0,5,61,"Tuesday, February 15",0,5
32,B014SZO90Y,"Duracell Ultra Alkaline AA Battery, 8 Pcs",Duracell,1,0,0,261,4.5,"15,556",11,"Tuesday, February 8",1,"15,556"
33,B0031YLTSY,"Duracell Rechargeable AAA 900mAh Batteries, 4 Pcs",Duracell,1,0,0,799,4.3,"63,445",20,"Tuesday, February 8",1,"63,445"
34,B08TBKLVWC,Panasonic Gold Plus AA Batteries (10 Count),Panasonic,0,0,0,135,4.3,164,16,"Monday, February 14",0,164
35,B014SZPFKW,"Duracell Ultra Alkaline 9V Battery, 1 Pc",Duracell,0,0,0,275,4.4,"2,056",0,"Tuesday, February 8",1,"2,056"
