,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,Amazon Brand - Solimo XXXL Bean Bag Filled With Beans (Black and Brown),1,1,0,"1,989",4.0,"2,447",67,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0449253OWGD1X89P5JI&url=%2FAmazon-Brand-Solimo-Filled-Beans%2Fdp%2FB08GRY77P9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26smid%3DAT95IG9ONZD7S%26sr%3D8-1-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_atf
1,Amazon Brand - Solimo XXL Bean Bag Filled With Beans (Brown and Tan),1,0,0,"1,699",3.9,"1,320",72,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04491538VQJYMB0C3IQ&url=%2FAmazon-Brand-Solimo-Filled-Beans%2Fdp%2FB08GS4JKCJ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-2-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_atf
2,Amazon Brand - Solimo XL Bean Bag Filled With Beans (Brown),1,0,0,"1,499",3.8,195,75,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04477692JW3FX42EYIEV&url=%2FAmazon-Brand-Solimo-Filled-Beans%2Fdp%2FB08GS6JLGM%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-3-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_atf
3,Amazon Brand - Solimo Parisian Dreams XXXL Printed Bean Bag Filled With Beans,1,0,0,"2,799",3.5,47,53,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04483611YFDGVD9CEMXA&url=%2FAmazon-Brand-Solimo-Parisian-Printed%2Fdp%2FB08GRRNQR6%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-4-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_atf
4,Amazon Brand - Solimo XXXL Bean Bag Filled With Beans (Black and Brown),0,1,0,"1,989",4.0,"2,447",67,,1,https://www.amazon.in/Amazon-Brand-Solimo-Filled-Beans/dp/B08GRY77P9/ref=sr_1_5?keywords=bean+bags&qid=1643175103&smid=AT95IG9ONZD7S&sr=8-5
5,Urban Style Decore Filled with Beans Chair Sofa Bean Bag with Relaxing Footrest (TAN),0,0,0,"2,199",3.6,93,56,"Friday, February 4",1,https://www.amazon.in/Urban-Style-Decore-Filled-Relaxing-Footrest/dp/B092R5HM49/ref=sr_1_6?keywords=bean+bags&qid=1643175103&sr=8-6
6,Amazon Brand - Solimo XXL Bean Bag Filled With Beans (Brown and Tan),0,0,0,"1,699",3.9,"1,320",72,,1,https://www.amazon.in/Amazon-Brand-Solimo-Filled-Beans/dp/B08GS4JKCJ/ref=sr_1_7?keywords=bean+bags&qid=1643175103&sr=8-7
7,Sattva Classic Bean Bag Filled with Beans XXXL Size - Brown Colour,0,0,0,"1,999",3.8,"5,452",54,,1,https://www.amazon.in/Sattva-Classic-Bean-filled-beans/dp/B00WM72VW4/ref=sr_1_8?keywords=bean+bags&qid=1643175103&sr=8-8
8,Amazon Brand - Solimo XXXL Bean Bag Cover (Black with Pink Piping),0,0,0,929,4.0,"5,566",42,"Monday, January 31",1,https://www.amazon.in/Amazon-Brand-Solimo-Cover-Piping/dp/B078J4WHRX/ref=sr_1_9?keywords=bean+bags&qid=1643175103&smid=AT95IG9ONZD7S&sr=8-9
9,Amazon Brand - Solimo XXXL Bean Bag Cover Without Beans (Brown),0,0,0,839,3.8,"2,887",48,"Friday, January 28",1,https://www.amazon.in/Amazon-Brand-Solimo-Cover-Without/dp/B06XXWB89S/ref=sr_1_10?keywords=bean+bags&qid=1643175103&smid=AT95IG9ONZD7S&sr=8-10
10,"Mollismoons Bean Bag Fur Sofa Without Beans (XXXL, Grey)",0,0,0,"1,690",4.4,526,83,"Tuesday, February 1",1,https://www.amazon.in/Mollismoons-Bean-Sofa-Without-Beans/dp/B082NFWHG7/ref=sr_1_11?keywords=bean+bags&qid=1643175103&sr=8-11
11,Amazon Brand - Solimo XL Bean Bag Cover Without Beans (Red and Black),0,0,0,699,3.9,771,30,"Sunday, January 30",1,https://www.amazon.in/Amazon-Brand-Solimo-Cover-Without/dp/B08BGLRTPB/ref=sr_1_12?keywords=bean+bags&qid=1643175103&sr=8-12
12,SATTVA Classy.Elegant.Stylish Classic 3XL Bean Bag Filled with Beans (Colour -Tan with Black Piping),0,0,0,"1,774",4.0,"1,010",59,,1,https://www.amazon.in/SATTVA-Classy-Elegant-Stylish-Classic-Filled-Colour/dp/B082VCHPDQ/ref=sr_1_13?keywords=bean+bags&qid=1643175103&sr=8-13
13,Urban Style Decore XXXL Navy Blue Black Bean Bag with Footrest Without Beans Unfilled Cover Only,0,0,0,989,3.0,18,51,"Monday, January 31",1,https://www.amazon.in/Urban-Style-Decore-Footrest-Unfilled/dp/B09LZ2K2RC/ref=sr_1_14?keywords=bean+bags&qid=1643175103&sr=8-14
14,"Couchette® XXXL Lounge Chair Luxury Bean Bag Cover with Footrest, Without Beans, Tan (Without Fillers)",0,0,0,"1,849",3.9,"1,362",50,"Sunday, January 30",1,https://www.amazon.in/Couchette-Lounge-Luxury-Footrest-Without/dp/B07JD9NJJC/ref=sr_1_15?keywords=bean+bags&qid=1643175103&sr=8-15
15,LEXAVI Brand - XXXL Prefilled Beanbag with Foot-Rest/ Filled with Beans - (Tan Brown),0,0,0,"2,269",5.0,1,59,"Monday, January 31",1,https://www.amazon.in/LEXAVI-Brand-Prefilled-Beanbag-Foot-Rest/dp/B09DPPZPFV/ref=sr_1_16?keywords=bean+bags&qid=1643175103&sr=8-16
16,Amazon Brand - Solimo XXXL Bean Bag Cover Without Beans (Purple),0,0,0,629,3.9,871,61,"Friday, January 28",1,https://www.amazon.in/Amazon-Brand-Solimo-Without-Purple/dp/B072Q29GFY/ref=sr_1_17?keywords=bean+bags&qid=1643175103&sr=8-17
17,Amazon Brand - Solimo XXXL Bean Bag Cover Without Beans (Brown and Tan),0,0,0,899,3.9,"2,109",40,,1,https://www.amazon.in/Amazon-Brand-Solimo-Cover-Without/dp/B072Q1QJQS/ref=sr_1_18?keywords=bean+bags&qid=1643175103&sr=8-18
18,Amazon Brand - Solimo XL Bean Bag Filled With Beans (Brown),0,0,0,"1,499",3.8,195,75,,1,https://www.amazon.in/Amazon-Brand-Solimo-Filled-Beans/dp/B08GS6JLGM/ref=sr_1_19?keywords=bean+bags&qid=1643175103&sr=8-19
19,Urban Style Decore Most Comfotable Easy to Carry XXXL Bean Bags with Footrest Filling of Beans Color Brown,0,0,0,"2,099",3.8,253,58,"Friday, February 4",1,https://www.amazon.in/Urban-Style-Decore-Bean-Bags/dp/B0917H3PR7/ref=sr_1_20?keywords=bean+bags&qid=1643175103&sr=8-20
20,Faddish - FALAK - 2 Kg Beans for Bean Bag Filling - (2 kg Beans - 1400 Grams net Weight as per Indian Standards),1,0,0,999,4.7,11,17,"Wednesday, February 2",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0685331MY9ZRQ66ZEVM&url=%2FFaddish-Filling-Weight-Indian-Standards%2Fdp%2FB09MD9HSGN%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-21-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_mtf
21,Amazon Brand - Solimo Muddha XXXL Bean Bag Filled With Beans (Brown & Orange),1,0,0,"2,299",3.7,250,62,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00689232EZ401VDQAA69&url=%2FAmazon-Brand-Solimo-Muddha-Filled%2Fdp%2FB08GS6JLGR%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-22-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_mtf
22,KAM'S LIEU (Urban Style Decore) Most Comfortable Prefilled Chair Sofa Bean Bag with Footrest Filled with Beans for Living Room for Home Gaming Chair Color Navy Blue,1,0,0,"2,299",0,0,43,"Monday, January 31",0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09956072SERZF3VG3BG3&url=%2FKAMS-LIEU-Comfortable-Prefilled-Footrest%2Fdp%2FB09MNKFDWG%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dbean%2Bbags%26qid%3D1643175103%26sr%3D8-23-spons%26psc%3D1&qualifier=1643175103&id=6776245565997758&widgetName=sp_mtf
