,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,STARNSTYLE Super King Size Twill Cotton Double Bedsheet || 300 TC Premium Collection Design Print Bedsheet with 2 Pillow Covers Cream,1,0,0,499,5.0,1,72,"Thursday, February 3",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02953743HI3YYD76VG08&url=%2FSTARNSTYLE-Twill-Cotton-Bedsheet-Collection%2Fdp%2FB09PRGZSRY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-1-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_atf
1,"Amazon Brand - Solimo Floral Flakes 144 TC Cotton Double Bedsheet with 2 Pillow Covers, Blue",1,0,0,899,4.2,"3,545",36,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04586581FKJXK7DVU4WN&url=%2FAmazon-Brand-Solimo-Floral-Bedsheet%2Fdp%2FB076ZYXQ4R%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-2-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_atf
2,"Amazon Brand - Solimo Abstract Waves 144 TC Cotton Double Bedsheet with 2 Pillow Covers, Green",1,0,0,899,4.3,324,36,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07749281O1Z3STMYXW6C&url=%2FAmazon-Brand-Solimo-Abstract-Bedsheet%2Fdp%2FB076ZRXP4V%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-3-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_atf
3,"Amazon Brand - Solimo Lily Bloom 144 TC 100% Cotton Double Bedsheet with 2 Pillow Covers, Pink, Floral",1,0,0,899,4.3,"7,814",36,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04577102BUCWJPVXEOYS&url=%2FAmazon-Brand-Solimo-Cotton-Bedsheet%2Fdp%2FB076ZL896V%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-4-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_atf
4,"Luxury Trends 100% Cotton 160 TC Flower Printed Double Bedsheet With 2 King Size Pillow Covers, (90X90 Inches, Grey Rust)",0,0,0,268,3.4,66,91,"Wednesday, February 2",1,https://www.amazon.in/Luxury-Trends-Cotton-Printed-Bedsheet/dp/B08L5MSFDS/ref=sr_1_5?keywords=bedsheet&qid=1643207888&sr=8-5
5,Divine Casa 100% Cotton Geometric Print Mix N Match Bedsheet for Double Bed (Multicolour),0,1,0,618,4.1,"17,408",66,"Friday, January 28",1,https://www.amazon.in/Divine-Casa-Cotton-Geometric-Bedsheet/dp/B07W4V11P9/ref=sr_1_6?keywords=bedsheet&qid=1643207888&sr=8-6
6,"HUESLAND by Ahmedabad Cotton 144 TC Cotton Double Bedsheet with 2 Pillow Covers - Yellow, Grey",0,0,0,702,4.1,"22,898",29,"Friday, January 28",1,https://www.amazon.in/Ahmedabad-Cotton-Double-Bedsheet-Pillow/dp/B07CN7NJQS/ref=sr_1_7?keywords=bedsheet&qid=1643207888&sr=8-7
7,Fashion String 144 TC Microfibre Brown Double Bedsheet with 2 King Size Pillow Covers,0,0,0,249,3.6,"3,154",75,"Thursday, February 3",0,https://www.amazon.in/Fashion-String-Microfibre-Double-Bedsheet/dp/B08RB5LK5Y/ref=sr_1_8?keywords=bedsheet&qid=1643207888&sr=8-8
8,"Amazon Brand - Solimo Floral Foliage 144 TC Cotton Double Bedsheet with 2 Pillow Covers, Teal",0,0,0,609,4.3,"4,597",57,"Monday, January 31",1,https://www.amazon.in/Amazon-Brand-Solimo-Foliage-Bedsheet/dp/B076ZTSW47/ref=sr_1_9?keywords=bedsheet&qid=1643207888&smid=AT95IG9ONZD7S&sr=8-9
9,ENGUNIAS Prime Collection 160TC Cotton-Blend 1 Double Bedsheet with 2 Matching Free Pillow Covers Green Colour Check Box Design Design,0,0,0,295,3.4,30,90,"Wednesday, February 2",1,https://www.amazon.in/ENGUNIAS-Collection-Cotton-Blend-Bedsheet-Matching/dp/B09N9RYD54/ref=sr_1_10?keywords=bedsheet&qid=1643207888&sr=8-10
10,"YATIN FAB Home Furnishing 144 TC Microfiber Box Printed Double Bedsheet with 2 Pillow Covers (Brown, 228 cm X 226 cm, Polycotton)",0,0,0,227,3.3,"1,184",77,"Wednesday, February 2",1,https://www.amazon.in/YATIN-FAB-Furnishing-Microfiber-Polycotton/dp/B094VFG4LX/ref=sr_1_11?keywords=bedsheet&qid=1643207888&sr=8-11
11,BEVI - Home Super Solid Slate Grey 144 Tc Microfiber Double King Bedsheet with 2 Pillow Cover- (Slate Grey),0,0,0,450,3.9,"2,649",65,"Wednesday, February 2",1,https://www.amazon.in/BEVI-Microfiber-Double-Bedsheet-Pillow/dp/B08HCM97WR/ref=sr_1_12?keywords=bedsheet&qid=1643207888&sr=8-12
12,"Soniasaa Prime Collection 190 TC Cotton-Blend Double Sized Bedsheet with 2 Pillow Covers (90x90 Inch, Maroon)",0,0,0,299,3.5,96,90,"Wednesday, February 2",1,https://www.amazon.in/Soniasaa-Collection-Cotton-Blend-Double-Bedsheet/dp/B09KNP38TM/ref=sr_1_13?keywords=bedsheet&qid=1643207888&sr=8-13
13,"BSB HOME Glace Cotton 160 TC Big Floral Printed Double Bedsheets with 2 King Size Pillow Cover (90X90 Inches, 7.5 x 7.5 Feet, Pink and Light Green)",0,0,0,359,3.5,"1,855",72,"Thursday, February 3",0,https://www.amazon.in/BSB-HOME-Cotton-Printed-Bedsheets/dp/B08T7KP4KZ/ref=sr_1_14?keywords=bedsheet&qid=1643207888&sr=8-14
14,"Home Elite 200 TC Glace Cotton Microfiber Designer Double Bedsheet with 2 Pillow Covers , Multicolor",0,0,0,419,3.8,784,65,"Thursday, February 3",0,https://www.amazon.in/Cotton-Microfiber-Designer-Bedsheet-Multicolor/dp/B091885R8S/ref=sr_1_15?keywords=bedsheet&qid=1643207888&sr=8-15
15,"CHHILAKIYA 6D Microfiber King Size Printed Double Bedsheet Pack of 2 Along with 4 Pillow Covers, Multicolor",0,0,0,747,3.8,"1,498",50,"Wednesday, February 2",1,https://www.amazon.in/CHHILAKIYA-Microfiber-Printed-Bedsheet-Multicolor/dp/B097Y956SL/ref=sr_1_16?keywords=bedsheet&qid=1643207888&sr=8-16
16,"Amazon Brand - Solimo Lily Bloom 144 TC Cotton Double Bedsheet with 2 Pillow Covers, Green",0,0,0,899,4.3,"7,814",36,"Monday, January 31",1,https://www.amazon.in/Amazon-Brand-Solimo-Cotton-Bedsheet/dp/B06Y55KBRT/ref=sr_1_17?keywords=bedsheet&qid=1643207888&sr=8-17
17,Soniasaa 180 TC Cotton Blend Geometric 2 Double Bedsheet with 4 Pillow Covers -Combo Pack of 2 (Blue and Red),0,0,0,499,3.5,558,83,"Wednesday, February 2",1,https://www.amazon.in/Soniasaa-Cotton-Geometric-Double-Bedsheet/dp/B09GN58GJ5/ref=sr_1_18?keywords=bedsheet&qid=1643207888&sr=8-18
18,"Amazon Brand - Solimo Floral Pop 144 TC Cotton Double Bedsheet with 2 Pillow Covers, Pink",0,0,0,539,4.3,493,62,"Tuesday, February 1",1,https://www.amazon.in/Amazon-Brand-Solimo-Floral-Bedsheet/dp/B077123RPY/ref=sr_1_19?keywords=bedsheet&qid=1643207888&smid=AT95IG9ONZD7S&sr=8-19
19,ADEGIA Prime Collection 190TC Cotton Blend 1 Double Bedsheet (90X90) with 2 Matching Free Pillow Cover Size (16X26) Inch Colour - Floral Blue Design,0,0,0,299,3.1,64,89,"Wednesday, February 2",1,https://www.amazon.in/ADEGIA-Collection-Cotton-Bedsheet-Matching/dp/B09MNJTP1N/ref=sr_1_20?keywords=bedsheet&qid=1643207888&sr=8-20
20,"Rayna Decor Premium Cotton Soft Satin Weave 200 TC Printed Double Bed Sheet with 2 Pillow Covers (90X100 Inches,Multicolor)",1,0,0,945,3.8,527,27,"Thursday, February 3",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0278617HTPU9TGUAO47&url=%2FRayna-Decor-Premium-Printed-Multicolor%2Fdp%2FB09659T968%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-21-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_mtf
21,"Amazon Brand - Solimo Bubble Bounty 144 TC Cotton Floral Double Bedsheet with 2 Pillow Covers, Orange",1,0,0,899,4.3,989,18,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07724222BG9QLEK5ZU2X&url=%2FAmazon-Brand-Solimo-Bubble-Bedsheet%2Fdp%2FB07712B75Q%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-22-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_mtf
22,"Amazon Brand - Solimo Mondrian Stripes 144 TC Cotton Striped Double Bedsheet with 2 Pillow Covers, Blue and Green",1,0,0,799,4.4,912,43,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A027442423BKZBND7A0V6&url=%2FAmazon-Brand-Mondrian-Stripes-Bedsheet%2Fdp%2FB07711NYG4%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-23-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_mtf
23,"Home- The best is for you Cotton Jacquard Damask Woven/Self Design Bedsheets Set with 2 Pillow Covers (Silver, Double, King)",1,0,0,"2,873",4.2,36,22,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0813024PWASVX3TEW54&url=%2FHome-best-you-Chambaray-Bedsheet%2Fdp%2FB07FDXJFWH%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dbedsheet%26qid%3D1643207888%26sr%3D8-24-spons%26psc%3D1&qualifier=1643207888&id=5505680550754816&widgetName=sp_mtf
24,"PRIDHI Super Cotton Double Bedsheet with Two Pillow Covers for Kids (Multicolour, 90 x 90 Inch)",0,0,0,279,3.6,127,72,"Wednesday, February 2",1,https://www.amazon.in/PRIDHI-Cotton-Double-Bedsheet-Multicolour/dp/B09GM2HRNG/ref=sr_1_25?keywords=bedsheet&qid=1643207888&sr=8-25
