,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,Labnoft Men's Auto Lock Leather Belt,1,0,0,699,4.3,"1,251",30,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02695702FH2SJXXOLIBZ&url=%2FLabnoft-Reversible-Leather-Automatic-Buckle%2Fdp%2FB07H5NZ5DY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBelt%26qid%3D1643617548%26sr%3D8-1-spons%26psc%3D1&qualifier=1643617548&id=3228736688037404&widgetName=sp_atf
1,Labnoft Men's Reversible PU Leather Belt,1,0,0,649,4.0,"2,194",35,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0774970G1COAHL14CMH&url=%2FLabnoft-Reversible-Leather-Turning-Buckle%2Fdp%2FB07MZ3B4SS%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBelt%26qid%3D1643617548%26sr%3D8-2-spons%26psc%3D1&qualifier=1643617548&id=3228736688037404&widgetName=sp_atf
2,LA-FORTE Men's Auto-lock Synthetic Vegan Leather Belt Alloy Buckle Double Stitched Reversible Belt For Gents 2colors In 1belt (Brown& Black) | Casual Wear | Office Wear,1,0,0,479,5.0,2,68,,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A003920910GQZDFJO1MX6&url=%2FAuto-lock-Synthetic-Leather-Stitched-Reversible%2Fdp%2FB09PG5XG92%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DBelt%26qid%3D1643617548%26sr%3D8-3-spons%26psc%3D1&qualifier=1643617548&id=3228736688037404&widgetName=sp_atf
3,LA-FORTE Men's Auto-lock Synthetic Vegan Leather Belt Alloy Buckle Double Stitched Reversible Belt For Gents 2colors In 1belt (Brown& Black) | Casual Wear | Office Wear,1,0,0,479,0,0,68,,0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0239039921NBPWL92IZ&url=%2FAuto-lock-Synthetic-Leather-Stitched-Reversible%2Fdp%2FB09PDLYHQF%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DBelt%26qid%3D1643617548%26sr%3D8-4-spons%26psc%3D1&qualifier=1643617548&id=3228736688037404&widgetName=sp_atf
4,CREATURE Reversible Pu-Leather Formal Belt For Men(Color-Black/Brown||BL-01|| 46 inches lenght|| Waist upto -40 inches),0,1,0,298,3.9,"8,314",80,,0,https://www.amazon.in/Creature-Reversible-Pu-Leather-Formal-Color-Black/dp/B06XHGX8KZ/ref=sr_1_5?keywords=Belt&qid=1643617548&sr=8-5
5,ZORO Men's PU Leather Black Autolock Grip Belt,0,0,0,253,3.7,"1,710",83,,0,https://www.amazon.in/ZORO-Leather-Adjustable-autlock-ratched/dp/B0854J6N67/ref=sr_1_6?keywords=Belt&qid=1643617548&sr=8-6
6,URBAN FOREST Leather Belt for Men,0,0,0,455,4.0,"3,396",77,,0,https://www.amazon.in/Urban-Forest-Clark-Leather-Buckle/dp/B0824PLNV5/ref=sr_1_7?keywords=Belt&qid=1643617548&sr=8-7
7,ZORO Unisex Nylon & Canvas Waist Belt (Pack of 2),0,0,0,271,4.2,465,91,,0,https://www.amazon.in/ZORO-Tactical-Automatic-Buckle-Survival/dp/B083XSX3HK/ref=sr_1_8?keywords=Belt&qid=1643617548&sr=8-8
8,URBAN FOREST Men's Leather Belt,0,0,0,455,3.9,"2,971",77,,0,https://www.amazon.in/Urban-Forest-Clark-Leather-Buckle/dp/B088TFL5W4/ref=sr_1_9?keywords=Belt&qid=1643617548&sr=8-9
9,SORSHORE Men's Leather Belt (Pack of 3),0,0,0,140,3.0,"1,551",53,,0,https://www.amazon.in/SORSHORE-Artificial-Leather-Black-Combo/dp/B07ZX36FHN/ref=sr_1_10?keywords=Belt&qid=1643617548&sr=8-10
