,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"YnM Cotton Twin Blanket, Grey",1,0,0,"8,880",4.3,11,51,"Tuesday, February 1",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10357421LJ9KHFTOUJSQ&url=%2FYnM-Weighted-Blanket-Cotton-Material%2Fdp%2FB073429DV2%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dblanket%26qid%3D1643226566%26sr%3D8-1-spons%26psc%3D1&qualifier=1643226566&id=266162153052585&widgetName=sp_atf
1,Beurer UB 33 Fleece Heated Under Blanket with Germen Technology and 5 Years Warranty.,1,0,0,"3,745",3.9,376,27,"Thursday, February 3",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08659372IUKZ0L25GBMN&url=%2FBeurer-UB-33-Under-Blanket%2Fdp%2FB000I6IY2W%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dblanket%26qid%3D1643226566%26sr%3D8-2-spons%26psc%3D1%26smid%3DA33E5F5E7308SC&qualifier=1643226566&id=266162153052585&widgetName=sp_atf
2,Kritarth Handicrafts Ultra Soft Single Size Floral Design Mink Blanket for Winter and AC Rooms (Purple),1,0,0,800,0,0,33,"Thursday, February 3",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01995953I74H5I5EALAG&url=%2FKritarth-Handicrafts-Single-Floral-Blanket%2Fdp%2FB08JPF16RJ%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dblanket%26qid%3D1643226566%26sr%3D8-3-spons%26psc%3D1&qualifier=1643226566&id=266162153052585&widgetName=sp_atf
3,"Kritarth Handicrafts Polo Plain Fleece Double Bed Blanket -Set of 5 (Multicolour, Standard Size 90 * 85 inch)",1,0,0,"1,470",2.5,4,51,"Thursday, February 3",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02039072MZBGHQY04J16&url=%2Fkritarth-Handicrafts-Fleece-Double-Blanket%2Fdp%2FB07KK89ZFN%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dblanket%26qid%3D1643226566%26sr%3D8-4-spons%26psc%3D1&qualifier=1643226566&id=266162153052585&widgetName=sp_atf
4,"Divine Casa Microfibre All-Weather Abstract Printed Reversible Single Bed Comforter Blanket Light Weight Quilt Duvet, Navy Blue & White",0,0,0,899,4.3,"9,139",53,"Tuesday, February 1",1,https://www.amazon.in/Divine-Casa-Microfibre-Comforter-Lightweight/dp/B07N1RLCWY/ref=sr_1_5?keywords=blanket&qid=1643226566&sr=8-5
5,DRaX Microfibre Single Bed Blanket / Kambal Soft Luxurious Blanket -Brown,0,0,0,499,3.5,300,55,"Monday, January 31",1,https://www.amazon.in/DRaX-Microfibre-Single-Blanket-Luxurious/dp/B09F7LX8S2/ref=sr_1_6?keywords=blanket&qid=1643226566&sr=8-6
6,"Goyal's Plain Fleece Single Bed All Season Blanket / Comforter / Dohar 250TC - Pack of 5 (58x88 Inch, Blue, Brown, Maroon, Rust, Olive)",0,0,0,899,3.9,"4,231",64,"Tuesday, February 1",1,https://www.amazon.in/Goyals-Fleece-Single-Blanket-Multicolour/dp/B0844XTG9G/ref=sr_1_7?keywords=blanket&qid=1643226566&sr=8-7
7,"Selective Soft Microfiber Winter Heavy Quilt, Double Size, Metallic Brown",0,1,0,"1,599",3.9,"3,045",60,"Thursday, February 3",1,https://www.amazon.in/Selective-Premium-Super-Microfibre-Winter/dp/B07885XRQC/ref=sr_1_8?keywords=blanket&qid=1643226566&sr=8-8
8,FORTAY Single Bed Soft Touch Light Weight Polar Fleece Blanket/Warm Bedsheet for Light Winters/Summer/AC Blankets (Multicolour) - Pack of 5,0,0,0,648,5.0,2,54,"Wednesday, February 2",1,https://www.amazon.in/FORTAY-Single-Bedsheet-Blankets-Multicolour/dp/B09PC6RG2B/ref=sr_1_9?keywords=blanket&qid=1643226566&sr=8-9
9,Fancy Walas Presents Velvet Floral Embossed Super Soft Heavy Double Bed Mink Blanket for Winter (Grey),0,0,0,699,3.6,"1,084",56,"Monday, January 31",1,https://www.amazon.in/Fancy-Walas-Presents-Embossed-Blanket/dp/B098384DDW/ref=sr_1_10?keywords=blanket&qid=1643226566&sr=8-10
