,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,0,1,KSSGAMF7ARGQSHNW,Advertisement,https://www.flipkart.com/hooh-now-comfort-fashion-girls-zip-casual-boots/p/itm89d5c589c8cd1?pid=KSSGAMF7ARGQSHNW&lid=LSTKSSGAMF7ARGQSHNWSCB47Y&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_1&otracker=search&otracker1=search&iid=en_xasWYlLEnlu7xXLRXFYBf7q7lFAy50z152sPBvrEoh9oYjYmLaAJMRMGjm0u6qDgUjnmUbGMZfShwWG2gg%2FzoA%3D%3D&ssid=qyx7y6s5z40000001644224850534&qH=7c6396ac5cdfd367,HOOH - Now comfort in fashion,₹399,33% off,0,Zip Casual Boots For Girls,White,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kydb3ww0/kids-shoe/g/l/f/9c-long-shoes-hooh-now-comfort-in-fashion-original-imagamf6fh6vmcfh.jpeg,"SKU : KSSGAMF7ARGQSHNW
Brand : HOOH - Now comfort in fashion",baby footwear
1,1,2,12,13,KSSGYGNCBRZ3PDHY,0,https://www.flipkart.com/miss-chief-boys-velcro-running-shoes/p/itm35c066c64d236?pid=KSSGYGNCBRZ3PDHY&lid=LSTKSSGYGNCBRZ3PDHYH4LOZ0&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_13&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.KSSGYGNCBRZ3PDHY.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,Miss & Chief,₹260,73% off,1,Velcro Running Shoes For Boys,Light Green,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/klb78nk0/kids-shoe/p/g/s/7c-miss-dc-miss-chief-original-imagygncdpuztmqz.jpeg,"SKU : KSSGYGNCBRZ3PDHY
Brand : Miss & Chief",baby footwear
2,2,3,23,24,BOOGB8MZNG7UFXZA,Advertisement,https://www.flipkart.com/kamal-child-care-booties/p/itmb6789f250144a?pid=BOOGB8MZNG7UFXZA&lid=LSTBOOGB8MZNG7UFXZAZKWSS7&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_24&otracker=search&otracker1=search&iid=en_NQ4ZnSNcsJ6ldkUB%2FLyDDZteWXXxelCDmWVoocJ8KpBb9mDiu%2FCVnVkyIkcSR%2BJZQP5GoGlOgXrUhIj8rGC8VA%3D%3D&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,,₹267,73% off,0,KAMAL CHILD CARE Booties,"Toe to Heel Length - 12 cm, White, Black, Red",-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kz5vwy80/bootie/v/k/b/0-12-rb-001-tarun-child-care-12-original-imagb8gbkytsjzsp.jpeg,SKU : BOOGB8MZNG7UFXZA,baby footwear
3,3,4,2,3,BOOF8GQCYNQZKZ3P,0,https://www.flipkart.com/neska-moda-0-12-month-set-2-pair-baby-booties/p/itmd9adf981133d4?pid=BOOF8GQCYNQZKZ3P&lid=LSTBOOF8GQCYNQZKZ3PNTTUTT&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_3&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.BOOF8GQCYNQZKZ3P.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,,₹195,75% off,0,Neska Moda 0 To 12 Month Set of 2 Pair Baby Booties,"Toe to Heel Length - 12 cm, Black, Pink",-,-,,,0,http://rukmini1.flixcart.com/image/300/300/ktszgy80/bootie/n/i/b/0-12-infantboties-neska-moda-12-original-imag72ba3pyxm5uf.jpeg,SKU : BOOF8GQCYNQZKZ3P,baby footwear
4,4,5,3,4,KSSFZFFHMCXGZHGB,0,https://www.flipkart.com/neobaby-boys-girls-velcro-running-shoes/p/itmd7eca01625c46?pid=KSSFZFFHMCXGZHGB&lid=LSTKSSFZFFHMCXGZHGBXERWYE&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_4&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.KSSFZFFHMCXGZHGB.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,NEOBABY,₹299,70% off,1,Velcro Running Shoes For Boys & Girls,Black,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kjym9ow0/kids-shoe/a/y/r/4c-dc-1-neobaby-original-imafzffhtejh2yje.jpeg,"SKU : KSSFZFFHMCXGZHGB
Brand : NEOBABY",baby footwear
5,5,6,4,5,KSSFZFFHK5D7FUUZ,0,https://www.flipkart.com/neobaby-boys-girls-velcro-sneakers/p/itmf4b4ed0e26b80?pid=KSSFZFFHK5D7FUUZ&lid=LSTKSSFZFFHK5D7FUUZWVL1U6&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_5&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.KSSFZFFHK5D7FUUZ.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,NEOBABY,₹299,70% off,1,Velcro Sneakers For Boys & Girls,Blue,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kjym9ow0/kids-shoe/k/w/b/8c-dc-1-neobaby-original-imafzffhm4cabndq.jpeg,"SKU : KSSFZFFHK5D7FUUZ
Brand : NEOBABY",baby footwear
6,6,7,24,25,KFFG6JDR5DWJGGMT,0,https://www.flipkart.com/walking-pair-girls-slip-slipper-flip-flop/p/itm0cfab49de978c?pid=KFFG6JDR5DWJGGMT&lid=LSTKFFG6JDR5DWJGGMT3JPGGQ&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_25&otracker=search&otracker1=search&iid=58d5fbe9-fa58-46cd-b4d5-10b52de0afd8.KFFG6JDR5DWJGGMT.SEARCH&ssid=5gxcr76lao0000001645003357890&qH=7c6396ac5cdfd367,Walking Pair,₹209,73% off,1,Girls Slip On Slipper Flip Flop,Pink,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kt4ozgw0/kids-slipper-flip-flop/v/z/o/1-4c-playboy-bunny-pink-slippers-walking-pair-original-imag6jdrhcysys3g.jpeg,"SKU : KFFG6JDR5DWJGGMT
Brand : Walking Pair",baby footwear
7,7,8,13,14,KSSGYU3YCYUABHGE,0,https://www.flipkart.com/miss-chief-boys-velcro-running-shoes/p/itmc960c6b50b1dc?pid=KSSGYU3YCYUABHGE&lid=LSTKSSGYU3YCYUABHGEJMNEVR&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_14&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.KSSGYU3YCYUABHGE.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,Miss & Chief,₹260,73% off,1,Velcro Running Shoes For Boys,Blue,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/klscivk0/kids-shoe/r/l/4/8c-miss-dc-miss-chief-original-imagyu2z8vz6gkuw.jpeg,"SKU : KSSGYU3YCYUABHGE
Brand : Miss & Chief",baby footwear
8,8,9,8,9,KSSG3PFGMMHXMBYJ,0,https://www.flipkart.com/j0yj0-boys-girls-lace-casual-boots/p/itma5af3a43dc52d?pid=KSSG3PFGMMHXMBYJ&lid=LSTKSSG3PFGMMHXMBYJGVVYLA&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_9&otracker=search&otracker1=search&iid=aa26ad57-1a50-4a16-80f3-303cb710d0d9.KSSG3PFGMMHXMBYJ.SEARCH&ssid=jls2mk016o0000001645028714796&qH=7c6396ac5cdfd367,J0YJ0,₹300,57% off,0,Lace Casual Boots For Boys & Girls,Orange,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/k9stjm80/kids-shoe/2/w/a/6c-1150-neobaby-original-imafrgpghxczp8mc.jpeg,"SKU : KSSG3PFGMMHXMBYJ
Brand : J0YJ0",baby footwear
9,9,10,7,8,KSSG5CNHMWQQE2YG,Advertisement,https://www.flipkart.com/campus-boys-girls-slip-sneakers/p/itmd319bb2684c2b?pid=KSSG5CNHMWQQE2YG&lid=LSTKSSG5CNHMWQQE2YGXFSGOX&marketplace=FLIPKART&q=baby+footwear&store=osp%2Fmba%2Fqzr&srno=s_1_8&otracker=search&otracker1=search&iid=en_caIAwee7Nsg19wJq4EptBwicb5txUFCKu3GmZMYwvLmBGt%2FiUrD4pDDWoqz%2B1jUEytPVwoO6DVdCHjXvmtLipg%3D%3D&ssid=ak431d9ok00000001644483410570&qH=7c6396ac5cdfd367,CAMPUS,₹494,10% off,0,Slip on Sneakers For Boys & Girls,Yellow,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/krkyt8w0/kids-shoe/b/y/g/9c-sm-415-campus-original-imag5cmhjzgrwh2u.jpeg,"SKU : KSSG5CNHMWQQE2YG
Brand : CAMPUS",baby footwear
