,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,0,1,RAQG5GZ8Z2XDFPAV,Advertisement,https://www.flipkart.com/apacs-z-ziggler-72-72g-aero-dyna-frame-black-grey-unstrung-badminton-racquet/p/itm0b77eef5dadd1?pid=RAQG5GZ8Z2XDFPAV&lid=LSTRAQG5GZ8Z2XDFPAVFOM4RD&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_1&otracker=search&otracker1=search&iid=en_%2BcRnPoM%2BXC7ooKimH2yRigEJ0XggRLxWBIaKWOMoTb%2BTvLouUGjsrmGs3U9tFS9IMyBCJgJZe%2BxysOmpEhIXQQ%3D%3D&ssid=wso5hc8u5s0000001644998083666&qH=c904e80b36ff8654,,"₹2,805",63% off,1,"apacs Z-Ziggler 72 (72g, Aero-Dyna Frame) Black, Grey U...","Pack of: 1, 72 g",4,(34),,,0,http://rukmini1.flixcart.com/image/300/300/ku79vgw0/racquet/t/k/t/g4-3-25-inches-z-ziggler-72-72g-aero-dyna-frame-unstrung-1-original-imag7ddj5htpe4yr.jpeg,SKU : RAQG5GZ8Z2XDFPAV,badminton racquet
1,1,2,7,8,RAQG5GZ88ZE968WH,Advertisement,https://www.flipkart.com/apacs-z-ziggler-72-72g-aero-dyna-frame-black-red-unstrung-badminton-racquet/p/itmc8ed81a29ba88?pid=RAQG5GZ88ZE968WH&lid=LSTRAQG5GZ88ZE968WHEOBTRF&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_8&otracker=search&otracker1=search&iid=en_%2BcRnPoM%2BXC7ooKimH2yRigEJ0XggRLxWBIaKWOMoTb%2BRcoOhW%2FLHJ3Vr9Z%2B7y1J7hl1Dz%2BIAYkWOIZiRvTeCcw%3D%3D&ssid=wso5hc8u5s0000001644998083666&qH=c904e80b36ff8654,,"₹2,811",63% off,1,"apacs Z-Ziggler 72 (72g, Aero-Dyna Frame) Black, Red Un...","Pack of: 1, 72 g",4,(34),,,0,http://rukmini1.flixcart.com/image/300/300/ku5ufm80/racquet/i/d/f/g4-3-25-inches-z-ziggler-72-72g-aero-dyna-frame-unstrung-1-original-imag7cknkpcbvmyb.jpeg,SKU : RAQG5GZ88ZE968WH,badminton racquet
2,2,3,2,3,RAQFFUFNPG3ZYYS5,0,https://www.flipkart.com/adrenex-flipkart-r501-full-graphite-badminton-racquet-black-blue-strung/p/itm4e66f2c4064b6?pid=RAQFFUFNPG3ZYYS5&lid=LSTRAQFFUFNPG3ZYYS5BJHG6Q&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&spotlightTagId=BestsellerId_abc%2Fegs%2F5wq&srno=s_1_3&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFFUFNPG3ZYYS5.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,adrenex,₹749,45% off,1,Adrenex by Flipkart R501 Full Graphite Badminton Racque...,"Pack of: 1, 90 g",4.1,"(44,356)",,Bestseller,Private,http://rukmini1.flixcart.com/image/300/300/jybvafk0/racquet/y/s/5/g3-8-89-cm-r501-strung-1-ad-br-6-2-90-badminton-racquet-adrenex-original-imafghzpz4pxmtwv.jpeg,"SKU : RAQFFUFNPG3ZYYS5
Brand : adrenex",badminton racquet
3,3,4,3,4,RAQFHYJYDGMRMFZE,0,https://www.flipkart.com/adrenex-flipkart-r201-combo-cover-multicolor-strung-badminton-racquet/p/itm6bcb4702b93cf?pid=RAQFHYJYDGMRMFZE&lid=LSTRAQFHYJYDGMRMFZEWNZBUY&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_4&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFHYJYDGMRMFZE.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,adrenex,₹426,43% off,1,Adrenex by Flipkart R201 Combo with cover Multicolor St...,"Pack of: 2, 196 g",3.8,"(10,545)",,,Private,http://rukmini1.flixcart.com/image/300/300/k3hmj680/racquet/f/z/e/g3-8-89-cm-r201-combo-2-badminton-racquet-strung-2-ad-bk-1-196-original-imafmhkhucuhhgcu.jpeg,"SKU : RAQFHYJYDGMRMFZE
Brand : adrenex",badminton racquet
4,4,5,4,5,RAQFKJJQNTBFXGRH,0,https://www.flipkart.com/yonex-zr-100-light-black-strung-badminton-racquet/p/itm44ddcc2a47b74?pid=RAQFKJJQNTBFXGRH&lid=LSTRAQFKJJQNTBFXGRHUD9GMJ&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_5&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFKJJQNTBFXGRH.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,,₹479,36% off,1,YONEX ZR 100 LIGHT Black Strung Badminton Racquet,"Pack of: 1, 400 g",4,"(6,491)",,,0,http://rukmini1.flixcart.com/image/300/300/kctf0cw0/racquet/g/r/h/g4-8-25-cm-zr-100-light-strung-1-na-400-badminton-racquet-yonex-original-imaftuveujeh6rxg.jpeg,SKU : RAQFKJJQNTBFXGRH,badminton racquet
5,5,6,6,7,RAQFFUFNHXXHWFZS,0,https://www.flipkart.com/adrenex-flipkart-r501-full-graphite-badminton-racquet-black-orange-strung/p/itm162ada575e3fc?pid=RAQFFUFNHXXHWFZS&lid=LSTRAQFFUFNHXXHWFZS7I0ZPS&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_7&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFFUFNHXXHWFZS.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,adrenex,₹749,45% off,1,Adrenex by Flipkart R501 Full Graphite Badminton Racque...,"Pack of: 1, 90 g",4.1,"(44,356)",,,Private,http://rukmini1.flixcart.com/image/300/300/jyeq64w0/racquet/f/z/s/g3-8-89-cm-r501-strung-1-ad-br-6-1-90-badminton-racquet-adrenex-original-imafghzzxywwffjf.jpeg,"SKU : RAQFFUFNHXXHWFZS
Brand : adrenex",badminton racquet
6,6,7,9,10,RAQFE6ZVCJVNHACW,0,https://www.flipkart.com/star-x-double-shaft-wiring-soft-grip-badminton-racket-cover-shuttle-cock-multicolor-strung-racquet/p/itm526b53544211b?pid=RAQFE6ZVCJVNHACW&lid=LSTRAQFE6ZVCJVNHACWEHS7LA&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&spotlightTagId=BestvalueId_abc%2Fegs%2F5wq&srno=s_1_10&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFE6ZVCJVNHACW.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,,₹329,53% off,1,Star X Double Shaft Double Wiring Soft Grip Badminton R...,"Pack of: 3, 200 g",3.8,"(2,028)",,Bestvalue,0,http://rukmini1.flixcart.com/image/300/300/kndi4y80/racquet/3/i/d/g1-10-16-cm-double-shaft-double-wiring-soft-grip-badminton-original-imag22fqzaxjtjua.jpeg,SKU : RAQFE6ZVCJVNHACW,badminton racquet
7,7,8,7,8,RAQFGQQZW3FPJZVW,Advertisement,https://www.flipkart.com/adrenex-flipkart-r202-combo-white-blue-strung-badminton-racquet/p/itm8726514265885?pid=RAQFGQQZW3FPJZVW&lid=LSTRAQFGQQZW3FPJZVWFBX4J0&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_8&otracker=search&otracker1=search&iid=en_JcP2tfqTrWXNbubryIy0l9PVAXHnGzAt%2FNpPtYi9tx5LNWOlkJADDHuXe2KC%2FhY1bs8yCqDOxph9LsuoRWiUOg%3D%3D&ssid=rdw8os3h340000001644850501182&qH=c904e80b36ff8654,adrenex,₹599,36% off,1,"Adrenex by Flipkart R202 Combo White, Blue Strung Badmi...","Pack of: 2, 192 g",3.8,"(1,247)",,,Private,http://rukmini1.flixcart.com/image/300/300/jzu60sw0/racquet/z/v/w/g3-3-5-inches-r202-combo-strung-2-ad-bk-3-192-badminton-racquet-original-imafjp7gwn3xcwjy.jpeg,"SKU : RAQFGQQZW3FPJZVW
Brand : adrenex",badminton racquet
8,8,9,5,6,RAQEFKAURNUTMYDT,0,https://www.flipkart.com/yonex-gr-303-f-yellow-strung-badminton-racquet/p/itme12bf5f1f2337?pid=RAQEFKAURNUTMYDT&lid=LSTRAQEFKAURNUTMYDT3OUBER&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_6&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQEFKAURNUTMYDT.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,,₹529,29% off,1,YONEX GR 303 F Yellow Strung Badminton Racquet,"Pack of: 1, 95 g",4,"(1,42,831)",,,0,http://rukmini1.flixcart.com/image/300/300/kctf0cw0/racquet/y/d/t/g3-8-89-cm-gr-303-f-strung-1-na-95-badminton-racquet-yonex-original-imaftuvfy3scnpkk.jpeg,SKU : RAQEFKAURNUTMYDT,badminton racquet
9,9,10,10,11,RAQFJGE86ANHAUVK,0,https://www.flipkart.com/yonex-zr-100-light-blue-strung-badminton-racquet/p/itmba403dde23524?pid=RAQFJGE86ANHAUVK&lid=LSTRAQFJGE86ANHAUVKQLOH7P&marketplace=FLIPKART&q=badminton+racquet&store=abc%2Fegs%2F5wq&srno=s_1_11&otracker=search&otracker1=search&iid=3716f9a4-2996-424d-adcd-bdff48ef8105.RAQFJGE86ANHAUVK.SEARCH&ssid=ldlj3os4dc0000001645023986496&qH=c904e80b36ff8654,,₹479,36% off,1,YONEX ZR 100 LIGHT Blue Strung Badminton Racquet,"Pack of: 1, 400 g",4,"(8,026)",,,0,http://rukmini1.flixcart.com/image/300/300/kctf0cw0/racquet/u/v/k/g4-8-25-cm-zr-100-light-strung-1-na-400-badminton-racquet-yonex-original-imaftuvfyays8vkg.jpeg,SKU : RAQFJGE86ANHAUVK,badminton racquet
