,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,6,7,LBXFHEUVCUA6V7AG,0,https://www.flipkart.com/flipkart-smartbuy-classic-3-air-tight-containers-lunch-box/p/itm0cc846c574fa0?pid=LBXFHEUVCUA6V7AG&lid=LSTLBXFHEUVCUA6V7AGOZEVHO&marketplace=GROCERY&q=lunch+box&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXFHEUVCUA6V7AG.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,flipkart smartbuy,₹179,64% off,0,Flipkart SmartBuy Classic 3 Air Tight Containers Lunch ...,1300 ml,4.1,"(50,778)",,,Private,http://rukmini1.flixcart.com/image/300/300/k3j1z0w0/lunch-box/7/a/g/steel-luncbox-blue-flipkart-smartbuy-3-original-imafmmzw9agpyzf8.jpeg,"SKU : LBXFHEUVCUA6V7AG
Brand : flipkart smartbuy",lunch box
1,1,2,0,1,LBXGYU3CTHAC3JJE,Advertisement,https://www.flipkart.com/magnus-bolt-leakproof-lunch-box-school-office-stainless-steel-lid-2-containers/p/itm0d38f748d8c51?pid=LBXGYU3CTHAC3JJE&lid=LSTLBXGYU3CTHAC3JJENF0ODV&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&iid=en_lVTybfjf0NQaNwOswfMhwVaXEHTYlhsFbwGTkiIt240dYWo2T7KLq7%2BuiX6WwsLM8Qca8EWsBKuhD9JwrpvMzQ%3D%3D&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,,₹439,41% off,0,Magnus Bolt Leakproof Lunch Box For School and Office w...,950 ml,4.3,(26),,,0,http://rukmini1.flixcart.com/image/300/300/l1v1uvk0/lunch-box/w/j/a/950-bolt-leakproof-lunch-box-for-school-and-office-with-original-imagdc2wgqjyemwu.jpeg,SKU : LBXGYU3CTHAC3JJE,lunch box
2,2,3,1,2,LBXFJPGVPTSRDZ25,Advertisement,https://www.flipkart.com/oliveware-freshy-3-containers-lunch-box/p/itm77fb7497d2ae3?pid=LBXFJPGVPTSRDZ25&lid=LSTLBXFJPGVPTSRDZ25XJBFRX&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&iid=en_wHlUH2QiW9eyZ5qJM0mJKtMwiWCHuNi4z2mxd4W3navPK7pXTCr%2Fdi82UlknKWXpcHyZe9ttWz31uTa480kjAw%3D%3D&ssid=76mpgci6sg0000001644919037315&qH=ef0d2ede19374a1d,,₹376,26% off,0,Oliveware FRESHY 3 Containers Lunch Box,300 ml,4.2,"(1,014)",,,0,http://rukmini1.flixcart.com/image/300/300/jzrb53k0/lunch-box/z/2/5/freshy-oliveware-3-original-imafjpqjtyk7suyz.jpeg,SKU : LBXFJPGVPTSRDZ25,lunch box
3,3,4,4,5,LBXEGEGYXFNQGF4E,0,https://www.flipkart.com/milton-executive-3-containers-lunch-box/p/itmf3whf7n4why2h?pid=LBXEGEGYXFNQGF4E&lid=LSTLBXEGEGYXFNQGF4EG2GVYX&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXEGEGYXFNQGF4E.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,,₹270,29% off,1,MILTON Executive 3 Containers Lunch Box,1010 ml,4.3,"(2,27,056)",,,0,http://rukmini1.flixcart.com/image/300/300/k0flmkw0/lunch-box/f/4/e/executive-milton-3-original-imafk8fam2phbnjq.jpeg,SKU : LBXEGEGYXFNQGF4E,lunch box
4,4,5,29,30,LBXFHEUVPUQNEXK4,0,https://www.flipkart.com/flipkart-smartbuy-classic-3-air-tight-containers-lunch-box/p/itm477592e2b61ce?pid=LBXFHEUVPUQNEXK4&lid=LSTLBXFHEUVPUQNEXK4YOLJBZ&marketplace=GROCERY&q=lunch+box&store=search.flipkart.com&srno=s_1_30&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXFHEUVPUQNEXK4.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,flipkart smartbuy,₹178,64% off,0,Flipkart SmartBuy Classic 3 Air Tight Containers Lunch ...,1300 ml,4.1,"(50,778)",,,Private,http://rukmini1.flixcart.com/image/300/300/k3j1z0w0/lunch-box/x/k/4/steel-luncbox-green-flipkart-smartbuy-3-original-imafmmzwhbeevzgv.jpeg,"SKU : LBXFHEUVPUQNEXK4
Brand : flipkart smartbuy",lunch box
5,5,6,3,4,LBXEKZSB2GYM6U8J,0,https://www.flipkart.com/milton-executive-3-containers-lunch-box/p/itmf3whf7n4why2h?pid=LBXEKZSB2GYM6U8J&lid=LSTLBXEKZSB2GYM6U8JK4DEHX&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXEKZSB2GYM6U8J.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,,₹270,36% off,1,MILTON Executive 3 Containers Lunch Box,1010 ml,4.3,"(2,27,056)",,,0,http://rukmini1.flixcart.com/image/300/300/k0flmkw0/lunch-box/u/8/j/executive-milton-3-original-imafk8faruzxwrxw.jpeg,SKU : LBXEKZSB2GYM6U8J,lunch box
6,6,7,2,3,LBXEGD4SPVY2UXJY,0,https://www.flipkart.com/milton-executive-3-containers-lunch-box/p/itmf3whf7n4why2h?pid=LBXEGD4SPVY2UXJY&lid=LSTLBXEGD4SPVY2UXJYK8VAJC&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXEGD4SPVY2UXJY.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,,₹268,30% off,1,MILTON Executive 3 Containers Lunch Box,1010 ml,4.3,"(2,27,056)",,,0,http://rukmini1.flixcart.com/image/300/300/k0flmkw0/lunch-box/x/j/y/executive-milton-3-original-imafk8faa9hkxuzr.jpeg,SKU : LBXEGD4SPVY2UXJY,lunch box
7,7,8,8,9,LBXEU244PH2FKYCK,0,https://www.flipkart.com/milton-executive-lunch-3-containers-box/p/itmf3whyhbgey4uw?pid=LBXEU244PH2FKYCK&lid=LSTLBXEU244PH2FKYCKUP0IQZ&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&iid=2c7e6286-7568-4e4a-8b2e-5e177c3e51de.LBXEU244PH2FKYCK.SEARCH&ssid=zv7yfhppao0000001645029793823&qH=ef0d2ede19374a1d,,₹305,20% off,1,MILTON Executive Lunch 3 Containers Lunch Box,1300 ml,4.2,"(43,399)",,,0,http://rukmini1.flixcart.com/image/300/300/jx257680/lunch-box/y/c/k/executive-lunch-milton-3-original-imafhkwwfdxvdgeg.jpeg,SKU : LBXEU244PH2FKYCK,lunch box
8,8,9,7,8,LBXFZBYZBDRX88WF,Advertisement,https://www.flipkart.com/oliveware-angelic-lunch-box-stainless-steel-containers-idle-office-use-insulated-fabric-bag-leak-proof-microwave-safe-full-meal-easy-carry-blue-3/p/itmdedcfe4845f4b?pid=LBXFZBYZBDRX88WF&lid=LSTLBXFZBYZBDRX88WFZ5UQ0N&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&iid=en_xIX9kE7Or%2F5yOxduuVPIoZAu4RKr3OoACOYj%2FKKTBunRRrrHqtJSoduDms68hQahiNSKO3GE5%2BD7DF3r7WQ74A%3D%3D&ssid=eanb8crqeo0000001645092230174&qH=ef0d2ede19374a1d,,₹380,49% off,1,Oliveware Angelic Lunch Box | Stainless Steel Container...,450 ml,4.2,"(1,938)",,,0,http://rukmini1.flixcart.com/image/300/300/k5pn6vk0/lunch-box/8/w/f/angelic-lunch-box-stainless-steel-containers-idle-for-office-use-original-imafzbd25gz8pru6.jpeg,SKU : LBXFZBYZBDRX88WF,lunch box
9,9,10,8,9,LBXEZQCCHZUAXUMG,0,https://www.flipkart.com/jayco-insulated-venice-3-designed-multi-layers-lunch-box-containers/p/itmf3whyhyharhsh?pid=LBXEZQCCHZUAXUMG&lid=LSTLBXEZQCCHZUAXUMGEVPKGU&marketplace=FLIPKART&q=lunch+box&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&iid=d310f462-dff8-4df8-9686-7ba19a81c4c4.LBXEZQCCHZUAXUMG.SEARCH&ssid=76mpgci6sg0000001644919037315&qH=ef0d2ede19374a1d,,₹269,46% off,1,JAYCO Insulated Venice 3 Designed Multi layers Lunch bo...,1480 ml,3.9,"(1,421)",,,0,http://rukmini1.flixcart.com/image/300/300/ja73ki80/lunch-box/u/m/g/insulated-venice-3-designed-multi-layers-lunch-box-jayco-3-original-imaezqbznz5ftbpe.jpeg,SKU : LBXEZQCCHZUAXUMG,lunch box
