,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,0,1,RCTGA28JCZPPZESN,Advertisement,https://www.flipkart.com/wembley-toys-indrared-radio-control-helicopter-easy-use-boys-kids-cool-led-lights-indoor-outdoor-beginners/p/itm8497103aa0d58?pid=RCTGA28JCZPPZESN&lid=LSTRCTGA28JCZPPZESNADGCNN&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_1&otracker=search&otracker1=search&iid=en_rEmoPGg%2Fstmywk%2Bfb%2BG8Z7mahtIp4Q754lsVwKRXWktxvxb5BTC9iRPdT%2FNkdOlS9ruLiDbp12lmD%2Bn33QKaDw%3D%3D&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,₹629,25% off,1,Wembley Toys Indrared Radio Control Helicopter Easy to ...,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kxnl6kw0/remote-control-toy/0/m/3/indrared-radio-control-helicopter-easy-to-use-for-boys-or-kids-original-imaga28jsc6edwxx.jpeg,SKU : RCTGA28JCZPPZESN,remote control toys
1,1,2,19,20,RCTG8ZFMVEGTCCHY,Advertisement,https://www.flipkart.com/hk-enterprises-official-latest-model-rock-crawler-1-18-2-wd-two-wheel-drive-2-4-ghz-shock-absorber-omnidirectional-remote-control-multi-color/p/itma8610d87c2727?pid=RCTG8ZFMVEGTCCHY&lid=LSTRCTG8ZFMVEGTCCHYGE0WHA&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_20&otracker=search&otracker1=search&iid=en_kk27iMhUXXBZGbdEM8DVxiDMe6lRn%2BahZL4pcLcMBfXeBPgaNe7VAg8Fk4resaqStC6TguM0NGR42ZS697GYdw%3D%3D&ssid=sejj0zsjkw0000001644681526219&qH=2eb2ca2cf96fd128,,"₹1,305",44% off,1,HK ENTERPRISES OFFICIAL Latest Model Of Rock Crawler (1...,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kvvad8w0/remote-control-toy/c/2/y/latest-model-of-rock-crawler-1-18-2-wd-two-wheel-drive-2-4-ghz-original-imag8zg5jpgnycs2.jpeg,SKU : RCTG8ZFMVEGTCCHY,remote control toys
2,2,3,0,1,RCTFG4KYCGUHHE7J,0,https://www.flipkart.com/wishkey-remote-control-super-high-speed-racing-car-stylish-looks-modern-design-rc-vehicle-toy-kids/p/itme13fb5c4dbee7?pid=RCTFG4KYCGUHHE7J&lid=LSTRCTFG4KYCGUHHE7JUNVKBT&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_1&otracker=search&otracker1=search&iid=fb44088b-68bc-416f-b59d-a36c58b277ee.RCTFG4KYCGUHHE7J.SEARCH&ssid=nc0rkokm4g0000001645003450893&qH=2eb2ca2cf96fd128,,₹674,32% off,1,Wishkey Remote Control Super High Speed Racing Car With...,-,3.6,"(5,335)",,,0,http://rukmini1.flixcart.com/image/300/300/kvwpt3k0/remote-control-toy/e/8/h/remote-control-super-high-speed-racing-car-with-stylish-looks-original-imag8phprv3uatzh.jpeg,SKU : RCTFG4KYCGUHHE7J,remote control toys
3,3,4,3,4,RCTFXQPVCZTCEFYZ,0,https://www.flipkart.com/miss-chief-ferrari-open-door-1-16-5-channel-r-c/p/itmb1f5b067d52ed?pid=RCTFXQPVCZTCEFYZ&lid=LSTRCTFXQPVCZTCEFYZRNQIG8&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_4&otracker=search&otracker1=search&iid=47ed7c69-f32c-4bfa-9c3b-74ca31808f8e.RCTFXQPVCZTCEFYZ.SEARCH&ssid=sejj0zsjkw0000001644681526219&qH=2eb2ca2cf96fd128,miss & chief,₹756,61% off,1,Miss & Chief Ferrari with open door 1:16 5-channel R/C,-,4,"(6,479)",,,Private,http://rukmini1.flixcart.com/image/300/300/l31x2fk0/remote-control-toy/j/u/3/-original-image9ckzgm5hzha.jpeg,"SKU : RCTFXQPVCZTCEFYZ
Brand : miss & chief",remote control toys
4,4,5,4,5,RCTG9FDEJNZJU6YZ,0,https://www.flipkart.com/caddle-toes-rechargeable-360-degree-twisting-stunt-car-music-lights-kids-colors-per-stock-multy-colour/p/itm0f4b9270f3fe3?pid=RCTG9FDEJNZJU6YZ&lid=LSTRCTG9FDEJNZJU6YZOWFDFP&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_5&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTG9FDEJNZJU6YZ.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,₹548,72% off,1,CADDLE & TOES Rechargeable 360 Degree Twisting Stunt Ca...,-,4,(330),,,0,http://rukmini1.flixcart.com/image/300/300/kjswia80/remote-control-toy/s/n/n/stunt-car-1-at-enterprise-original-imafzakjfegzzzs4.jpeg,SKU : RCTG9FDEJNZJU6YZ,remote control toys
5,5,6,3,4,RCTFMD8HFDZJSP4J,0,https://www.flipkart.com/caddle-toes-waterproof-remote-controlled-rock-crawler-rc-monster-truck-4-wheel-drive-1-18-scale-blue/p/itm88e5901e8fd9b?pid=RCTFMD8HFDZJSP4J&lid=LSTRCTFMD8HFDZJSP4JTIOJ1G&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_4&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTFMD8HFDZJSP4J.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,"₹1,079",46% off,1,CADDLE & TOES Waterproof Remote Controlled Rock Crawler...,-,3.6,"(3,222)",,,0,http://rukmini1.flixcart.com/image/300/300/k687wy80/remote-control-toy/r/t/e/zoncare-toy-collection-off-road-monster-racing-car-remote-original-imafhqwvygghmjph.jpeg,SKU : RCTFMD8HFDZJSP4J,remote control toys
6,6,7,5,6,RCTFWZZMHCRWGZEF,0,https://www.flipkart.com/miss-chief-chargeable-3d-remote-control-lighting-famous-car-3-years-kids/p/itme8ef87cde8bf4?pid=RCTFWZZMHCRWGZEF&lid=LSTRCTFWZZMHCRWGZEFNTJ5T6&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_6&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTFWZZMHCRWGZEF.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,miss & chief,₹449,50% off,1,Miss & Chief Chargeable 3D Remote Control Lighting Famo...,-,3.7,"(4,273)",,,Private,http://rukmini1.flixcart.com/image/300/300/kl5hh8w0/remote-control-toy/s/g/r/chargeable-3d-remote-control-lighting-famous-car-for-3-years-original-imagyc7yb2qzy9w7.jpeg,"SKU : RCTFWZZMHCRWGZEF
Brand : miss & chief",remote control toys
7,7,8,6,7,RCTFDZQFSAQZ7PCS,0,https://www.flipkart.com/toyvala-unique-robot-deform-super-speed-car-3d-special-light-yellow/p/itm3e0c584a9c7da?pid=RCTFDZQFSAQZ7PCS&lid=LSTRCTFDZQFSAQZ7PCSKKHKLW&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_7&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTFDZQFSAQZ7PCS.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,₹413,58% off,1,Toyvala Unique Robot Deform Super Speed Car With 3D Spe...,-,4,"(3,363)",,,0,http://rukmini1.flixcart.com/image/300/300/kc0u7bk0/vehicle-pull-along/r/z/6/parthishy-taders-robot-car-automatic-deformation-2-in-1-original-imaft8zahakernhh.jpeg,SKU : RCTFDZQFSAQZ7PCS,remote control toys
8,8,9,18,19,RCTG8HGFQN6JPGA5,0,https://www.flipkart.com/caddle-toes-new-high-speed-police-car-white-black/p/itm2d20f9603dde4?pid=RCTG8HGFQN6JPGA5&lid=LSTRCTG8HGFQN6JPGA5ZJO2ME&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_19&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTG8HGFQN6JPGA5.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,₹269,73% off,1,CADDLE & TOES New High Speed Police Car (White & Black),-,3.5,(277),,,0,http://rukmini1.flixcart.com/image/300/300/kvlaaa80/remote-control-toy/j/k/v/new-high-speed-police-car-3-caddle-toes-original-imag8gzuhjhkars5.jpeg,SKU : RCTG8HGFQN6JPGA5,remote control toys
9,9,10,36,37,RCTGA7NHMK5EGG5U,0,https://www.flipkart.com/caddle-toes-new-high-speed-sports-car-rechargeable-battery-4-way-remote-multicolor/p/itm24126b85ae6db?pid=RCTGA7NHMK5EGG5U&lid=LSTRCTGA7NHMK5EGG5ULBB0QT&marketplace=FLIPKART&q=remote+control+toys&store=tng%2F56a%2Ffq8&srno=s_1_37&otracker=search&otracker1=search&iid=b89ade74-92bf-4f53-b0e9-3745a5fc05ac.RCTGA7NHMK5EGG5U.SEARCH&ssid=c32sw5ymyo0000001645028872876&qH=2eb2ca2cf96fd128,,₹395,73% off,1,CADDLE & TOES New High Speed Sports Car With Rechargeab...,-,3.7,(93),,,0,http://rukmini1.flixcart.com/image/300/300/ks6ef0w0/remote-control-toy/y/d/o/chargeable-3d-remote-control-lighting-famous-car-for-3-years-original-imag5sp6zndqez6w.jpeg,SKU : RCTGA7NHMK5EGG5U,remote control toys
