,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,17,18,SWTFXYF8MRTHTFFZ,0,https://www.flipkart.com/dongli-printed-hooded-neck-casual-boys-girls-red-sweater/p/itmd9dd071f2e600?pid=SWTFXYF8MRTHTFFZ&lid=LSTSWTFXYF8MRTHTFFZDEL9IL&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_18&otracker=search&otracker1=search&iid=8eecf5a9-4b10-4224-be13-27146d3452a4.SWTFXYF8MRTHTFFZ.SEARCH&ssid=qqivv6ozds0000001645024964434&qH=d1a859ccff32bc0d,dongli,₹499,50% off,1,Printed Hooded Neck Casual Boys & Girls Red Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kgcl7680/sweatshirt/4/w/f/14-15-years-299-dllnt-hfs-red-14-15y-dongli-original-imafwhr48rzxtfez.jpeg,"SKU : SWTFXYF8MRTHTFFZ
Brand : dongli",sweaters
1,1,2,1,2,CGNFGY4GM89FPNTA,Advertisement,https://www.flipkart.com/anmi-self-design-crew-neck-casual-women-beige-sweater/p/itm2f14d6a8d288c?pid=CGNFGY4GM89FPNTA&lid=LSTCGNFGY4GM89FPNTAWLJXL5&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_2&otracker=search&otracker1=search&iid=en_7qSwAqCGfGVCy3cy4vQIG25mH374xCKGxrWOA%2BzxFhZjMpsnNpfCQqpTMKtoW85EOs%2BHbmkIQO7RYX%2B4bC%2FQHA%3D%3D&ssid=qqivv6ozds0000001645024964434&qH=d1a859ccff32bc0d,Anmi,₹625,74% off,1,Self Design Crew Neck Casual Women Beige Sweater,-,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/kwtkxow0/sweater/e/h/v/s-ss19ancdbgcdg10-anmi-original-imag9ezngzwhdeph.jpeg,"SKU : CGNFGY4GM89FPNTA
Brand : Anmi",sweaters
2,2,3,2,3,SWTG7HUB7GAJUVWG,0,https://www.flipkart.com/peter-england-solid-casual-men-blue-sweater/p/itm66c353a134442?pid=SWTG7HUB7GAJUVWG&lid=LSTSWTG7HUB7GAJUVWGL3FUEW&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_3&otracker=search&otracker1=search&iid=bd9e79f2-5e53-45d8-8d49-62f47ff16573.SWTG7HUB7GAJUVWG.SEARCH&ssid=kwf07yx1wg0000001644937367549&qH=d1a859ccff32bc0d,PETER ENGLAND,₹899,40% off,1,Solid Casual Men Blue Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kv8fbm80/sweater/m/s/8/-original-imag86rvxvsxk2yb.jpeg,"SKU : SWTG7HUB7GAJUVWG
Brand : PETER ENGLAND",sweaters
3,3,4,3,4,SWTFT22N3BDAFZGH,0,https://www.flipkart.com/sweven-self-design-turtle-neck-casual-men-grey-sweater/p/itm87c8d5f9eefc8?pid=SWTFT22N3BDAFZGH&lid=LSTSWTFT22N3BDAFZGHAPHAH2&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_4&otracker=search&otracker1=search&iid=659b56bc-7aa9-4793-b4bd-8f9663f90cfd.SWTFT22N3BDAFZGH.SEARCH&ssid=0xipqgjcrk0000001644914959673&qH=d1a859ccff32bc0d,Sweven,₹721,62% off,1,Self Design Turtle Neck Casual Men Grey Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kcnp8y80/sweater/z/g/h/l-sw346-grey-sweven-original-imaftqu7wrfpgdfk.jpeg,"SKU : SWTFT22N3BDAFZGH
Brand : Sweven",sweaters
4,4,5,38,39,SWTG89J2PUAEB4CB,0,https://www.flipkart.com/metronaut-striped-crew-neck-casual-men-multicolor-sweater/p/itma04b7bbafa1fb?pid=SWTG89J2PUAEB4CB&lid=LSTSWTG89J2PUAEB4CBI2KR9C&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_39&otracker=search&otracker1=search&iid=8eecf5a9-4b10-4224-be13-27146d3452a4.SWTG89J2PUAEB4CB.SEARCH&ssid=qqivv6ozds0000001645024964434&qH=d1a859ccff32bc0d,METRONAUT,"₹1,169",61% off,1,Striped Crew Neck Casual Men Multicolor Sweater,-,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/kxrvi4w0/sweater/o/l/8/m-maw21swtr011a-metronaut-original-imaga5zpmvqccdxn.jpeg,"SKU : SWTG89J2PUAEB4CB
Brand : METRONAUT",sweaters
5,5,6,38,39,SWTFTJT3JKPWQCHC,0,https://www.flipkart.com/metronaut-striped-v-neck-casual-men-blue-sweater/p/itm559b679aa27fc?pid=SWTFTJT3JKPWQCHC&lid=LSTSWTFTJT3JKPWQCHCHDZ89S&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_39&otracker=search&otracker1=search&iid=78533769-86cd-40f8-8f33-63263a748005.SWTFTJT3JKPWQCHC.SEARCH&ssid=olg52ojpds0000001644999097255&qH=d1a859ccff32bc0d,METRONAUT,₹769,65% off,1,Striped V Neck Casual Men Blue Sweater,-,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/kfeamq80/sweater/v/j/s/m-maw20swtr126a-metronaut-original-imafvv7yvyczdpzy.jpeg,"SKU : SWTFTJT3JKPWQCHC
Brand : METRONAUT",sweaters
6,6,7,3,4,SWTF3QZYCYXMJ9TX,0,https://www.flipkart.com/roadster-solid-round-neck-casual-men-dark-blue-green-sweater/p/itm7aaafd7bea744?pid=SWTF3QZYCYXMJ9TX&lid=LSTSWTF3QZYCYXMJ9TXHYUOY0&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_4&otracker=search&otracker1=search&iid=882567f0-2db5-4633-b7ed-d8fb03af83da.SWTF3QZYCYXMJ9TX.SEARCH&ssid=vhzmyhpmu80000001644765835870&qH=d1a859ccff32bc0d,Roadster,₹555,57% off,1,"Solid Round Neck Casual Men Dark Blue, Green Sweater",-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/jf9zxjk0/sweater/c/v/f/s-1900948-roadster-original-imaf3r6er6jhshka.jpeg,"SKU : SWTF3QZYCYXMJ9TX
Brand : Roadster",sweaters
7,7,8,11,12,SWTFXYF8CQNMW22W,Advertisement,https://www.flipkart.com/dongli-printed-hooded-neck-casual-boys-girls-black-sweater/p/itma33122fe69ec7?pid=SWTFXYF8CQNMW22W&lid=LSTSWTFXYF8CQNMW22WUJCGHV&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_12&otracker=search&otracker1=search&iid=en_BuTI9NSEPeoyUyK8NqTqI0Z%2BMvucmLGAk0pIf4tqnTK0zjodsT%2FgnCibutP5TgPprDztczTTdpbB5qgiaHwV%2BA%3D%3D&ssid=0qjcdrit1s0000001644480355784&qH=d1a859ccff32bc0d,dongli,₹449,55% off,1,Printed Hooded Neck Casual Boys & Girls Black Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kgcl7680/sweatshirt/5/b/m/8-9-years-299-dllnt-hfs-black-8-9y-dongli-original-imafwhr4hsygnyze.jpeg,"SKU : SWTFXYF8CQNMW22W
Brand : dongli",sweaters
8,8,9,8,9,SWTG6MY7PFH2SRPP,0,https://www.flipkart.com/peter-england-self-design-formal-men-maroon-sweater/p/itm23371a2fa3d02?pid=SWTG6MY7PFH2SRPP&lid=LSTSWTG6MY7PFH2SRPPZ64OT4&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_9&otracker=search&otracker1=search&iid=31eedf87-e810-476e-a1e2-6f720350ffc0.SWTG6MY7PFH2SRPP.SEARCH&ssid=0qjcdrit1s0000001644480355784&qH=d1a859ccff32bc0d,PETER ENGLAND,"₹1,199",40% off,1,Self Design Formal Men Maroon Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/ku04o7k0/sweater/y/c/z/l-pcswsrgfs22175-peter-england-original-imag7839svbg67fj.jpeg,"SKU : SWTG6MY7PFH2SRPP
Brand : PETER ENGLAND",sweaters
9,9,10,9,10,SWTG7HUBJ8GHNC8W,0,https://www.flipkart.com/peter-england-university-self-design-crew-neck-casual-men-dark-blue-sweater/p/itm2da484fefd88a?pid=SWTG7HUBJ8GHNC8W&lid=LSTSWTG7HUBJ8GHNC8WLM0DLV&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_10&otracker=search&otracker1=search&iid=f4a71024-0dc1-42db-ac76-fb451e2a17f6.SWTG7HUBJ8GHNC8W.SEARCH&ssid=zgbpu64b340000001644221471924&qH=d1a859ccff32bc0d,Peter England University,"₹1,139",40% off,1,Self Design Crew Neck Casual Men Dark Blue Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kx3l0nk0/sweater/3/v/w/m-puswurgf423739-peter-england-university-original-imag9mjjagnw8c48.jpeg,"SKU : SWTG7HUBJ8GHNC8W
Brand : Peter England University",sweaters
10,10,11,10,11,SWTFMGJDYC2GUUUH,0,https://www.flipkart.com/tokyo-talkies-solid-turtle-neck-casual-women-pink-sweater/p/itmc1138b33d2621?pid=SWTFMGJDYC2GUUUH&lid=LSTSWTFMGJDYC2GUUUHPDEOPL&marketplace=FLIPKART&q=sweaters&store=clo%2Fqvw%2Fvkb&srno=s_1_11&otracker=search&otracker1=search&iid=90bc118c-4566-4089-8ce5-e8f41c5d6b40.SWTFMGJDYC2GUUUH.SEARCH&ssid=q9e7vka44w0000001645087746999&qH=d1a859ccff32bc0d,Tokyo Talkies,₹240,85% off,1,Solid Turtle Neck Casual Women Pink Sweater,-,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/k3dc7m80/sweater/2/h/5/m-tta1000145-tokyo-talkies-original-imafmgnnb2jrytfe.jpeg,"SKU : SWTFMGJDYC2GUUUH
Brand : Tokyo Talkies",sweaters
