,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,2,3,BOTFGGTHUHGF6QP4,0,https://www.flipkart.com/flipkart-smartbuy-designer-mosaic-water-bottle-1000ml-pet/p/itm4735a0e351533?pid=BOTFGGTHUHGF6QP4&lid=LSTBOTFGGTHUHGF6QP4CXJMYH&marketplace=GROCERY&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_3&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFGGTHUHGF6QP4.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹53,76% off,0,Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml...,"Pack of 1, Blue, PET",4.5,"(67,452)",,,Private,http://rukmini1.flixcart.com/image/300/300/k2krekw0/bottle/q/p/4/1000-botmosaicp1blu-botmosaicp1blu-flipkart-smartbuy-original-imafhwyyf8u6pumf.jpeg,"SKU : BOTFGGTHUHGF6QP4
Brand : flipkart smartbuy",water bottles
1,1,2,6,7,BOTFPJ5PUGSZZSVJ,0,https://www.flipkart.com/flipkart-smartbuy-classic-1000-ml-bottle/p/itm6d51340e456e9?pid=BOTFPJ5PUGSZZSVJ&lid=LSTBOTFPJ5PUGSZZSVJRHMRI2&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_7&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFPJ5PUGSZZSVJ.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹581,55% off,1,Flipkart SmartBuy Classic 1000 ml Bottle,"Pack of 1, Copper, Copper",4.1,"(10,195)",,,Private,http://rukmini1.flixcart.com/image/300/300/kchzhjk0/bottle/s/v/j/1000-classic-copper-bottle-fksbbotcpr1000-flipkart-smartbuy-original-imafthsqaghhmfqw.jpeg,"SKU : BOTFPJ5PUGSZZSVJ
Brand : flipkart smartbuy",water bottles
2,2,3,0,1,BOTFK893YFYBNWCD,0,https://www.flipkart.com/kimaya-stainless-steel-1000-ml-bottle/p/itmb527b10a4b0e1?pid=BOTFK893YFYBNWCD&lid=LSTBOTFK893YFYBNWCD1PS0A6&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&spotlightTagId=BestsellerId_upp%2Ff2k%2F0zz&srno=s_1_1&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFK893YFYBNWCD.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹287,76% off,1,Kimaya Stainless Steel 1000 ml Bottle,"Pack of 2, Silver, Steel",4,"(8,701)",,Bestseller,0,http://rukmini1.flixcart.com/image/300/300/k0lbdzk0/bottle/q/z/k/600-stainless-steel-water-bottle-600ml-set-of-2-kimaya-original-imafk8r5cgyrygrc.jpeg,SKU : BOTFK893YFYBNWCD,water bottles
3,3,4,13,14,BOTFGGTHTKENWHCU,0,https://www.flipkart.com/flipkart-smartbuy-designer-mosaic-water-bottle-1000ml-pet/p/itm7c8b6d132b102?pid=BOTFGGTHTKENWHCU&lid=LSTBOTFGGTHTKENWHCUVUMCY9&marketplace=GROCERY&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_14&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFGGTHTKENWHCU.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹53,76% off,0,Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml...,"Pack of 1, Grey, PET",4.5,"(67,452)",,,Private,http://rukmini1.flixcart.com/image/300/300/k2krekw0/bottle/h/c/u/1000-botmosaicp1gry-botmosaicp1gry-flipkart-smartbuy-original-imafhwyydqekjh7b.jpeg,"SKU : BOTFGGTHTKENWHCU
Brand : flipkart smartbuy",water bottles
4,4,5,25,26,BOTFGGTHESN6MXW9,0,https://www.flipkart.com/flipkart-smartbuy-designer-mosaic-water-bottle-1000ml-pet/p/itmc3136aea2f13a?pid=BOTFGGTHESN6MXW9&lid=LSTBOTFGGTHESN6MXW9XBQSKM&marketplace=GROCERY&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_26&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFGGTHESN6MXW9.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹53,76% off,0,Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml...,"Pack of 1, Pink, PET",4.5,"(67,452)",,,Private,http://rukmini1.flixcart.com/image/300/300/k2krekw0/bottle/x/w/9/1000-botmosaicp1pnk-botmosaicp1pnk-flipkart-smartbuy-original-imafhwyysh7czey9.jpeg,"SKU : BOTFGGTHESN6MXW9
Brand : flipkart smartbuy",water bottles
5,5,6,4,5,BOTF5DR6ECZJM4VC,0,https://www.flipkart.com/cello-venice-fridge-water-bottles-1000-ml-bottle/p/itm4d0c0d89e6c87?pid=BOTF5DR6ECZJM4VC&lid=LSTBOTF5DR6ECZJM4VCMON2BE&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_5&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTF5DR6ECZJM4VC.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹350,39% off,1,cello VENICE FRIDGE WATER BOTTLES 1000 ml Bottle,"Pack of 5, Multicolor, Plastic",4.5,"(91,299)",,,0,http://rukmini1.flixcart.com/image/300/300/ko0d6kw0/bottle/w/n/g/venice-fridge-water-bottles-120-cello-original-imag2kj9s4p9fhu4.jpeg,SKU : BOTF5DR6ECZJM4VC,water bottles
6,6,7,9,10,BOTFZ393M4MRFG9R,0,https://www.flipkart.com/speedex-single-walled-stainless-steel-fridge-water-bottle-home-office-school-kids-1000-ml/p/itmfc56ad93f600b?pid=BOTFZ393M4MRFG9R&lid=LSTBOTFZ393M4MRFG9R34PG4Z&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_10&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFZ393M4MRFG9R.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹300,45% off,1,SPEEDEX Single Walled Stainless Steel Fridge Water Bott...,"Pack of 1, Black, Steel",4.1,"(9,826)",,,0,http://rukmini1.flixcart.com/image/300/300/kwqq1zk0/bottle/8/8/3/1000-single-walled-stainless-steel-fridge-water-bottle-for-home-original-imag9dfrppt2bhh8.jpeg,SKU : BOTFZ393M4MRFG9R,water bottles
7,7,8,7,8,BOTG54S9BS27HWAD,Advertisement,https://www.flipkart.com/flipkart-smartbuy-multicolored-layer-pattern-plastic-water-bottles-school-college-office-home-1000-ml-bottle/p/itm4a5f3f87d8a09?pid=BOTG54S9BS27HWAD&lid=LSTBOTG54S9BS27HWADAGIUS2&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_8&otracker=search&otracker1=search&iid=en_B5Xe9ltPBVc%2Bj40wb6tfKBfoxWEmbZkpWflUi6rs3eFMjoCthVxZZYw4O87kW0EyXwdl62IwzNaJ6mSzF00KaA%3D%3D&ssid=6thjt06pn40000001645092112657&qH=da12c47a32712624,flipkart smartbuy,₹279,60% off,1,Flipkart SmartBuy Multicolored Layer Pattern Plastic Wa...,"Pack of 3, Multicolor, Plastic",4.4,(686),,,Private,http://rukmini1.flixcart.com/image/300/300/kr83ukw0/bottle/s/v/w/1000-layer-shape-water-bottle-3-l-003-skyfly-original-imag5297efjkup3u.jpeg,"SKU : BOTG54S9BS27HWAD
Brand : flipkart smartbuy",water bottles
8,8,9,23,24,BOTG3T3SU5TJDEZN,Advertisement,https://www.flipkart.com/flipkart-smartbuy-zig-zag-shape-multicolor-drinking-water-bottles-1000-ml-bottle/p/itm76bddcde00284?pid=BOTG3T3SU5TJDEZN&lid=LSTBOTG3T3SU5TJDEZNMXL11G&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_24&otracker=search&otracker1=search&iid=en_B5Xe9ltPBVc%2Bj40wb6tfKBfoxWEmbZkpWflUi6rs3eGRKqVa1hTwbfV68Jyk2GpuuZQ6xpqNzfxrCHya9iamHA%3D%3D&ssid=6thjt06pn40000001645092112657&qH=da12c47a32712624,flipkart smartbuy,₹429,69% off,0,Flipkart SmartBuy ZIG-ZAG Shape Multicolor Drinking Wat...,"Pack of 6, Multicolor, Plastic",4.5,(371),,,Private,http://rukmini1.flixcart.com/image/300/300/kqwobrk0/bottle/h/m/8/1000-zig-zag-pattern-multicolor-drinking-water-bottles-6-zigzag-original-imag4tq5wy7yaqhe.jpeg,"SKU : BOTG3T3SU5TJDEZN
Brand : flipkart smartbuy",water bottles
9,9,10,3,4,BOTG5XEUFTREYZGS,Advertisement,https://www.flipkart.com/quapro-smart-stainless-steel-flask-led-temp-display-1pc-hot-cold-water-bottle-500-ml/p/itm5128e2bbabf9b?pid=BOTG5XEUFTREYZGS&lid=LSTBOTG5XEUFTREYZGSVXDPFV&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_4&otracker=search&otracker1=search&iid=en_HMsfvmN1v8DHY2aZE9oG%2FJ37vvE%2FmiUeTco9d9D0SALPrlCpvDk2B6qI2rozaqWpMhgQiQLp4IrqpwP7ksOE8g%3D%3D&ssid=tvkj2os8mo0000001644769739592&qH=da12c47a32712624,,₹399,60% off,1,QUAPRO by Quapro Smart Stainless Steel Flask LED Temp D...,"Pack of 1, Black, Steel",3.9,(115),,,0,http://rukmini1.flixcart.com/image/300/300/ksc46fk0/bottle/9/r/k/500-smart-stainless-steel-flask-led-temp-display-1pc-hot-cold-original-imag5xeugff8uhfb.jpeg,SKU : BOTG5XEUFTREYZGS,water bottles
