,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,74,75,JEAFTHQXXNGKZ4KV,0,https://www.flipkart.com/metronaut-skinny-women-black-jeans/p/itm68a9c8a6487ea?pid=JEAFTHQXXNGKZ4KV&lid=LSTJEAFTHQXXNGKZ4KVCLUDSY&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_2_75&otracker=search&otracker1=search&iid=cce77c26-4bf6-426c-9975-d59a33f0b3f1.JEAFTHQXXNGKZ4KV.SEARCH&ssid=9ggxxh3yj40000001645024739735&qH=a0f2589b1ced4dec,METRONAUT,₹560,64% off,1,Skinny Women Black Jeans,,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/kg8avm80-0/jean/f/p/i/28-maw20mwjn097-metronaut-original-imafwgsngyyd7nks.jpeg,"SKU : JEAFTHQXXNGKZ4KV
Brand : METRONAUT",jeans
1,1,2,323,324,JEAF8NSZZ3CW2FGB,Advertisement,https://www.flipkart.com/zaysh-regular-men-white-jeans/p/itme56a67571e3ea?pid=JEAF8NSZZ3CW2FGB&lid=LSTJEAF8NSZZ3CW2FGBFJ1A0X&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_9_324&otracker=search&otracker1=search&iid=en_cnNBm7BvHPvguGjqdPd%2F%2Bnc%2BL62cO4%2BLMsRbvIihS0BXq6PFIFyghRAaVkinvhC7zGLGx0HF%2FXd1ezOkqGUylg%3D%3D&ssid=zlka4s9qf40000001644221144103&qH=a0f2589b1ced4dec,ZAYSH,₹459,72% off,1,Regular Men White Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kql8sy80/jean/l/v/5/28-jk-mjrp-03-zaysh-original-imag4knjkhbtbh6p.jpeg,"SKU : JEAF8NSZZ3CW2FGB
Brand : ZAYSH",jeans
2,2,3,327,328,JEAGF3U3JYMQEFZQ,Advertisement,https://www.flipkart.com/podge-slim-men-blue-jeans/p/itm06e0c7bb244a6?pid=JEAGF3U3JYMQEFZQ&lid=LSTJEAGF3U3JYMQEFZQSI74RF&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_9_328&otracker=search&otracker1=search&iid=en_mLfIcdsQPV8MpWGkgd731vIRi1QbmW8Ft5VwaZchLBuQnrqs1wFSwl8m08SA75e57WeiQWLCE2zJIkS45BRT2g%3D%3D&ssid=aja6irkrio0000001644914764975&qH=a0f2589b1ced4dec,PODGE,₹440,74% off,1,Slim Men Blue Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/km3s1ow0/jean/6/w/o/34-sc-pgmj-003-podge-original-imagf2vccbvuyk7z.jpeg,"SKU : JEAGF3U3JYMQEFZQ
Brand : PODGE",jeans
3,3,4,11,12,JEAGAEQZZEZUAH3B,Advertisement,https://www.flipkart.com/metronaut-slim-men-light-blue-jeans/p/itm0ced535a79352?pid=JEAGAEQZZEZUAH3B&lid=LSTJEAGAEQZZEZUAH3BYLKF8T&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_12&otracker=search&otracker1=search&iid=en_ZLDgSywVWB4pAnsqlfvZq%2Fw5O2dGJD0AuUz4itqzjbYXlcvGDZ3ePdIdfFf8cBvTq7%2BlCEXa92rrferw8UKhDA%3D%3D&ssid=fdt25xqja80000001644591382456&qH=a0f2589b1ced4dec,METRONAUT,₹699,58% off,1,Slim Men Light Blue Jeans,,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/ky3b0y80/jean/f/y/g/40-metepsjean-lblu-metronaut-original-imagaeqzcenzztmp.jpeg,"SKU : JEAGAEQZZEZUAH3B
Brand : METRONAUT",jeans
4,4,5,2,3,JEAFE435VCH2GGNG,0,https://www.flipkart.com/lzard-regular-men-light-blue-jeans/p/itmfe4arwykhuhhh?pid=JEAFE435VCH2GGNG&lid=LSTJEAFE435VCH2GGNGPS4RVL&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_3&otracker=search&otracker1=search&iid=16312ee8-8ed8-48c5-a908-940f90155c08.JEAFE435VCH2GGNG.SEARCH&ssid=pyja0126yo0000001645087382707&qH=a0f2589b1ced4dec,Lzard,₹399,82% off,1,Regular Men Light Blue Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kfoapow0-0/jean/8/o/f/36-lj3160-lzard-original-imafw2hyfqhzxjaq.jpeg,"SKU : JEAFE435VCH2GGNG
Brand : Lzard",jeans
5,5,6,0,1,JEAF8H62YZHXDTBG,0,https://www.flipkart.com/zaysh-slim-men-black-jeans/p/itm362c51134df0c?pid=JEAF8H62YZHXDTBG&lid=LSTJEAF8H62YZHXDTBGNUYUWT&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_1&otracker=search&otracker1=search&iid=df713b16-929f-4425-8959-f6ce2c9b1b6a.JEAF8H62YZHXDTBG.SEARCH&ssid=vjdpnoenio0000001645024737067&qH=a0f2589b1ced4dec,ZAYSH,₹459,63% off,1,Slim Men Black Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kqb8pzk0/jean/x/w/x/36-jk2-mjrp-02-zaysh-original-imag4cenmcfyfhfk.jpeg,"SKU : JEAF8H62YZHXDTBG
Brand : ZAYSH",jeans
6,6,7,82,83,JEAF6AYBZTU5QBBT,0,https://www.flipkart.com/zaysh-slim-men-white-jeans/p/itm991517aae9ec2?pid=JEAF6AYBZTU5QBBT&lid=LSTJEAF6AYBZTU5QBBTLIHXA0&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_3_83&otracker=search&otracker1=search&iid=94402efd-e09e-492d-80b9-794ff17ca6d3.JEAF6AYBZTU5QBBT.SEARCH&ssid=5p9ewgktmo0000001645024742366&qH=a0f2589b1ced4dec,ZAYSH,₹499,70% off,0,Slim Men White Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/knexksw0/jean/m/p/q/36-jk-mjcp-03-zaysh-original-imag23ehzc7zbxwq.jpeg,"SKU : JEAF6AYBZTU5QBBT
Brand : ZAYSH",jeans
7,7,8,2,3,JEAFMHTSVTGZT2YB,0,https://www.flipkart.com/lzard-slim-men-dark-blue-jeans/p/itma2a503b661259?pid=JEAFMHTSVTGZT2YB&lid=LSTJEAFMHTSVTGZT2YBAPETOJ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_3&otracker=search&otracker1=search&iid=df713b16-929f-4425-8959-f6ce2c9b1b6a.JEAFMHTSVTGZT2YB.SEARCH&ssid=vjdpnoenio0000001645024737067&qH=a0f2589b1ced4dec,Lzard,₹399,82% off,1,Slim Men Dark Blue Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/l3lx8cw0/jean/u/l/v/28-lj3381-lzard-original-imagezyaf7jnbqra.jpeg,"SKU : JEAFMHTSVTGZT2YB
Brand : Lzard",jeans
8,8,9,13,14,JEAFE8H3PUMDWMV2,0,https://www.flipkart.com/zaysh-jogger-fit-men-blue-jeans/p/itm35a9575f516aa?pid=JEAFE8H3PUMDWMV2&lid=LSTJEAFE8H3PUMDWMV23KYAK9&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_14&otracker=search&otracker1=search&iid=df713b16-929f-4425-8959-f6ce2c9b1b6a.JEAFE8H3PUMDWMV2.SEARCH&ssid=vjdpnoenio0000001645024737067&qH=a0f2589b1ced4dec,ZAYSH,₹459,72% off,1,Jogger Fit Men Blue Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kp78e4w0/jean/z/m/u/32-jk-jog02-zaysh-original-imag3h9hc9gknzd6.jpeg,"SKU : JEAFE8H3PUMDWMV2
Brand : ZAYSH",jeans
9,9,10,351,352,JEAFGHEUZXBQQZ7E,Advertisement,https://www.flipkart.com/roadster-skinny-men-blue-jeans/p/itm8d764a4ae40b0?pid=JEAFGHEUZXBQQZ7E&lid=LSTJEAFGHEUZXBQQZ7EUKMXFD&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_9_352&otracker=search&otracker1=search&iid=en_vAJxJE0XPIZQac9NNVd7zPCuIsUMyJjoMxc8CNR7VmwyiMQ9LJBNgjvhDe0Xeo3tICMVmb6N3lY%2FwYWwiRVbyw%3D%3D&ssid=g2tsy1nr5s0000001644998817397&qH=a0f2589b1ced4dec,Roadster,"₹1,049",44% off,0,Skinny Men Blue Jeans,,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/jvtujrk0/jean/m/y/x/36-7243653-roadster-original-imafgmregscsndp6.jpeg,"SKU : JEAFGHEUZXBQQZ7E
Brand : Roadster",jeans
