,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,35,36,BKPFE56CCCRGAV3D,Advertisement,https://www.flipkart.com/genie-confetti-grey-13-litre-casual-backpack-l/p/itm9fa099ba541eb?pid=BKPFE56CCCRGAV3D&lid=LSTBKPFE56CCCRGAV3DPS82PY&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_36&otracker=search&otracker1=search&iid=en_hDWcX%2BvCGIVMzLk%2FYDn1uGI%2FU2d3WmWVdYghqus4h1xhY4BusLBXWF43u1QtuxuC3F6vwa%2BSVfsv9nAEPivHgQ%3D%3D&ssid=oekh6k2q5c0000001644827141961&qH=60cc060d9c17a8d9,Genie,₹569,68% off,1,Small 13 L Backpack Confetti Grey 13 litre Casual Backp...,Grey ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kq18n0w0/backpack/l/a/p/confetti-grey-20-litre-casual-backpack-confetti-16-backpack-original-imag44jftx7pp2ys.jpeg,"SKU : BKPFE56CCCRGAV3D
Brand : Genie",backpacks
1,1,2,339,340,BKPFUX5MHPYESGEA,Advertisement,https://www.flipkart.com/provogue-spacy-unisex-backpack-rain-cover-reflective-strip-35-l/p/itme27093b3cca9b?pid=BKPFUX5MHPYESGEA&lid=LSTBKPFUX5MHPYESGEAJFLY0Y&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_9_340&otracker=search&otracker1=search&iid=en_VevC4rgjXojOeyueBc8cq3TPVgA1uE%2F1i7u%2BiVtMIHSAd2VFcmZEODMKdO8rzvRXiMQUsuc9FJ4QT9YzC41K0g%3D%3D&ssid=hti6ovji4w0000001645026232685&qH=60cc060d9c17a8d9,PROVOGUE,₹756,74% off,1,Large 35 L Laptop Backpack Spacy unisex backpack with r...,Black ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/ke7ff680/backpack/g/e/a/spacy-unisex-backpack-with-rain-cover-and-reflective-strip-p-012-original-imafuxngkwwszamh.jpeg,"SKU : BKPFUX5MHPYESGEA
Brand : PROVOGUE",backpacks
2,2,3,155,156,BKPFXYYQTUSR8QCG,Advertisement,https://www.flipkart.com/provogue-spacy-unisex-backpack-rain-cover-reflective-strip-35-l/p/itm3addbe2b465c0?pid=BKPFXYYQTUSR8QCG&lid=LSTBKPFXYYQTUSR8QCGTUUMEP&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_4_156&otracker=search&otracker1=search&iid=en_JGf4sPfUijo3ObUM%2FqjVgUoqflIaQUEsL4T%2BMnwAdVIRlZiOZFvNtHEivCJHZK3CtbwV0%2FAV3HQ5HqHj9b1ckg%3D%3D&ssid=cchkz236xs0000001645026220170&qH=60cc060d9c17a8d9,PROVOGUE,₹760,74% off,1,Large 35 L Laptop Backpack Spacy unisex backpack with r...,Blue ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/ki3gknk0-0/backpack/t/n/i/spacy-unisex-backpack-with-rain-cover-and-reflective-strip-p-041-original-imafxyypsycttkeb.jpeg,"SKU : BKPFXYYQTUSR8QCG
Brand : PROVOGUE",backpacks
3,3,4,359,360,BKPFWJHMS8FUQFSW,Advertisement,https://www.flipkart.com/provogue-spacy-unisex-backpack-rain-cover-reflective-strip-35-l/p/itmf8ca684d5c41b?pid=BKPFWJHMS8FUQFSW&lid=LSTBKPFWJHMS8FUQFSWYOEOO0&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_9_360&otracker=search&otracker1=search&iid=en_VevC4rgjXojOeyueBc8cq3TPVgA1uE%2F1i7u%2BiVtMIHT4EaIfST6ObsBIHvDpru8E9xPuu9iM5KMWLKtPwNKU9Q%3D%3D&ssid=hti6ovji4w0000001645026232685&qH=60cc060d9c17a8d9,PROVOGUE,₹760,74% off,1,Large 35 L Laptop Backpack Spacy unisex backpack with r...,Black ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kg9qbgw0/backpack/f/s/w/spacy-unisex-backpack-with-rain-cover-and-reflective-strip-black-original-imafwjxdgxynfwqt.jpeg,"SKU : BKPFWJHMS8FUQFSW
Brand : PROVOGUE",backpacks
4,4,5,6,7,BKPFGXH6HFG4ETAH,0,https://www.flipkart.com/safari-daypack-15-l-backpack/p/itm53a94e29c7e68?pid=BKPFGXH6HFG4ETAH&lid=LSTBKPFGXH6HFG4ETAHJDJBIW&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&iid=d38ffdd9-f6c0-4ec4-a567-a7a70295c8a8.BKPFGXH6HFG4ETAH.SEARCH&ssid=84uovz4upc0000001645026211668&qH=60cc060d9c17a8d9,SAFARI,₹299,62% off,1,Small 15 L Backpack DAYPACK,Blue ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/jyrl4sw0/backpack/t/a/h/daypack-daypackneo15cbseb-backpack-safari-original-imaff26pfe3ezhf2.jpeg,"SKU : BKPFGXH6HFG4ETAH
Brand : SAFARI",backpacks
5,5,6,9,10,BKPFN44KHTPGTKSR,0,https://www.flipkart.com/flycraft-simna-1361-2-red-grey-casual-unisex-travel-office-massenger-school-backpack-30-l/p/itm6929dff7b2e4f?pid=BKPFN44KHTPGTKSR&lid=LSTBKPFN44KHTPGTKSRFKNVCZ&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&iid=d38ffdd9-f6c0-4ec4-a567-a7a70295c8a8.BKPFN44KHTPGTKSR.SEARCH&ssid=84uovz4upc0000001645026211668&qH=60cc060d9c17a8d9,Flycraft,₹499,58% off,1,Medium 30 L Laptop Backpack simna.1361/2 red grey casua...,"Grey, Red ",-,-,,,0,http://rukmini1.flixcart.com/image/300/300/km6mxe80/backpack/i/q/2/15401-red-15401-red-laptop-backpack-flycraft-25-original-imagf5grgjghgxdr.jpeg,"SKU : BKPFN44KHTPGTKSR
Brand : Flycraft",backpacks
6,6,7,6,7,BKPFP3YBJQMSZR6H,0,https://www.flipkart.com/metronaut-khadi-textured-hi-storage-30-l-laptop-backpack/p/itm71544c598e419?pid=BKPFP3YBJQMSZR6H&lid=LSTBKPFP3YBJQMSZR6HPZ6AL8&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&iid=d517099e-7581-4b54-9fbb-81eba61c3383.BKPFP3YBJQMSZR6H.SEARCH&ssid=biqtkge0ls0000001645000498981&qH=60cc060d9c17a8d9,METRONAUT,₹474,70% off,1,Medium 30 L Laptop Backpack Khadi Textured Hi storage,Blue ,-,-,,,Private,http://rukmini1.flixcart.com/image/300/300/k6nxrbk0/backpack/r/6/h/khadi-textured-hi-storage-khadi-textured-laptop-backpack-original-imafp3fprszq79kg.jpeg,"SKU : BKPFP3YBJQMSZR6H
Brand : METRONAUT",backpacks
7,7,8,327,328,ACCG9BNFDZHPWCPW,Advertisement,https://www.flipkart.com/tech-aura-dslr-slr-backpack-camera-bag-lens-shoulder-case-canon-nikon-accessories-carry-black-orange/p/itm96c5b9dcf4a31?pid=ACCG9BNFDZHPWCPW&lid=LSTACCG9BNFDZHPWCPWLLGTT5&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_9_328&otracker=search&otracker1=search&iid=en_LLi9rZ0L%2BIsKqlTL%2F%2F9O6HwGoeN9a6MuGgeIopIhb%2B7eUsNPHe17nOqfKv2dfPzxoWx4mtGLY5Ch0CGxEmVf%2Bw%3D%3D&ssid=r02exf9u400000001644938103167&qH=60cc060d9c17a8d9,,₹499,50% off,1,Tech Aura DSLR SLR Backpack Camera Bag | Camera Lens Sh...,Black ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kwpam4w0/camera-bag/backpack/6/s/z/dslr-slr-backpack-camera-bag-camera-lens-shoulder-backpack-case-original-imag9bnetpyqmfta.jpeg,SKU : ACCG9BNFDZHPWCPW,backpacks
8,8,9,5,6,BKPFWHX3ZSZJPGNG,0,https://www.flipkart.com/provogue-spacy-unisex-backpack-rain-cover-reflective-strip-35-l/p/itmdd81b1d59f7b5?pid=BKPFWHX3ZSZJPGNG&lid=LSTBKPFWHX3ZSZJPGNGBX8JJD&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&iid=d38ffdd9-f6c0-4ec4-a567-a7a70295c8a8.BKPFWHX3ZSZJPGNG.SEARCH&ssid=84uovz4upc0000001645026211668&qH=60cc060d9c17a8d9,PROVOGUE,₹760,74% off,1,Large 35 L Laptop Backpack Spacy unisex backpack with r...,Blue ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/kg8avm80/backpack/g/n/g/spacy-unisex-backpack-with-rain-cover-and-reflective-strip-p-028-original-imafwg2dqfgyhufy.jpeg,"SKU : BKPFWHX3ZSZJPGNG
Brand : PROVOGUE",backpacks
9,9,10,4,5,BKPFXYYQHADBADMH,0,https://www.flipkart.com/provogue-spacy-unisex-backpack-rain-cover-reflective-strip-35-l/p/itm837336f5d544b?pid=BKPFXYYQHADBADMH&lid=LSTBKPFXYYQHADBADMHOQK3C9&marketplace=FLIPKART&q=backpacks&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&iid=d38ffdd9-f6c0-4ec4-a567-a7a70295c8a8.BKPFXYYQHADBADMH.SEARCH&ssid=84uovz4upc0000001645026211668&qH=60cc060d9c17a8d9,PROVOGUE,₹760,74% off,1,Large 35 L Laptop Backpack Spacy unisex backpack with r...,Grey ,-,-,,,0,http://rukmini1.flixcart.com/image/300/300/ki3gknk0-0/backpack/w/0/3/spacy-unisex-backpack-with-rain-cover-and-reflective-strip-p-042-original-imafxyypummhfdzd.jpeg,"SKU : BKPFXYYQHADBADMH
Brand : PROVOGUE",backpacks
