,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,61,62,WCKG9HHHNGJGDN8F,0,https://www.flipkart.com/grabbasket-analog-31-cm-x-25-wall-clock/p/itmd0fab8a71f8ce?pid=WCKG9HHHNGJGDN8F&lid=LSTWCKG9HHHNGJGDN8FB8VA0N&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_2_62&otracker=search&otracker1=search&iid=ebf666ad-fda1-4219-9503-a6e534b27a49.WCKG9HHHNGJGDN8F.SEARCH&ssid=lx14q4scv40000001645030090415&qH=fb10b55a3494de8e,,₹379,65% off,1,GrabBasket Analog 31 cm X 25 cm Wall Clock,"Gold, With Glass ",4.3,(68),,,0,http://rukmini1.flixcart.com/image/300/300/kwxv98w0/wall-clock/m/1/n/beautiful-radha-krishna-nrk-copper-analog-grabbasket-original-imag9hhhqsfgrwud.jpeg,SKU : WCKG9HHHNGJGDN8F,wall clocks
1,1,2,327,328,XWAG9FV2WMSGCXUM,Advertisement,https://www.flipkart.com/analog-wall-clock/p/itm47dcfac9a62a6?pid=XWAG9FV2WMSGCXUM&lid=LSTXWAG9FV2WMSGCXUMGAY0YV&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_9_328&otracker=search&otracker1=search&iid=en_Bpv07mC885KxUyWJqmaQ3qIRni1I3KgK42KrcULOBuG%2BB%2BMBNPsPRxps3%2Fz%2BXsyDkOquFY8atIgI2XElFL%2FJkg%3D%3D&ssid=zgvdgcvcqo0000001644225966514&qH=fb10b55a3494de8e,,₹287,71% off,1,Analog Wall Clock,"Multicolor, With Glass ",4.1,(18),,,0,http://rukmini1.flixcart.com/image/300/300/kwv0djk0/shopsy-wall-clock/2/9/h/sun-stoen-sun-713-analog-crista-original-imag9fv25hwwvztr.jpeg,SKU : XWAG9FV2WMSGCXUM,wall clocks
2,2,3,4,5,WCKF63E3GGG8FGGB,0,https://www.flipkart.com/ajanta-analog-26-5-cm-x-wall-clock/p/itmf63e3kkds6dva?pid=WCKF63E3GGG8FGGB&lid=LSTWCKF63E3GGG8FGGBMRTNG8&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_5&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKF63E3GGG8FGGB.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹269,0% off,1,AJANTA Analog 26.5 cm X 26.5 cm Wall Clock,"Gold, With Glass ",4.2,"(76,831)",,,0,http://rukmini1.flixcart.com/image/300/300/kflftzk0pkrrdj-0/clock/d/4/n/957-gold-ajanta-original-imafwyq7mshzdfwr.jpeg,SKU : WCKF63E3GGG8FGGB,wall clocks
3,3,4,2,3,WCKF7CTF4WEXRXDC,0,https://www.flipkart.com/r-p-enterprise-analog-65-cm-x-35-wall-clock/p/itm84f7e35f096f8?pid=WCKF7CTF4WEXRXDC&lid=LSTWCKF7CTF4WEXRXDCPVCKVJ&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&spotlightTagId=BestsellerId_arb%2Fkjw%2Fbm1&srno=s_1_3&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKF7CTF4WEXRXDC.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹368,85% off,1,R&P ENTERPRISE Analog 65 cm X 35 cm Wall Clock,"Black, Red, Without Glass ",4.2,"(12,599)",,Bestseller,0,http://rukmini1.flixcart.com/image/300/300/kqo3onk0/wall-clock/g/k/u/fancy-and-designer-wall-clock-for-home-offices-bedroom-living-original-imag4hyvahrggekr.jpeg,SKU : WCKF7CTF4WEXRXDC,wall clocks
4,4,5,3,4,WCKF2YYBRA2ZUWMG,0,https://www.flipkart.com/divinecrafts-analog-32-5-cm-x-wall-clock/p/itmf2y27hrggsxkk?pid=WCKF2YYBRA2ZUWMG&lid=LSTWCKF2YYBRA2ZUWMGWYG43C&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_4&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKF2YYBRA2ZUWMG.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹399,86% off,1,DivineCrafts Analog 32.5 cm X 32.5 cm Wall Clock,"Multicolor, With Glass ",4.0,"(16,909)",,,0,http://rukmini1.flixcart.com/image/300/300/kjabs7k0-0/wall-clock/a/g/e/handpainted-peacock-wall-clock-wc-331-analog-divinecrafts-original-imafyvmxgyhdyefg.jpeg,SKU : WCKF2YYBRA2ZUWMG,wall clocks
5,5,6,14,15,WCKEZTSMFZGDHXVF,0,https://www.flipkart.com/ajanta-analog-32-cm-x-wall-clock/p/itmeztsmzrjhpjah?pid=WCKEZTSMFZGDHXVF&lid=LSTWCKEZTSMFZGDHXVFL7UDXC&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_15&otracker=search&otracker1=search&iid=1b404103-b5ac-4dbd-93de-41abfb25cabc.WCKEZTSMFZGDHXVF.SEARCH&ssid=bq7eb3oeq80000001644856300522&qH=fb10b55a3494de8e,,₹475,3% off,1,AJANTA Analog 32 cm X 32 cm Wall Clock,"Beige, With Glass ",4.4,"(1,36,111)",,,0,http://rukmini1.flixcart.com/image/300/300/k0wqwsw0/wall-clock/x/v/f/analog-ajanta397ivory-analog-ajanta-original-imafkhkevztwym2s.jpeg,SKU : WCKEZTSMFZGDHXVF,wall clocks
6,6,7,18,19,WCKEW5Y4SFXWU8CE,0,https://www.flipkart.com/ajanta-analog-20-cm-x-wall-clock/p/itmew54ahhzahuzt?pid=WCKEW5Y4SFXWU8CE&lid=LSTWCKEW5Y4SFXWU8CEUOP721&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_19&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKEW5Y4SFXWU8CE.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹259,13% off,1,AJANTA Analog 20 cm X 20 cm Wall Clock,"Pink, With Glass ",3.9,"(5,537)",,,0,http://rukmini1.flixcart.com/image/300/300/j5h264w0/wall-clock/8/c/e/fancy-and-small-analog-wall-clock-for-home-and-office-original-imaew3ujraycstde.jpeg,SKU : WCKEW5Y4SFXWU8CE,wall clocks
7,7,8,331,332,WCKGYDGA5ZH5KZDE,Advertisement,https://www.flipkart.com/clarco-analog-30-cm-x-wall-clock/p/itm30342f1717a30?pid=WCKGYDGA5ZH5KZDE&lid=LSTWCKGYDGA5ZH5KZDEP6VBQM&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_9_332&otracker=search&otracker1=search&iid=en_EgFTiWxOsP6DIEl%2B3SDEOa3HL73Bo9tqCybHD%2FK4xiYHRtazMfSfFwDEu6lqTwBwxRDEDbI7TEpTc%2FS7WNUofA%3D%3D&ssid=lzylhv95kg0000001645030107059&qH=fb10b55a3494de8e,,₹499,66% off,1,Clarco Analog 30 cm X 30 cm Wall Clock,"Blue, With Glass ",4.2,"(1,174)",,,0,http://rukmini1.flixcart.com/image/300/300/kl6wx3k0/wall-clock/o/r/f/brand-big-size-designer-analogue-round-plastic-wall-clock-with-original-imagydg947xgsppy.jpeg,SKU : WCKGYDGA5ZH5KZDE,wall clocks
8,8,9,20,21,WCKG3XG5XJ2PVKGA,0,https://www.flipkart.com/harmoso-analog-25-cm-x-wall-clock/p/itm822142b6c2533?pid=WCKG3XG5XJ2PVKGA&lid=LSTWCKG3XG5XJ2PVKGAS1EVLO&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_21&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKG3XG5XJ2PVKGA.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹299,80% off,1,Harmoso Analog 25 cm X 25 cm Wall Clock,"Black, White, Gold, With Glass ",4.1,"(2,126)",,,0,http://rukmini1.flixcart.com/image/300/300/ksnjp8w0/wall-clock/g/k/4/h-35-25-h-35-analog-harmoso-25-original-imag66gtjt9zrg48.jpeg,SKU : WCKG3XG5XJ2PVKGA,wall clocks
9,9,10,5,6,WCKG7TFUGZ8FTWZY,0,https://www.flipkart.com/grabbasket-analog-30-cm-x-wall-clock/p/itm43748ddea5934?pid=WCKG7TFUGZ8FTWZY&lid=LSTWCKG7TFUGZ8FTWZYZJEUII&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_6&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKG7TFUGZ8FTWZY.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹358,70% off,1,GrabBasket Analog 30 cm X 30 cm Wall Clock,"Multicolor, With Glass ",4.0,"(1,113)",,,0,http://rukmini1.flixcart.com/image/300/300/kura1e80/wall-clock/f/7/t/beautiful-3d-look-unique-designer-decorative-designer-dark-original-imag7tfkt32vpsme.jpeg,SKU : WCKG7TFUGZ8FTWZY,wall clocks
