,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
0,0,1,0,1,BOTFK893YFYBNWCD,0,https://www.flipkart.com/kimaya-stainless-steel-1000-ml-bottle/p/itmb527b10a4b0e1?pid=BOTFK893YFYBNWCD&lid=LSTBOTFK893YFYBNWCD1PS0A6&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&spotlightTagId=BestsellerId_upp%2Ff2k%2F0zz&srno=s_1_1&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFK893YFYBNWCD.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹287,76% off,1,Kimaya Stainless Steel 1000 ml Bottle,"Pack of 2, Silver, Steel ",4,"(8,701)",,Bestseller,0,http://rukmini1.flixcart.com/image/300/300/k0lbdzk0/bottle/q/z/k/600-stainless-steel-water-bottle-600ml-set-of-2-kimaya-original-imafk8r5cgyrygrc.jpeg,SKU : BOTFK893YFYBNWCD,water bottles
1,1,2,6,7,BOTFPJ5PUGSZZSVJ,0,https://www.flipkart.com/flipkart-smartbuy-classic-1000-ml-bottle/p/itm6d51340e456e9?pid=BOTFPJ5PUGSZZSVJ&lid=LSTBOTFPJ5PUGSZZSVJRHMRI2&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_7&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFPJ5PUGSZZSVJ.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹581,55% off,1,Flipkart SmartBuy Classic 1000 ml Bottle,"Pack of 1, Copper, Copper ",4.1,"(10,195)",,,Private,http://rukmini1.flixcart.com/image/300/300/kchzhjk0/bottle/s/v/j/1000-classic-copper-bottle-fksbbotcpr1000-flipkart-smartbuy-original-imafthsqaghhmfqw.jpeg,"SKU : BOTFPJ5PUGSZZSVJ
Brand : flipkart smartbuy",water bottles
2,2,3,13,14,BOTFGGTHTKENWHCU,0,https://www.flipkart.com/flipkart-smartbuy-designer-mosaic-water-bottle-1000ml-pet/p/itm7c8b6d132b102?pid=BOTFGGTHTKENWHCU&lid=LSTBOTFGGTHTKENWHCUVUMCY9&marketplace=GROCERY&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_14&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFGGTHTKENWHCU.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,flipkart smartbuy,₹53,76% off,0,Flipkart SmartBuy Designer Mosaic Water Bottle - 1000ml...,"Pack of 1, Copper, Copper ",4.5,"(67,452)",,,Private,http://rukmini1.flixcart.com/image/300/300/k2krekw0/bottle/h/c/u/1000-botmosaicp1gry-botmosaicp1gry-flipkart-smartbuy-original-imafhwyydqekjh7b.jpeg,"SKU : BOTFGGTHTKENWHCU
Brand : flipkart smartbuy",water bottles
3,3,4,4,5,BOTF5DR6ECZJM4VC,0,https://www.flipkart.com/cello-venice-fridge-water-bottles-1000-ml-bottle/p/itm4d0c0d89e6c87?pid=BOTF5DR6ECZJM4VC&lid=LSTBOTF5DR6ECZJM4VCMON2BE&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_5&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTF5DR6ECZJM4VC.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹350,39% off,1,cello VENICE FRIDGE WATER BOTTLES 1000 ml Bottle,"Pack of 5, Multicolor, Plastic ",4.5,"(91,299)",,,0,http://rukmini1.flixcart.com/image/300/300/ko0d6kw0/bottle/w/n/g/venice-fridge-water-bottles-120-cello-original-imag2kj9s4p9fhu4.jpeg,SKU : BOTF5DR6ECZJM4VC,water bottles
4,4,5,29,30,BOTFVA24YGFMCXQS,0,https://www.flipkart.com/kenberry-alpha-duke-combo-750-ml-bottle/p/itm1b550348af3bd?pid=BOTFVA24YGFMCXQS&lid=LSTBOTFVA24YGFMCXQSOJVFRH&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_30&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFVA24YGFMCXQS.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹461,57% off,0,KenBerry Alpha Duke - Combo 750 ml Bottle,"Pack of 5, Multicolor, Plastic ",3.9,"(1,222)",,,0,http://rukmini1.flixcart.com/image/300/300/ken59jk0/bottle/x/q/s/750-alpha-duke-combo-alpha-duke-combo-kenberry-original-imafva7g7rvv9zp9.jpeg,SKU : BOTFVA24YGFMCXQS,water bottles
5,5,6,154,155,BOTG5XEUFTREYZGS,0,https://www.flipkart.com/quapro-smart-stainless-steel-flask-led-temp-display-1pc-hot-cold-water-bottle-500-ml/p/itm5128e2bbabf9b?pid=BOTG5XEUFTREYZGS&lid=LSTBOTG5XEUFTREYZGSVXDPFV&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_5_195&otracker=search&otracker1=search&iid=9b970e86-dd53-46f4-a13e-967ccd0ebad3.BOTG5XEUFTREYZGS.SEARCH&ssid=0o5h1xbruo0000001644940498346&qH=da12c47a32712624,,₹399,60% off,1,QUAPRO by Quapro Smart Stainless Steel Flask LED Temp D...,"Pack of 1, Black, Steel ",3.9,(120),,,0,http://rukmini1.flixcart.com/image/300/300/ksc46fk0/bottle/9/r/k/500-smart-stainless-steel-flask-led-temp-display-1pc-hot-cold-original-imag5xeugff8uhfb.jpeg,SKU : BOTG5XEUFTREYZGS,water bottles
6,6,7,5,6,BOTG3NH45NHSZA5H,0,https://www.flipkart.com/anerideals-crystal-clear-water-bottle-fridge-home-office-gym-school-boy-unbreakable-1000-ml/p/itmb86ef7fe5c267?pid=BOTG3NH45NHSZA5H&lid=LSTBOTG3NH45NHSZA5HZNYNNN&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&spotlightTagId=BestvalueId_upp%2Ff2k%2F0zz&srno=s_1_6&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTG3NH45NHSZA5H.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹314,75% off,1,"AneriDEALS Crystal Clear Water Bottle for Fridge, for H...","Pack of 6, Clear, Plastic ",4.4,"(5,906)",,Bestvalue,0,http://rukmini1.flixcart.com/image/300/300/kpedle80/bottle/g/b/u/1000-crystal-clear-water-bottle-for-fridge-for-home-office-gym-original-imag3nh49scyyrqu.jpeg,SKU : BOTG3NH45NHSZA5H,water bottles
7,7,8,335,336,BOTG3T3SU5TJDEZN,Advertisement,https://www.flipkart.com/flipkart-smartbuy-zig-zag-shape-multicolor-drinking-water-bottles-1000-ml-bottle/p/itm76bddcde00284?pid=BOTG3T3SU5TJDEZN&lid=LSTBOTG3T3SU5TJDEZNMXL11G&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_9_336&otracker=search&otracker1=search&iid=en_bo%2F5B2F5fzJO%2F8iOUY4lgt0kCh45aW16GWtNaso3mvvYG4wsUd36D5T0j56miH8PuZQ6xpqNzfxrCHya9iamHA%3D%3D&ssid=krr8pxpm3k0000001645092130566&qH=da12c47a32712624,flipkart smartbuy,₹429,69% off,0,Flipkart SmartBuy ZIG-ZAG Shape Multicolor Drinking Wat...,"Pack of 6, Clear, Plastic ",4.5,(371),,,Private,http://rukmini1.flixcart.com/image/300/300/kqwobrk0/bottle/h/m/8/1000-zig-zag-pattern-multicolor-drinking-water-bottles-6-zigzag-original-imag4tq5wy7yaqhe.jpeg,"SKU : BOTG3T3SU5TJDEZN
Brand : flipkart smartbuy",water bottles
8,8,9,9,10,BOTFZ393M4MRFG9R,0,https://www.flipkart.com/speedex-single-walled-stainless-steel-fridge-water-bottle-home-office-school-kids-1000-ml/p/itmfc56ad93f600b?pid=BOTFZ393M4MRFG9R&lid=LSTBOTFZ393M4MRFG9R34PG4Z&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_1_10&otracker=search&otracker1=search&iid=19766d3a-9378-4867-ace5-9eceb277243b.BOTFZ393M4MRFG9R.SEARCH&ssid=oi67n8m8nk0000001645029638538&qH=da12c47a32712624,,₹300,45% off,1,SPEEDEX Single Walled Stainless Steel Fridge Water Bott...,"Pack of 1, Black, Steel ",4.1,"(9,826)",,,0,http://rukmini1.flixcart.com/image/300/300/kwqq1zk0/bottle/8/8/3/1000-single-walled-stainless-steel-fridge-water-bottle-for-home-original-imag9dfrppt2bhh8.jpeg,SKU : BOTFZ393M4MRFG9R,water bottles
9,9,10,327,328,BOTGFG5PNZEUFSJD,Advertisement,https://www.flipkart.com/fitup-smart-vacuum-insulated-water-bottle-led-temperature-display-500-ml/p/itmeaf3a84b207c3?pid=BOTGFG5PNZEUFSJD&lid=LSTBOTGFG5PNZEUFSJDGYOFVE&marketplace=FLIPKART&q=water+bottles&store=upp%2Ff2k%2F0zz&srno=s_9_328&otracker=search&otracker1=search&iid=en_vyktMjndRCqfBDRjv5i1QuJAGNoVe5Wv6kN2NCV5ZPJoEnBUGHDjekX3yMH3AG5ZBF7KNdZxemPRfz5c5MhGbA%3D%3D&ssid=rhxfm7i8a80000001644918929712&qH=da12c47a32712624,,₹497,50% off,1,FITUP Smart Vacuum Insulated Water Bottle With LED Temp...,"Pack of 1, Pink, Steel ",3.7,(98),,,0,http://rukmini1.flixcart.com/image/300/300/kmkxbww0/mug/l/o/f/vacuum-insulated-water-mug-for-cold-and-hot-drink-storage-with-original-imagfg494r2juuu5.jpeg,SKU : BOTGFG5PNZEUFSJD,water bottles
